New Mexico, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,18.1,-2.4
189612,22.3,1.8
189712,19,-1.5
189812,16.2,-4.3
189912,21.1,0.6
190012,19.7,-0.8
190112,20.1,-0.4
190212,22,1.5
190312,17.1,-3.4
190412,20.9,0.4
190512,17.4,-3.1
190612,27.5,7.0
190712,22.2,1.7
190812,22,1.5
190912,14.9,-5.6
191012,22.5,2.0
191112,14.8,-5.7
191212,14.9,-5.6
191312,18.4,-2.1
191412,20.7,0.2
191512,21.1,0.6
191612,18.3,-2.2
191712,21.6,1.1
191812,17.4,-3.1
191912,22.6,2.1
192012,17.9,-2.6
192112,25.9,5.4
192212,25.1,4.6
192312,21.5,1.0
192412,16.4,-4.1
192512,18.6,-1.9
192612,20.7,0.2
192712,18.1,-2.4
192812,19.5,-1.0
192912,19.6,-0.9
193012,16.4,-4.1
193112,18.8,-1.7
193212,16.2,-4.3
193312,23.3,2.8
193412,22.4,1.9
193512,21.2,0.7
193612,21.4,0.9
193712,22.6,2.1
193812,21.8,1.3
193912,22.1,1.6
194012,25.3,4.8
194112,23.1,2.6
194212,23.9,3.4
194312,19.1,-1.4
194412,19.9,-0.6
194512,17.6,-2.9
194612,23.6,3.1
194712,18.4,-2.1
194812,23.5,3.0
194912,18.3,-2.2
195012,21.3,0.8
195112,21.5,1.0
195212,18.5,-2.0
195312,15.8,-4.7
195412,19.9,-0.6
195512,23.4,2.9
195612,18.5,-2.0
195712,22.2,1.7
195812,20.4,-0.1
195912,23.2,2.7
196012,18.7,-1.8
196112,20.4,-0.1
196212,23.1,2.6
196312,16.7,-3.8
196412,21.3,0.8
196512,24,3.5
196612,18.6,-1.9
196712,18.7,-1.8
196812,17.4,-3.1
196912,23.4,2.9
197012,21.8,1.3
197112,21.9,1.4
197212,19.7,-0.8
197312,19.1,-1.4
197412,18.4,-2.1
197512,20.3,-0.2
197612,16.6,-3.9
197712,24.8,4.3
197812,19,-1.5
197912,20.4,-0.1
198012,24.8,4.3
198112,22.9,2.4
198212,21.8,1.3
198312,20.4,-0.1
198412,24.9,4.4
198512,19.2,-1.3
198612,22.9,2.4
198712,19.1,-1.4
198812,19.2,-1.3
198912,17,-3.5
199012,17.7,-2.8
199112,23.5,3.0
199212,20.2,-0.3
199312,20.3,-0.2
199412,25.1,4.6
199512,23.5,3.0
199612,22.2,1.7
199712,19.1,-1.4
199812,22.6,2.1
199912,19.4,-1.1
200012,21.2,0.7
200112,19.9,-0.6
200212,22.4,1.9
200312,21.6,1.1
200412,21.9,1.4
200512,20.9,0.4
200612,20.7,0.2
200712,22.1,1.6
200812,23,2.5
200912,19.1,-1.4
201012,26.1,5.6
201112,20,-0.5
201212,21.3,0.8
201312,21,0.5
201412,24.8,4.3
201512,22.5,2.0
