New Jersey, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,59.8,2.4
189606,56.5,-0.9
189706,53.8,-3.6
189806,57.6,0.2
189906,59,1.6
190006,58.5,1.1
190106,57,-0.4
190206,55.1,-2.3
190306,54.7,-2.7
190406,57.1,-0.3
190506,56.6,-0.8
190606,59.7,2.3
190706,53,-4.4
190806,56.5,-0.9
190906,58.6,1.2
191006,55.7,-1.7
191106,57.5,0.1
191206,55.3,-2.1
191306,55.7,-1.7
191406,55.7,-1.7
191506,55.2,-2.2
191606,54.3,-3.1
191706,57.6,0.2
191806,54.6,-2.8
191906,57.5,0.1
192006,56.5,-0.9
192106,56.6,-0.8
192206,60.5,3.1
192306,58.8,1.4
192406,55.4,-2.0
192506,60.1,2.7
192606,52.5,-4.9
192706,52.9,-4.5
192806,56.5,-0.9
192906,57,-0.4
193006,58.5,1.1
193106,57.2,-0.2
193206,57,-0.4
193306,58.3,0.9
193406,60.4,3.0
193506,56.6,-0.8
193606,57,-0.4
193706,58.6,1.2
193806,56.5,-0.9
193906,58.4,1.0
194006,56.5,-0.9
194106,57.1,-0.3
194206,58.7,1.3
194306,62.5,5.1
194406,58.3,0.9
194506,57.5,0.1
194606,55.3,-2.1
194706,55.3,-2.1
194806,57.4,0.0
194906,59.1,1.7
195006,55.8,-1.6
195106,57.1,-0.3
195206,59.4,2.0
195306,57.6,0.2
195406,57.1,-0.3
195506,55.3,-2.1
195606,57.7,0.3
195706,60.2,2.8
195806,54.1,-3.3
195906,58.3,0.9
196006,57.5,0.1
196106,57.3,-0.1
196206,58.2,0.8
196306,56.6,-0.8
196406,56.3,-1.1
196506,55.7,-1.7
196606,57.5,0.1
196706,57.5,0.1
196806,57.6,0.2
196906,59.2,1.8
197006,57.4,0.0
197106,59.1,1.7
197206,56.6,-0.8
197306,62.2,4.8
197406,56.6,-0.8
197506,59.5,2.1
197606,60.6,3.2
197706,56.1,-1.3
197806,56.8,-0.6
197906,55.3,-2.1
198006,54.6,-2.8
198106,59.1,1.7
198206,56.2,-1.2
198306,57.5,0.1
198406,59.5,2.1
198506,56,-1.4
198606,56.9,-0.5
198706,60.3,2.9
198806,55.8,-1.6
198906,61.8,4.4
199006,58.2,0.8
199106,58.6,1.2
199206,55.7,-1.7
199306,57.7,0.3
199406,60.8,3.4
199506,59.1,1.7
199606,59.6,2.2
199706,55.8,-1.6
199806,59.1,1.7
199906,59.1,1.7
200006,60.2,2.8
200106,60.3,2.9
200206,58.9,1.5
200306,58,0.6
200406,58.8,1.4
200506,61.6,4.2
200606,60.6,3.2
200706,59.7,2.3
200806,61.5,4.1
200906,58.8,1.4
201006,62.7,5.3
201106,61.2,3.8
201206,59,1.6
201306,60.9,3.5
201406,59.7,2.3
201506,60.8,3.4
