Louisiana, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,54,-1.4
189604,59.7,4.3
189704,56.2,0.8
189804,51,-4.4
189904,54.7,-0.7
190004,56.9,1.5
190104,50.8,-4.6
190204,56.1,0.7
190304,54,-1.4
190404,53.3,-2.1
190504,58,2.6
190604,56.8,1.4
190704,53,-2.4
190804,61.3,5.9
190904,55.6,0.2
191004,53.3,-2.1
191104,59.1,3.7
191204,58.8,3.4
191304,53,-2.4
191404,55.9,0.5
191504,54.9,-0.5
191604,53.4,-2.0
191704,53.6,-1.8
191804,55.1,-0.3
191904,53.9,-1.5
192004,55.5,0.1
192104,54,-1.4
192204,59.7,4.3
192304,57.3,1.9
192404,56.1,0.7
192504,58.2,2.8
192604,52.5,-2.9
192704,60.6,5.2
192804,51.3,-4.1
192904,60,4.6
193004,56,0.6
193104,51.2,-4.2
193204,55.4,0.0
193304,55.5,0.1
193404,56.3,0.9
193504,57.1,1.7
193604,51.9,-3.5
193704,53.7,-1.7
193804,54.9,-0.5
193904,53.7,-1.7
194004,54.6,-0.8
194104,57.3,1.9
194204,55.6,0.2
194304,55.4,0.0
194404,55.9,0.5
194504,57.7,2.3
194604,58,2.6
194704,58.6,3.2
194804,58.1,2.7
194904,54.7,-0.7
195004,52.4,-3.0
195104,52.2,-3.2
195204,51.3,-4.1
195304,53.7,-1.7
195404,59.1,3.7
195504,58.3,2.9
195604,54.1,-1.3
195704,57.4,2.0
195804,55.6,0.2
195904,54.1,-1.3
196004,55.6,0.2
196104,51.2,-4.2
196204,53.6,-1.8
196304,59.6,4.2
196404,59.2,3.8
196504,59.7,4.3
196604,56.3,0.9
196704,61.2,5.8
196804,58,2.6
196904,56.1,0.7
197004,58.6,3.2
197104,52.9,-2.5
197204,56.3,0.9
197304,53.2,-2.2
197404,54.5,-0.9
197504,55,-0.4
197604,55,-0.4
197704,55.4,0.0
197804,55.3,-0.1
197904,57.8,2.4
198004,52.4,-3.0
198104,60.2,4.8
198204,54.8,-0.6
198304,50.3,-5.1
198404,54.6,-0.8
198504,57.1,1.7
198604,55.9,0.5
198704,49.4,-6.0
198804,54.2,-1.2
198904,53.7,-1.7
199004,54.5,-0.9
199104,60.3,4.9
199204,54.1,-1.3
199304,51.2,-4.2
199404,56.3,0.9
199504,55.3,-0.1
199604,52.5,-2.9
199704,51.6,-3.8
199804,53,-2.4
199904,60,4.6
200004,53.3,-2.1
200104,59.6,4.2
200204,59.8,4.4
200304,55.2,-0.2
200404,54.7,-0.7
200504,53.8,-1.6
200604,59.7,4.3
200704,52.9,-2.5
200804,55.4,0.0
200904,54.4,-1.0
201004,55.8,0.4
201104,58.9,3.5
201204,58.6,3.2
201304,53.8,-1.6
201404,54.8,-0.6
201504,60.9,5.5
