Washington, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,27.5,1.7
189602,29.3,3.5
189702,25.4,-0.4
189802,30,4.2
189902,21.3,-4.5
190002,25,-0.8
190102,24.4,-1.4
190202,28.9,3.1
190302,19.3,-6.5
190402,24.5,-1.3
190502,22.7,-3.1
190602,28.9,3.1
190702,26.7,0.9
190802,25,-0.8
190902,28,2.2
191002,20.1,-5.7
191102,21.1,-4.7
191202,28.6,2.8
191302,18.1,-7.7
191402,26,0.2
191502,29.5,3.7
191602,24.5,-1.3
191702,23.7,-2.1
191802,23.8,-2.0
191902,25.6,-0.2
192002,24.5,-1.3
192102,27.2,1.4
192202,18.1,-7.7
192302,18.5,-7.3
192402,31.6,5.8
192502,31.5,5.7
192602,31.5,5.7
192702,26.6,0.8
192802,25.3,-0.5
192902,13.4,-12.4
193002,28.3,2.5
193102,26,0.2
193202,21.9,-3.9
193302,17.4,-8.4
193402,29.7,3.9
193502,26.9,1.1
193602,11.8,-14.0
193702,20.6,-5.2
193802,26.3,0.5
193902,22.1,-3.7
194002,29.6,3.8
194102,28.4,2.6
194202,26.4,0.6
194302,25.9,0.1
194402,25,-0.8
194502,28.5,2.7
194602,26.1,0.3
194702,26.4,0.6
194802,22.5,-3.3
194902,19.5,-6.3
195002,23.4,-2.4
195102,24.7,-1.1
195202,25.1,-0.7
195302,28.3,2.5
195402,28.6,2.8
195502,23.1,-2.7
195602,18.2,-7.6
195702,22.6,-3.2
195802,34.2,8.4
195902,25.8,0.0
196002,26,0.2
196102,32.1,6.3
196202,27.2,1.4
196302,30.3,4.5
196402,24.5,-1.3
196502,27.7,1.9
196602,27.3,1.5
196702,29.1,3.3
196802,28.9,3.1
196902,22.9,-2.9
197002,29.4,3.6
197102,27.1,1.3
197202,25.1,-0.7
197302,27.2,1.4
197402,29.4,3.6
197502,23.1,-2.7
197602,26.5,0.7
197702,29.1,3.3
197802,30.2,4.4
197902,24.8,-1.0
198002,28.5,2.7
198102,28.6,2.8
198202,25.7,-0.1
198302,31.8,6.0
198402,29.5,3.7
198502,20.5,-5.3
198602,26.3,0.5
198702,29.7,3.9
198802,27.6,1.8
198902,17.8,-8.0
199002,24.1,-1.7
199102,32.5,6.7
199202,32.9,7.1
199302,22.1,-3.7
199402,25.4,-0.4
199502,29.8,4.0
199602,23.9,-1.9
199702,26.7,0.9
199802,31.3,5.5
199902,28.8,3.0
200002,28.3,2.5
200102,24.3,-1.5
200202,26.3,0.5
200302,27.2,1.4
200402,28.2,2.4
200502,25.2,-0.6
200602,24.4,-1.4
200702,29.5,3.7
200802,27.9,2.1
200902,25.7,-0.1
201002,31.4,5.6
201102,23.6,-2.2
201202,27.7,1.9
201302,28.4,2.6
201402,23.4,-2.4
201502,33.2,7.4
201602,31.9,6.1
