Wisconsin, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,-2.8,-8.9
189602,7.7,1.6
189702,10.4,4.3
189802,8.9,2.8
189902,-5.6,-11.7
190002,-3.9,-10.0
190102,-1.6,-7.7
190202,3.1,-3.0
190302,3.4,-2.7
190402,-6.8,-12.9
190502,-2.4,-8.5
190602,3.3,-2.8
190702,4.6,-1.5
190802,9,2.9
190902,9.2,3.1
191002,-.2,-6.3
191102,12.4,6.3
191202,.6,-5.5
191302,-.4,-6.5
191402,-5.3,-11.4
191502,15.8,9.7
191602,1.5,-4.6
191702,-7.1,-13.2
191802,2.3,-3.8
191902,9,2.9
192002,3.8,-2.3
192102,12.2,6.1
192202,1.8,-4.3
192302,-3.4,-9.5
192402,9.1,3.0
192502,9.4,3.3
192602,9.9,3.8
192702,11.6,5.5
192802,8.1,2.0
192902,-3.8,-9.9
193002,12.9,6.8
193102,17.7,11.6
193202,7.8,1.7
193302,.9,-5.2
193402,2.6,-3.5
193502,10.8,4.7
193602,-10.8,-16.9
193702,3.9,-2.2
193802,12.6,6.5
193902,-.2,-6.3
194002,10.3,4.2
194102,5.2,-0.9
194202,8,1.9
194302,4.4,-1.7
194402,9.1,3.0
194502,5.6,-0.5
194602,5.6,-0.5
194702,3.7,-2.4
194802,3.1,-3.0
194902,4.9,-1.2
195002,4.7,-1.4
195102,5.9,-0.2
195202,12.3,6.2
195302,7.1,1.0
195402,18.3,12.2
195502,4.6,-1.5
195602,3.5,-2.6
195702,9.1,3.0
195802,2.8,-3.3
195902,.5,-5.6
196002,8.8,2.7
196102,13.6,7.5
196202,4.3,-1.8
196302,-1.2,-7.3
196402,9.3,3.2
196502,1.2,-4.9
196602,6.9,0.8
196702,-2,-8.1
196802,3.4,-2.7
196902,8.6,2.5
197002,2.7,-3.4
197102,5.7,-0.4
197202,1,-5.1
197302,10.9,4.8
197402,4,-2.1
197502,7.4,1.3
197602,14,7.9
197702,8.4,2.3
197802,-2,-8.1
197902,-2.8,-8.9
198002,3.7,-2.4
198102,12,5.9
198202,3.8,-2.3
198302,18.2,12.1
198402,18.8,12.7
198502,4.9,-1.2
198602,6.4,0.3
198702,17,10.9
198802,1.4,-4.7
198902,-1.1,-7.2
199002,8.9,2.8
199102,11.6,5.5
199202,17.8,11.7
199302,7.3,1.2
199402,1.3,-4.8
199502,8.2,2.1
199602,5.7,-0.4
199702,11.4,5.3
199802,24.5,18.4
199902,17.9,11.8
200002,15.1,9.0
200102,4.9,-1.2
200202,17.4,11.3
200302,2.6,-3.5
200402,11,4.9
200502,16.1,10.0
200602,8.6,2.5
200702,2.8,-3.3
200802,2.8,-3.3
200902,10.1,4.0
201002,10.2,4.1
201102,9.2,3.1
201202,18.1,12.0
201302,7.8,1.7
201402,-3.8,-9.9
201502,-2.7,-8.8
