North Dakota, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,40.3,-2.5
189609,39.1,-3.7
189709,47.4,4.6
189809,41.8,-1.0
189909,40,-2.8
190009,43.5,0.7
190109,41.3,-1.5
190209,37.5,-5.3
190309,39,-3.8
190409,41.1,-1.7
190509,44.7,1.9
190609,47.4,4.6
190709,38.8,-4.0
190809,46.5,3.7
190909,44.4,1.6
191009,42.2,-0.6
191109,42.5,-0.3
191209,40.1,-2.7
191309,42.8,0.0
191409,44,1.2
191509,42.7,-0.1
191609,41.1,-1.7
191709,42,-0.8
191809,37.4,-5.4
191909,46.3,3.5
192009,45.3,2.5
192109,45.1,2.3
192209,45.5,2.7
192309,45.1,2.3
192409,41.3,-1.5
192509,45.4,2.6
192609,39.8,-3.0
192709,43.5,0.7
192809,39.6,-3.2
192909,39.8,-3.0
193009,41.6,-1.2
193109,46.1,3.3
193209,41,-1.8
193309,45.8,3.0
193409,39,-3.8
193509,41.8,-1.0
193609,45.1,2.3
193709,43.8,1.0
193809,46.4,3.6
193909,42.9,0.1
194009,47.3,4.5
194109,43.8,1.0
194209,41,-1.8
194309,41,-1.8
194409,43.7,0.9
194509,40.8,-2.0
194609,43.3,0.5
194709,42.2,-0.6
194809,47.6,4.8
194909,39.7,-3.1
195009,44.3,1.5
195109,41.5,-1.3
195209,45.2,2.4
195309,42.5,-0.3
195409,43.6,0.8
195509,41.5,-1.3
195609,39.9,-2.9
195709,41.7,-1.1
195809,42.9,0.1
195909,42.9,0.1
196009,43.9,1.1
196109,40.3,-2.5
196209,40.6,-2.2
196309,46.9,4.1
196409,39.8,-3.0
196509,35.2,-7.6
196609,43.9,1.1
196709,45.6,2.8
196809,44.1,1.3
196909,44.7,1.9
197009,43.4,0.6
197109,43.2,0.4
197209,40.5,-2.3
197309,42.8,0.0
197409,38.2,-4.6
197509,41.1,-1.7
197609,42.2,-0.6
197709,45.4,2.6
197809,47.3,4.5
197909,44.2,1.4
198009,43.1,0.3
198109,42.9,0.1
198209,41.7,-1.1
198309,43.1,0.3
198409,38.4,-4.4
198509,41.5,-1.3
198609,43.1,0.3
198709,44.2,1.4
198809,42.6,-0.2
198909,42.7,-0.1
199009,45.7,2.9
199109,43.9,1.1
199209,41,-1.8
199309,38.9,-3.9
199409,46.1,3.3
199509,41.9,-0.9
199609,44.3,1.5
199709,46.1,3.3
199809,47.7,4.9
199909,41.8,-1.0
200009,43.7,0.9
200109,45.2,2.4
200209,45.6,2.8
200309,43.3,0.5
200409,46.3,3.5
200509,45.4,2.6
200609,43,0.2
200709,44,1.2
200809,43.5,0.7
200909,49.7,6.9
201009,43.6,0.8
201109,44.3,1.5
201209,41.7,-1.1
201309,49.4,6.6
201409,44.9,2.1
201509,48.1,5.3
