Wyoming, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,33.9,-1.7
189605,34,-1.6
189705,37.9,2.3
189805,36.4,0.8
189905,33.2,-2.4
190005,38,2.4
190105,40.9,5.3
190205,37,1.4
190305,33.7,-1.9
190405,36.3,0.7
190505,33.9,-1.7
190605,35.6,0.0
190705,32.6,-3.0
190805,33.5,-2.1
190905,32.1,-3.5
191005,35,-0.6
191105,35.5,-0.1
191205,34,-1.6
191305,37,1.4
191405,37,1.4
191505,34.5,-1.1
191605,31.5,-4.1
191705,32.5,-3.1
191805,33.8,-1.8
191905,35.7,0.1
192005,35.8,0.2
192105,37.2,1.6
192205,35.7,0.1
192305,36,0.4
192405,32.5,-3.1
192505,37.2,1.6
192605,38.5,2.9
192705,34.1,-1.5
192805,38.8,3.2
192905,32,-3.6
193005,34.4,-1.2
193105,33.6,-2.0
193205,36.6,1.0
193305,33.3,-2.3
193405,40.7,5.1
193505,33.7,-1.9
193605,38.3,2.7
193705,37,1.4
193805,35.6,0.0
193905,37.7,2.1
194005,36.7,1.1
194105,38.7,3.1
194205,33.8,-1.8
194305,33.2,-2.4
194405,37.1,1.5
194505,35.2,-0.4
194605,33.2,-2.4
194705,36.4,0.8
194805,36.2,0.6
194905,38.1,2.5
195005,31.1,-4.5
195105,36.6,1.0
195205,37,1.4
195305,32.6,-3.0
195405,35.8,0.2
195505,35.9,0.3
195605,38.5,2.9
195705,37.6,2.0
195805,39.6,4.0
195905,34.2,-1.4
196005,35.2,-0.4
196105,36.8,1.2
196205,37.7,2.1
196305,37,1.4
196405,36.2,0.6
196505,34.4,-1.2
196605,35.4,-0.2
196705,33.8,-1.8
196805,32.7,-2.9
196905,36.6,1.0
197005,35.4,-0.2
197105,35.1,-0.5
197205,35,-0.6
197305,33.6,-2.0
197405,33.7,-1.9
197505,32.9,-2.7
197605,36.3,0.7
197705,36.4,0.8
197805,34.7,-0.9
197905,34.7,-0.9
198005,37.1,1.5
198105,37.1,1.5
198205,34.3,-1.3
198305,32.5,-3.1
198405,35.4,-0.2
198505,37.5,1.9
198605,33.5,-2.1
198705,40,4.4
198805,36.6,1.0
198905,35.8,0.2
199005,33.5,-2.1
199105,36.9,1.3
199205,38.5,2.9
199305,37.7,2.1
199405,39.3,3.7
199505,33.8,-1.8
199605,35.5,-0.1
199705,35.7,0.1
199805,36.5,0.9
199905,34.1,-1.5
200005,38,2.4
200105,36.9,1.3
200205,33.5,-2.1
200305,36.5,0.9
200405,36,0.4
200505,35.1,-0.5
200605,36.3,0.7
200705,36.9,1.3
200805,34.6,-1.0
200905,36.4,0.8
201005,31.9,-3.7
201105,33.4,-2.2
201205,35.6,0.0
201305,37.3,1.7
201405,37.1,1.5
201505,36.4,0.8
