Illinois, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,7.3,-13.0
189602,21.1,0.8
189702,23.1,2.8
189802,21.4,1.1
189902,8.6,-11.7
190002,12.4,-7.9
190102,11.6,-8.7
190202,9.1,-11.2
190302,17.6,-2.7
190402,12.3,-8.0
190502,7.7,-12.6
190602,17,-3.3
190702,19.2,-1.1
190802,19.8,-0.5
190902,23.2,2.9
191002,14.4,-5.9
191102,24.6,4.3
191202,13.7,-6.6
191302,15.6,-4.7
191402,11,-9.3
191502,28.1,7.8
191602,16.7,-3.6
191702,12.4,-7.9
191802,18.4,-1.9
191902,22.2,1.9
192002,20,-0.3
192102,26.8,6.5
192202,21.4,1.1
192302,15.8,-4.5
192402,20.8,0.5
192502,24.8,4.5
192602,25.7,5.4
192702,27.8,7.5
192802,23.5,3.2
192902,12.3,-8.0
193002,29.4,9.1
193102,27.3,7.0
193202,27.2,6.9
193302,17.3,-3.0
193402,14.9,-5.4
193502,24.7,4.4
193602,7.3,-13.0
193702,19.4,-0.9
193802,29.5,9.2
193902,18.5,-1.8
194002,22.7,2.4
194102,17.9,-2.4
194202,20.3,0.0
194302,20.7,0.4
194402,22.2,1.9
194502,22.4,2.1
194602,22.7,2.4
194702,14.2,-6.1
194802,19,-1.3
194902,21.4,1.1
195002,21.1,0.8
195102,20.8,0.5
195202,26.2,5.9
195302,24.4,4.1
195402,28.8,8.5
195502,20.8,0.5
195602,23.1,2.8
195702,27.1,6.8
195802,11.7,-8.6
195902,19.8,-0.5
196002,19.3,-1.0
196102,24.3,4.0
196202,21.1,0.8
196302,11.5,-8.8
196402,20.1,-0.2
196502,18.3,-2.0
196602,20.1,-0.2
196702,15.2,-5.1
196802,15.6,-4.7
196902,24,3.7
197002,18.1,-2.2
197102,20.6,0.3
197202,17.9,-2.4
197302,22.4,2.1
197402,22.3,2.0
197502,21.8,1.5
197602,27.4,7.1
197702,19,-1.3
197802,7.8,-12.5
197902,8.2,-12.1
198002,14.4,-5.9
198102,21,0.7
198202,15.9,-4.4
198302,25.9,5.6
198402,27.1,6.8
198502,15.9,-4.4
198602,20.5,0.2
198702,26.4,6.1
198802,16.5,-3.8
198902,14.3,-6.0
199002,26.5,6.2
199102,25.7,5.4
199202,29.1,8.8
199302,18.8,-1.5
199402,18.1,-2.2
199502,20.3,0.0
199602,20.6,0.3
199702,26.7,6.4
199802,33.2,12.9
199902,29.1,8.8
200002,28.4,8.1
200102,22.2,1.9
200202,25.5,5.2
200302,18,-2.3
200402,21.2,0.9
200502,28.3,8.0
200602,20.7,0.4
200702,13.5,-6.8
200802,18.4,-1.9
200902,22.8,2.5
201002,18,-2.3
201102,22,1.7
201202,27.1,6.8
201302,21.8,1.5
201402,9.9,-10.4
201502,9.8,-10.5
201602,25.3,5.0
