South Dakota, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,-4.4,-8.6
189601,5,0.8
189701,2.2,-2.0
189801,9.7,5.5
189901,3.5,-0.7
190001,12.2,8.0
190101,8,3.8
190201,8,3.8
190301,6.5,2.3
190401,2.6,-1.6
190501,-1.3,-5.5
190601,9.1,4.9
190701,-4.6,-8.8
190801,10.1,5.9
190901,1.9,-2.3
191001,4.6,0.4
191101,2,-2.2
191201,-6.4,-10.6
191301,.7,-3.5
191401,12.2,8.0
191501,2.5,-1.7
191601,-9.1,-13.3
191701,.4,-3.8
191801,-3.4,-7.6
191901,14.6,10.4
192001,6,1.8
192101,13.3,9.1
192201,1.7,-2.5
192301,11.5,7.3
192401,-3.2,-7.4
192501,1.2,-3.0
192601,7.8,3.6
192701,7.2,3.0
192801,9.3,5.1
192901,-7.7,-11.9
193001,-5.8,-10.0
193101,14.8,10.6
193201,3.1,-1.1
193301,11.9,7.7
193401,12.5,8.3
193501,4.1,-0.1
193601,-6.6,-10.8
193701,-10.9,-15.1
193801,7.8,3.6
193901,14,9.8
194001,-4.7,-8.9
194101,8,3.8
194201,9.6,5.4
194301,-3.8,-8.0
194401,12.6,8.4
194501,10.4,6.2
194601,7.2,3.0
194701,11.9,7.7
194801,3.5,-0.7
194901,-4.1,-8.3
195001,-9.4,-13.6
195101,2.3,-1.9
195201,.7,-3.5
195301,11.1,6.9
195401,-.5,-4.7
195501,7.9,3.7
195601,3.7,-0.5
195701,-3.5,-7.7
195801,12.2,8.0
195901,1.3,-2.9
196001,5.7,1.5
196101,7,2.8
196201,2.5,-1.7
196301,-4.4,-8.6
196401,10.6,6.4
196501,2.4,-1.8
196601,-4.5,-8.7
196701,9.5,5.3
196801,4.4,0.2
196901,-2.5,-6.7
197001,-1.3,-5.5
197101,.2,-4.0
197201,-1.3,-5.5
197301,8.9,4.7
197401,4.3,0.1
197501,8.2,4.0
197601,6,1.8
197701,-4.8,-9.0
197801,-7.2,-11.4
197901,-7.9,-12.1
198001,4.6,0.4
198101,13.2,9.0
198201,-7.4,-11.6
198301,15.2,11.0
198401,10.5,6.3
198501,2,-2.2
198601,13.8,9.6
198701,14.3,10.1
198801,1.6,-2.6
198901,11.5,7.3
199001,17.9,13.7
199101,3.6,-0.6
199201,16,11.8
199301,2.7,-1.5
199401,.5,-3.7
199501,9.9,5.7
199601,-.4,-4.6
199701,1.2,-3.0
199801,9.2,5.0
199901,7,2.8
200001,9.8,5.6
200101,12.7,8.5
200201,13.4,9.2
200301,8.8,4.6
200401,6.1,1.9
200501,6.7,2.5
200601,23,18.8
200701,9.4,5.2
200801,4.6,0.4
200901,5.6,1.4
201001,6.5,2.3
201101,3.3,-0.9
201201,13.5,9.3
201301,9.2,5.0
201401,6.4,2.2
201501,12.2,8.0
201601,11,6.8
