Colorado, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,41.8,-0.7
189609,42.9,0.4
189709,46.4,3.9
189809,38.8,-3.7
189909,42.4,-0.1
190009,41.2,-1.3
190109,40.4,-2.1
190209,38.8,-3.7
190309,39.5,-3.0
190409,42.5,0.0
190509,43.5,1.0
190609,42.3,-0.2
190709,41.7,-0.8
190809,41.9,-0.6
190909,42.7,0.2
191009,44.4,1.9
191109,45.4,2.9
191209,37.1,-5.4
191309,40.2,-2.3
191409,43.1,0.6
191509,42.3,-0.2
191609,39.9,-2.6
191709,42.7,0.2
191809,41.3,-1.2
191909,46,3.5
192009,40.9,-1.6
192109,41.8,-0.7
192209,43.7,1.2
192309,41.1,-1.4
192409,39.8,-2.7
192509,44,1.5
192609,41.9,-0.6
192709,43.1,0.6
192809,40.3,-2.2
192909,41.6,-0.9
193009,41.7,-0.8
193109,45.9,3.4
193209,41,-1.5
193309,46.2,3.7
193409,39.2,-3.3
193509,42.6,0.1
193609,42.3,-0.2
193709,44.4,1.9
193809,44.8,2.3
193909,46.2,3.7
194009,46.8,4.3
194109,41.7,-0.8
194209,40.9,-1.6
194309,40.5,-2.0
194409,40.9,-1.6
194509,40.2,-2.3
194609,42.3,-0.2
194709,44.3,1.8
194809,44.2,1.7
194909,42,-0.5
195009,43.1,0.6
195109,39.9,-2.6
195209,42.9,0.4
195309,42.1,-0.4
195409,45.5,3.0
195509,42.7,0.2
195609,41.6,-0.9
195709,39.1,-3.4
195809,44.1,1.6
195909,41.1,-1.4
196009,44.3,1.8
196109,39.5,-3.0
196209,42.6,0.1
196309,46.8,4.3
196409,42.3,-0.2
196509,39.8,-2.7
196609,43.4,0.9
196709,42.7,0.2
196809,39.6,-2.9
196909,45.2,2.7
197009,40.2,-2.3
197109,39,-3.5
197209,43.7,1.2
197309,41.3,-1.2
197409,39.5,-3.0
197509,40.5,-2.0
197609,43.6,1.1
197709,44.7,2.2
197809,42.8,0.3
197909,43.8,1.3
198009,43.3,0.8
198109,45.2,2.7
198209,45.1,2.6
198309,44.6,2.1
198409,42.8,0.3
198509,41,-1.5
198609,42.5,0.0
198709,41.3,-1.2
198809,41.5,-1.0
198909,43,0.5
199009,47.1,4.6
199109,43.1,0.6
199209,43.2,0.7
199309,40.4,-2.1
199409,44,1.5
199509,43.4,0.9
199609,42.3,-0.2
199709,46.6,4.1
199809,47.4,4.9
199909,41.3,-1.2
200009,44,1.5
200109,44.4,1.9
200209,44.7,2.2
200309,41.3,-1.2
200409,43.3,0.8
200509,45,2.5
200609,39.6,-2.9
200709,44.9,2.4
200809,42.5,0.0
200909,43.3,0.8
201009,44.4,1.9
201109,44,1.5
201209,44.2,1.7
201309,47.7,5.2
201409,45.7,3.2
201509,47.2,4.7
