Oklahoma, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,48.3,1.3
189604,51.2,4.2
189704,45.8,-1.2
189804,44.8,-2.2
189904,46.2,-0.8
190004,48.5,1.5
190104,44.4,-2.6
190204,47.5,0.5
190304,45.9,-1.1
190404,44.4,-2.6
190504,46.5,-0.5
190604,49.1,2.1
190704,42,-5.0
190804,48.9,1.9
190904,45.4,-1.6
191004,46.8,-0.2
191104,47.3,0.3
191204,47.3,0.3
191304,46.2,-0.8
191404,46.5,-0.5
191504,51.1,4.1
191604,44.8,-2.2
191704,45.2,-1.8
191804,43.2,-3.8
191904,47.7,0.7
192004,43.2,-3.8
192104,45.9,-1.1
192204,49.3,2.3
192304,47.6,0.6
192404,46.9,-0.1
192504,53.3,6.3
192604,42.8,-4.2
192704,51.2,4.2
192804,44,-3.0
192904,50.8,3.8
193004,51.1,4.1
193104,44.2,-2.8
193204,49.8,2.8
193304,46.3,-0.7
193404,48.9,1.9
193504,46.5,-0.5
193604,44.8,-2.2
193704,47.3,0.3
193804,47.3,0.3
193904,46.2,-0.8
194004,46.5,-0.5
194104,50.1,3.1
194204,50.9,3.9
194304,50.5,3.5
194404,45.7,-1.3
194504,46.4,-0.6
194604,51.4,4.4
194704,47.2,0.2
194804,51.9,4.9
194904,46.6,-0.4
195004,45.3,-1.7
195104,44.6,-2.4
195204,44.1,-2.9
195304,43.7,-3.3
195404,52.9,5.9
195504,51.1,4.1
195604,44,-3.0
195704,47.1,0.1
195804,45.9,-1.1
195904,45.8,-1.2
196004,49,2.0
196104,44.4,-2.6
196204,46.2,-0.8
196304,51.8,4.8
196404,50,3.0
196504,50.8,3.8
196604,44.6,-2.4
196704,53.4,6.4
196804,45.8,-1.2
196904,48.2,1.2
197004,47.2,0.2
197104,46.4,-0.6
197204,49,2.0
197304,44.6,-2.4
197404,47.7,0.7
197504,46.2,-0.8
197604,48.7,1.7
197704,49.4,2.4
197804,49.6,2.6
197904,46.3,-0.7
198004,43.4,-3.6
198104,52.9,5.9
198204,44.2,-2.8
198304,41.7,-5.3
198404,43.9,-3.1
198504,49.7,2.7
198604,50.1,3.1
198704,44.4,-2.6
198804,44.1,-2.9
198904,49,2.0
199004,46.3,-0.7
199104,48.9,1.9
199204,47.5,0.5
199304,44.1,-2.9
199404,46.2,-0.8
199504,44.7,-2.3
199604,43.7,-3.3
199704,42.6,-4.4
199804,44.1,-2.9
199904,48.3,1.3
200004,45.8,-1.2
200104,51.2,4.2
200204,50.1,3.1
200304,47.1,0.1
200404,48.1,1.1
200504,46.8,-0.2
200604,51.7,4.7
200704,44.3,-2.7
200804,44.5,-2.5
200904,45.3,-1.7
201004,49.4,2.4
201104,47.7,0.7
201204,52.7,5.7
201304,42.3,-4.7
201404,45.5,-1.5
201504,49.8,2.8
