Utah, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,14.3,-0.6
189601,20.1,5.2
189701,15.7,0.8
189801,5.5,-9.4
189901,17,2.1
190001,21.6,6.7
190101,16.2,1.3
190201,15.5,0.6
190301,15.6,0.7
190401,9.8,-5.1
190501,17.3,2.4
190601,14.4,-0.5
190701,18.7,3.8
190801,15.8,0.9
190901,21.5,6.6
191001,11.9,-3.0
191101,22.2,7.3
191201,15.2,0.3
191301,9.3,-5.6
191401,18.5,3.6
191501,10.1,-4.8
191601,13.8,-1.1
191701,4.1,-10.8
191801,16.4,1.5
191901,10.1,-4.8
192001,15.3,0.4
192101,19,4.1
192201,6,-8.9
192301,20.6,5.7
192401,7.4,-7.5
192501,8.5,-6.4
192601,13.4,-1.5
192701,18.3,3.4
192801,16.7,1.8
192901,11.6,-3.3
193001,7.5,-7.4
193101,11,-3.9
193201,7.6,-7.3
193301,11,-3.9
193401,20.5,5.6
193501,19.5,4.6
193601,16.8,1.9
193701,-1.6,-16.5
193801,20.8,5.9
193901,16.6,1.7
194001,18.9,4.0
194101,18.3,3.4
194201,13.3,-1.6
194301,18.5,3.6
194401,10.2,-4.7
194501,18.5,3.6
194601,12.8,-2.1
194701,10.5,-4.4
194801,15.1,0.2
194901,2.3,-12.6
195001,11.7,-3.2
195101,15.2,0.3
195201,13.6,-1.3
195301,23.5,8.6
195401,19.7,4.8
195501,8.9,-6.0
195601,23.6,8.7
195701,14.8,-0.1
195801,16.1,1.2
195901,18.7,3.8
196001,12.9,-2.0
196101,13.1,-1.8
196201,11,-3.9
196301,8.4,-6.5
196401,12,-2.9
196501,21.4,6.5
196601,14.5,-0.4
196701,15.6,0.7
196801,10.5,-4.4
196901,21.4,6.5
197001,18.8,3.9
197101,18,3.1
197201,17.4,2.5
197301,7.1,-7.8
197401,12.1,-2.8
197501,12.9,-2.0
197601,14,-0.9
197701,13.2,-1.7
197801,21.9,7.0
197901,8.8,-6.1
198001,21.5,6.6
198101,21.5,6.6
198201,14.7,-0.2
198301,20.3,5.4
198401,10.5,-4.4
198501,13.5,-1.4
198601,20.1,5.2
198701,14,-0.9
198801,11.5,-3.4
198901,9,-5.9
199001,17.5,2.6
199101,12.2,-2.7
199201,14.1,-0.8
199301,16.7,1.8
199401,19.8,4.9
199501,21.2,6.3
199601,18.5,3.6
199701,18.2,3.3
199801,21.8,6.9
199901,21.5,6.6
200001,22.3,7.4
200101,16.1,1.2
200201,15.5,0.6
200301,24,9.1
200401,14.1,-0.8
200501,23.9,9.0
200601,18.9,4.0
200701,10.5,-4.4
200801,12.5,-2.4
200901,18.7,3.8
201001,17.3,2.4
201101,14.8,-0.1
201201,19.2,4.3
201301,9.1,-5.8
201401,19.1,4.2
201501,22.4,7.5
201601,17,2.1
