New Jersey, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,56,1.7
189609,53.2,-1.1
189709,52.5,-1.8
189809,55.9,1.6
189909,52.1,-2.2
190009,58,3.7
190109,54.9,0.6
190209,54.2,-0.1
190309,53.2,-1.1
190409,53,-1.3
190509,54.2,-0.1
190609,57.4,3.1
190709,56.6,2.3
190809,53.4,-0.9
190909,52.5,-1.8
191009,55.6,1.3
191109,55.6,1.3
191209,55.8,1.5
191309,53.4,-0.9
191409,49.2,-5.1
191509,56.1,1.8
191609,51.8,-2.5
191709,49.5,-4.8
191809,49.9,-4.4
191909,54,-0.3
192009,55,0.7
192109,58.2,3.9
192209,54,-0.3
192309,55.2,0.9
192409,50.5,-3.8
192509,56.6,2.3
192609,54.1,-0.2
192709,52.8,-1.5
192809,52.1,-2.2
192909,54.5,0.2
193009,57.3,3.0
193109,58.6,4.3
193209,53.4,-0.9
193309,57.4,3.1
193409,57.2,2.9
193509,51.4,-2.9
193609,55.4,1.1
193709,50.3,-4.0
193809,52,-2.3
193909,53.6,-0.7
194009,50.6,-3.7
194109,53.3,-1.0
194209,54.4,0.1
194309,51.7,-2.6
194409,55.7,1.4
194509,57.9,3.6
194609,54.8,0.5
194709,55.4,1.1
194809,52.9,-1.4
194909,51.7,-2.6
195009,52.6,-1.7
195109,52.7,-1.6
195209,53.2,-1.1
195309,53.7,-0.6
195409,55,0.7
195509,54.1,-0.2
195609,52.1,-2.2
195709,56,1.7
195809,52.6,-1.7
195909,56.6,2.3
196009,55.6,1.3
196109,60.4,6.1
196209,50.9,-3.4
196309,49.8,-4.5
196409,53.3,-1.0
196509,56.1,1.8
196609,53.5,-0.8
196709,51.2,-3.1
196809,54.1,-0.2
196909,54.5,0.2
197009,56.1,1.8
197109,59.7,5.4
197209,55.5,1.2
197309,55,0.7
197409,54.2,-0.1
197509,52.8,-1.5
197609,52.2,-2.1
197709,57.5,3.2
197809,52.3,-2.0
197909,55.2,0.9
198009,56.6,2.3
198109,54.8,0.5
198209,54.1,-0.2
198309,54.1,-0.2
198409,50.8,-3.5
198509,55.7,1.4
198609,54.8,0.5
198709,55.9,1.6
198809,52.3,-2.0
198909,55.9,1.6
199009,53.4,-0.9
199109,53,-1.3
199209,55.2,0.9
199309,55.5,1.2
199409,53.6,-0.7
199509,54.6,0.3
199609,56.8,2.5
199709,53.7,-0.6
199809,56.8,2.5
199909,58,3.7
200009,54.1,-0.2
200109,53.3,-1.0
200209,56.7,2.4
200309,58.3,4.0
200409,57.8,3.5
200509,57.9,3.6
200609,54.9,0.6
200709,56.3,2.0
200809,57.5,3.2
200909,55.4,1.1
201009,57.9,3.6
201109,61,6.7
201209,56.7,2.4
201309,52.9,-1.4
201409,56.4,2.1
201509,59.8,5.5
