Maine, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,26.8,-1.4
189604,26.6,-1.6
189704,27.9,-0.3
189804,26.5,-1.7
189904,26.5,-1.7
190004,28.4,0.2
190104,31.4,3.2
190204,29.7,1.5
190304,27.8,-0.4
190404,27,-1.2
190504,27.5,-0.7
190604,25.2,-3.0
190704,25.1,-3.1
190804,23.6,-4.6
190904,26,-2.2
191004,34.2,6.0
191104,24.3,-3.9
191204,25.8,-2.4
191304,28.9,0.7
191404,23.1,-5.1
191504,30.5,2.3
191604,28.6,0.4
191704,28.1,-0.1
191804,27,-1.2
191904,28.4,0.2
192004,27,-1.2
192104,31.4,3.2
192204,29.6,1.4
192304,24.5,-3.7
192404,26.9,-1.3
192504,27.6,-0.6
192604,22.7,-5.5
192704,26.7,-1.5
192804,26.3,-1.9
192904,26.7,-1.5
193004,25.3,-2.9
193104,29.8,1.6
193204,27.9,-0.3
193304,29.5,1.3
193404,29.5,1.3
193504,28,-0.2
193604,29,0.8
193704,28,-0.2
193804,29.6,1.4
193904,25.5,-2.7
194004,26.2,-2.0
194104,30.6,2.4
194204,28.7,0.5
194304,23.3,-4.9
194404,23.8,-4.4
194504,31.7,3.5
194604,27.4,-0.8
194704,24.1,-4.1
194804,27.4,-0.8
194904,31.1,2.9
195004,27.3,-0.9
195104,33,4.8
195204,29.7,1.5
195304,31.9,3.7
195404,26.2,-2.0
195504,29.5,1.3
195604,27.5,-0.7
195704,28.3,0.1
195804,31,2.8
195904,28.9,0.7
196004,28.1,-0.1
196104,28.6,0.4
196204,28.1,-0.1
196304,28.1,-0.1
196404,26.6,-1.6
196504,26.6,-1.6
196604,27.1,-1.1
196704,25.5,-2.7
196804,30.6,2.4
196904,26,-2.2
197004,27.8,-0.4
197104,28.1,-0.1
197204,25.1,-3.1
197304,30,1.8
197404,28.5,0.3
197504,25.9,-2.3
197604,30.3,2.1
197704,26.8,-1.4
197804,27.1,-1.1
197904,30.9,2.7
198004,31.2,3.0
198104,30.9,2.7
198204,26.2,-2.0
198304,32.3,4.1
198404,29.7,1.5
198504,26.9,-1.3
198604,32.4,4.2
198704,32.5,4.3
198804,30.7,2.5
198904,27.6,-0.6
199004,30.4,2.2
199104,29.9,1.7
199204,27.1,-1.1
199304,29.4,1.2
199404,28.7,0.5
199504,25.6,-2.6
199604,30.3,2.1
199704,26.7,-1.5
199804,30.5,2.3
199904,30.3,2.1
200004,30,1.8
200104,27,-1.2
200204,30.8,2.6
200304,24.6,-3.6
200404,29.1,0.9
200504,30.5,2.3
200604,31,2.8
200704,27.5,-0.7
200804,30,1.8
200904,30.8,2.6
201004,34,5.8
201104,28.9,0.7
201204,31.1,2.9
201304,28.2,0.0
201404,28,-0.2
201504,27.2,-1.0
