New York, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,32.7,0.5
189604,35.3,3.1
189704,32.7,0.5
189804,30.9,-1.3
189904,33.5,1.3
190004,33.1,0.9
190104,34.8,2.6
190204,34.4,2.2
190304,32.5,0.3
190404,30,-2.2
190504,31.1,-1.1
190604,32,-0.2
190704,28.4,-3.8
190804,30.9,-1.3
190904,30.9,-1.3
191004,36.1,3.9
191104,28.7,-3.5
191204,31.1,-1.1
191304,34.6,2.4
191404,29.8,-2.4
191504,36.5,4.3
191604,32.8,0.6
191704,31.4,-0.8
191804,31.1,-1.1
191904,30.7,-1.5
192004,30.5,-1.7
192104,37.5,5.3
192204,32.3,0.1
192304,29.8,-2.4
192404,30,-2.2
192504,32,-0.2
192604,26.3,-5.9
192704,30,-2.2
192804,28.9,-3.3
192904,34.1,1.9
193004,29.6,-2.6
193104,32.4,0.2
193204,29.2,-3.0
193304,34,1.8
193404,31.4,-0.8
193504,31.2,-1.0
193604,31.2,-1.0
193704,31.7,-0.5
193804,34.5,2.3
193904,30,-2.2
194004,28.7,-3.5
194104,34.6,2.4
194204,35.4,3.2
194304,26.4,-5.8
194404,28.9,-3.3
194504,36.6,4.4
194604,30.7,-1.5
194704,30.8,-1.4
194804,34.1,1.9
194904,33,0.8
195004,28.6,-3.6
195104,34.4,2.2
195204,35.4,3.2
195304,33.9,1.7
195404,33.7,1.5
195504,36.4,4.2
195604,30,-2.2
195704,34.9,2.7
195804,33.6,1.4
195904,33.1,0.9
196004,35.7,3.5
196104,31.8,-0.4
196204,32.4,0.2
196304,30.8,-1.4
196404,32.1,-0.1
196504,28.9,-3.3
196604,30.4,-1.8
196704,31.6,-0.6
196804,34.1,1.9
196904,32.8,0.6
197004,32.2,0.0
197104,28.2,-4.0
197204,27.1,-5.1
197304,35.3,3.1
197404,33.8,1.6
197504,27,-5.2
197604,34.1,1.9
197704,32.8,0.6
197804,29.6,-2.6
197904,32.6,0.4
198004,33.8,1.6
198104,35,2.8
198204,28.8,-3.4
198304,33,0.8
198404,34.1,1.9
198504,34.5,2.3
198604,35.5,3.3
198704,36.9,4.7
198804,33.4,1.2
198904,29.8,-2.4
199004,35.4,3.2
199104,36.9,4.7
199204,31.8,-0.4
199304,33.8,1.6
199404,33.4,1.2
199504,29.1,-3.1
199604,31.6,-0.6
199704,29.8,-2.4
199804,34.3,2.1
199904,32.4,0.2
200004,33,0.8
200104,32.7,0.5
200204,35.4,3.2
200304,30.5,-1.7
200404,33.8,1.6
200504,33.3,1.1
200604,33.6,1.4
200704,31.9,-0.3
200804,35.5,3.3
200904,34.1,1.9
201004,36.5,4.3
201104,35.1,2.9
201204,32.7,0.5
201304,32.4,0.2
201404,31.7,-0.5
201504,32,-0.2
