Maine, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,11,1.1
189612,5.9,-4.0
189712,10,0.1
189812,7,-2.9
189912,14.4,4.5
190012,6,-3.9
190112,9.9,0.0
190212,4.1,-5.8
190312,4.4,-5.5
190412,-1.9,-11.8
190512,9.4,-0.5
190612,2.1,-7.8
190712,13.8,3.9
190812,3.4,-6.5
190912,12.7,2.8
191012,5,-4.9
191112,15.7,5.8
191212,12.7,2.8
191312,13.7,3.8
191412,5.7,-4.2
191512,15,5.1
191612,12.3,2.4
191712,-2.5,-12.4
191812,10.5,0.6
191912,2.1,-7.8
192012,13.4,3.5
192112,7,-2.9
192212,3.4,-6.5
192312,19.4,9.5
192412,4.4,-5.5
192512,9.8,-0.1
192612,5.5,-4.4
192712,12.9,3.0
192812,15.1,5.2
192912,6.4,-3.5
193012,10.7,0.8
193112,12.9,3.0
193212,13.8,3.9
193312,-.3,-10.2
193412,5.1,-4.8
193512,8.5,-1.4
193612,10.5,0.6
193712,8.4,-1.5
193812,13.3,3.4
193912,11.8,1.9
194012,7.2,-2.7
194112,12.5,2.6
194212,5.7,-4.2
194312,2.6,-7.3
194412,7.1,-2.8
194512,7.5,-2.4
194612,8.9,-1.0
194712,7.3,-2.6
194812,15.1,5.2
194912,14.3,4.4
195012,15.3,5.4
195112,8.4,-1.5
195212,15.3,5.4
195312,18.5,8.6
195412,13.1,3.2
195512,3.7,-6.2
195612,10.7,0.8
195712,16.1,6.2
195812,-.5,-10.4
195912,15,5.1
196012,6.8,-3.1
196112,15,5.1
196212,8.6,-1.3
196312,2.9,-7.0
196412,10.3,0.4
196512,12.2,2.3
196612,15,5.1
196712,11.6,1.7
196812,11,1.1
196912,14.5,4.6
197012,3.3,-6.6
197112,6.9,-3.0
197212,6.1,-3.8
197312,17.9,8.0
197412,14.5,4.6
197512,5.6,-4.3
197612,1.7,-8.2
197712,10.4,0.5
197812,9.4,-0.5
197912,14.3,4.4
198012,1.2,-8.7
198112,17.3,7.4
198212,16.4,6.5
198312,9.6,-0.3
198412,14.4,4.5
198512,5.1,-4.8
198612,10.7,0.8
198712,15.6,5.7
198812,7.3,-2.6
198912,-5.4,-15.3
199012,15.7,5.8
199112,8.5,-1.4
199212,14.9,5.0
199312,14.2,4.3
199412,15.2,5.3
199512,8.7,-1.2
199612,21.8,11.9
199712,11.8,1.9
199812,17.1,7.2
199912,17.9,8.0
200012,9.1,-0.8
200112,21.2,11.3
200212,12.4,2.5
200312,14.3,4.4
200412,9.9,0.0
200512,13.6,3.7
200612,20.1,10.2
200712,9.7,-0.2
200812,10.3,0.4
200912,14.7,4.8
201012,16.3,6.4
201112,17,7.1
201212,16.6,6.7
201312,9.3,-0.6
201412,19.4,9.5
201512,24.8,14.9
