Alabama, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,26.8,-9.6
189602,36.4,0.0
189702,41.2,4.8
189802,34.3,-2.1
189902,28.7,-7.7
190002,32.4,-4.0
190102,32.3,-4.1
190202,30.6,-5.8
190302,36.8,0.4
190402,37.6,1.2
190502,28.6,-7.8
190602,32,-4.4
190702,36.1,-0.3
190802,32.8,-3.6
190902,37.2,0.8
191002,33,-3.4
191102,43,6.6
191202,30.2,-6.2
191302,35.5,-0.9
191402,33.3,-3.1
191502,36.6,0.2
191602,33.7,-2.7
191702,35.9,-0.5
191802,41.2,4.8
191902,36.4,0.0
192002,35.8,-0.6
192102,38.5,2.1
192202,43.3,6.9
192302,35.8,-0.6
192402,34.9,-1.5
192502,40.2,3.8
192602,38.1,1.7
192702,46.7,10.3
192802,35.7,-0.7
192902,34.3,-2.1
193002,40.3,3.9
193102,36.3,-0.1
193202,45.9,9.5
193302,37.5,1.1
193402,31.2,-5.2
193502,36.7,0.3
193602,33.3,-3.1
193702,36.7,0.3
193802,42,5.6
193902,40.1,3.7
194002,34.4,-2.0
194102,32,-4.4
194202,32.8,-3.6
194302,36,-0.4
194402,43.7,7.3
194502,40.4,4.0
194602,36.7,0.3
194702,27.7,-8.7
194802,40,3.6
194902,42,5.6
195002,40.7,4.3
195102,36.8,0.4
195202,40.3,3.9
195302,37.7,1.3
195402,38.1,1.7
195502,37.8,1.4
195602,42.7,6.3
195702,45.9,9.5
195802,26.6,-9.8
195902,39.3,2.9
196002,33,-3.4
196102,40.5,4.1
196202,42.5,6.1
196302,28.7,-7.7
196402,31.7,-4.7
196502,34.5,-1.9
196602,35.8,-0.6
196702,32.9,-3.5
196802,28,-8.4
196902,34.8,-1.6
197002,30.7,-5.7
197102,33.2,-3.2
197202,36,-0.4
197302,32.4,-4.0
197402,35,-1.4
197502,39.5,3.1
197602,38.8,2.4
197702,31.2,-5.2
197802,27.3,-9.1
197902,33.8,-2.6
198002,30.8,-5.6
198102,35,-1.4
198202,37.2,0.8
198302,36.8,0.4
198402,35.5,-0.9
198502,34.8,-1.6
198602,39.6,3.2
198702,38.5,2.1
198802,32.6,-3.8
198902,38.1,1.7
199002,43.7,7.3
199102,39.4,3.0
199202,39.3,2.9
199302,34.7,-1.7
199402,38.3,1.9
199502,36,-0.4
199602,35.5,-0.9
199702,40.8,4.4
199802,38.7,2.3
199902,39.9,3.5
200002,38.4,2.0
200102,41,4.6
200202,33.3,-3.1
200302,37.2,0.8
200402,36.1,-0.3
200502,40.8,4.4
200602,34.8,-1.6
200702,32.1,-4.3
200802,36.1,-0.3
200902,34.8,-1.6
201002,30.3,-6.1
201102,37.2,0.8
201202,41.9,5.5
201302,37.2,0.8
201402,35.9,-0.5
201502,29.9,-6.5
