Utah, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,46.5,-2.7
189606,51.8,2.6
189706,47.4,-1.8
189806,48.3,-0.9
189906,47.7,-1.5
190006,51.3,2.1
190106,46.6,-2.6
190206,49.7,0.5
190306,51.1,1.9
190406,48.3,-0.9
190506,47.6,-1.6
190606,45.8,-3.4
190706,44.7,-4.5
190806,44.8,-4.4
190906,49.8,0.6
191006,50.7,1.5
191106,49.8,0.6
191206,49.1,-0.1
191306,48.4,-0.8
191406,48.8,-0.4
191506,45.6,-3.6
191606,46.5,-2.7
191706,46.5,-2.7
191806,54.8,5.6
191906,49.7,0.5
192006,48.6,-0.6
192106,50.9,1.7
192206,50.9,1.7
192306,45.8,-3.4
192406,49.4,0.2
192506,48.5,-0.7
192606,51.2,2.0
192706,50.1,0.9
192806,47.5,-1.7
192906,46.9,-2.3
193006,48.8,-0.4
193106,52.2,3.0
193206,48.7,-0.5
193306,51.9,2.7
193406,48.1,-1.1
193506,50.4,1.2
193606,54,4.8
193706,49.2,0.0
193806,51,1.8
193906,48.3,-0.9
194006,52.4,3.2
194106,48.3,-0.9
194206,47.5,-1.7
194306,47.4,-1.8
194406,45.9,-3.3
194506,45.5,-3.7
194606,50,0.8
194706,47.5,-1.7
194806,49.2,0.0
194906,48.7,-0.5
195006,45.8,-3.4
195106,47.2,-2.0
195206,49.2,0.0
195306,48.4,-0.8
195406,48.6,-0.6
195506,48,-1.2
195606,50.9,1.7
195706,49.8,0.6
195806,50.8,1.6
195906,52.4,3.2
196006,50.9,1.7
196106,53.1,3.9
196206,48.6,-0.6
196306,47.8,-1.4
196406,48.2,-1.0
196506,47.2,-2.0
196606,49.5,0.3
196706,47.7,-1.5
196806,49.9,0.7
196906,48.2,-1.0
197006,49.7,0.5
197106,49.4,0.2
197206,52.1,2.9
197306,49,-0.2
197406,51.6,2.4
197506,46.4,-2.8
197606,47.5,-1.7
197706,53.4,4.2
197806,49,-0.2
197906,48.4,-0.8
198006,48.1,-1.1
198106,52.3,3.1
198206,47.8,-1.4
198306,48.7,-0.5
198406,48.2,-1.0
198506,51.3,2.1
198606,52.9,3.7
198706,51.9,2.7
198806,53.9,4.7
198906,49.3,0.1
199006,51.7,2.5
199106,49.4,0.2
199206,49.8,0.6
199306,47.2,-2.0
199406,53.8,4.6
199506,46.1,-3.1
199606,52.2,3.0
199706,51.3,2.1
199806,45.9,-3.3
199906,49.4,0.2
200006,51.8,2.6
200106,51,1.8
200206,52.4,3.2
200306,50.9,1.7
200406,51.1,1.9
200506,47.6,-1.6
200606,53,3.8
200706,51.9,2.7
200806,49.4,0.2
200906,48.5,-0.7
201006,50.8,1.6
201106,48.1,-1.1
201206,52,2.8
201306,53,3.8
201406,50.5,1.3
201506,55.1,5.9
