Alaska, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192512,-4.1,-1.2
192612,-5.5,-2.6
192712,-3.1,-0.2
192812,1.5,4.4
192912,-3.6,-0.7
193012,4.4,7.3
193112,-2.5,0.4
193212,-1,1.9
193312,-15.4,-12.5
193412,2.2,5.1
193512,-7.1,-4.2
193612,-7.6,-4.7
193712,-3.6,-0.7
193812,1.5,4.4
193912,2,4.9
194012,.1,3.0
194112,-2.3,0.6
194212,-16.1,-13.2
194312,2,4.9
194412,2.2,5.1
194512,-1.7,1.2
194612,-13.8,-10.9
194712,4.7,7.6
194812,-11.3,-8.4
194912,-6.8,-3.9
195012,-1.5,1.4
195112,-4.1,-1.2
195212,-.1,2.8
195312,-.1,2.8
195412,-14,-11.1
195512,-8,-5.1
195612,-13.8,-10.9
195712,-9.5,-6.6
195812,-.7,2.2
195912,-7.5,-4.6
196012,8.8,11.7
196112,-14,-11.1
196212,-1.6,1.3
196312,6.1,9.0
196412,-16,-13.1
196512,-7.3,-4.4
196612,-7.3,-4.4
196712,-.1,2.8
196812,-9.9,-7.0
196912,8.2,11.1
197012,-6,-3.1
197112,-3.4,-0.5
197212,-.8,2.1
197312,.2,3.1
197412,-9.2,-6.3
197512,-9.4,-6.5
197612,-.1,2.8
197712,-6.4,-3.5
197812,3.4,6.3
197912,-9.7,-6.8
198012,-13.7,-10.8
198112,-1.8,1.1
198212,3.9,6.8
198312,4.6,7.5
198412,-.1,2.8
198512,11.1,14.0
198612,9.5,12.4
198712,-2.6,0.3
198812,3.2,6.1
198912,4.8,7.7
199012,-5.3,-2.4
199112,-3.4,-0.5
199212,-3.9,-1.0
199312,6.1,9.0
199412,-4.2,-1.3
199512,.2,3.1
199612,-5.8,-2.9
199712,-3.1,-0.2
199812,-2.9,0.0
199912,-9.6,-6.7
200012,8.7,11.6
200112,-6.3,-3.4
200212,8.5,11.4
200312,-2,0.9
200412,2.2,5.1
200512,7.9,10.8
200612,1.9,4.8
200712,1.8,4.7
200812,-.7,2.2
200912,4.1,7.0
201012,-8.5,-5.6
201112,3,5.9
201212,-7.3,-4.4
201312,.7,3.6
201412,9.8,12.7
201512,2.2,5.1
