Kentucky, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,62.6,1.8
189606,61,0.2
189706,60.3,-0.5
189806,62.9,2.1
189906,63.3,2.5
190006,63.4,2.6
190106,62.7,1.9
190206,60.7,-0.1
190306,57.1,-3.7
190406,60.9,0.1
190506,63.1,2.3
190606,62.3,1.5
190706,58.4,-2.4
190806,60.8,0.0
190906,63.6,2.8
191006,57.7,-3.1
191106,62.2,1.4
191206,57.9,-2.9
191306,60.6,-0.2
191406,64.3,3.5
191506,60,-0.8
191606,58.4,-2.4
191706,58.5,-2.3
191806,60.5,-0.3
191906,64.4,3.6
192006,59.4,-1.4
192106,64.6,3.8
192206,62.4,1.6
192306,61.7,0.9
192406,62.4,1.6
192506,63.2,2.4
192606,57.2,-3.6
192706,58.5,-2.3
192806,59.1,-1.7
192906,58.2,-2.6
193006,58.3,-2.5
193106,60.9,0.1
193206,62.1,1.3
193306,61.6,0.8
193406,64,3.2
193506,59.3,-1.5
193606,59.7,-1.1
193706,62.6,1.8
193806,59.9,-0.9
193906,64.3,3.5
194006,61.2,0.4
194106,62.1,1.3
194206,62.9,2.1
194306,65.9,5.1
194406,63.6,2.8
194506,60,-0.8
194606,61,0.2
194706,60.8,0.0
194806,60.3,-0.5
194906,62.8,2.0
195006,60.1,-0.7
195106,61.4,0.6
195206,65.7,4.9
195306,63.8,3.0
195406,61.4,0.6
195506,55.7,-5.1
195606,60.2,-0.6
195706,63.4,2.6
195806,58.5,-2.3
195906,59.6,-1.2
196006,59.5,-1.3
196106,57.8,-3.0
196206,60.9,0.1
196306,59.8,-1.0
196406,61.2,0.4
196506,60.3,-0.5
196606,56.9,-3.9
196706,60.6,-0.2
196806,59.8,-1.0
196906,60.6,-0.2
197006,60.1,-0.7
197106,62.9,2.1
197206,56.2,-4.6
197306,62.1,1.3
197406,56.9,-3.9
197506,61.2,0.4
197606,60,-0.8
197706,60,-0.8
197806,60.8,0.0
197906,59.4,-1.4
198006,58.6,-2.2
198106,63.2,2.4
198206,57.5,-3.3
198306,59.5,-1.3
198406,62.6,1.8
198506,59.8,-1.0
198606,62.4,1.6
198706,62.6,1.8
198806,56.7,-4.1
198906,61.4,0.6
199006,60.6,-0.2
199106,63.4,2.6
199206,58.2,-2.6
199306,60.1,-0.7
199406,63.1,2.3
199506,61,0.2
199606,61.6,0.8
199706,61.2,0.4
199806,63,2.2
199906,62.5,1.7
200006,62,1.2
200106,59.4,-1.4
200206,63,2.2
200306,57.7,-3.1
200406,61.6,0.8
200506,62.4,1.6
200606,59.7,-1.1
200706,61,0.2
200806,62.6,1.8
200906,63,2.2
201006,66.3,5.5
201106,63.1,2.3
201206,58.8,-2.0
201306,62.3,1.5
201406,63.6,2.8
201506,63.9,3.1
