Texas, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,64.4,0.7
189609,62.8,-0.9
189709,60.9,-2.8
189809,62.7,-1.0
189909,62.5,-1.2
190009,68.8,5.1
190109,64.5,0.8
190209,62.3,-1.4
190309,62,-1.7
190409,66,2.3
190509,65.6,1.9
190609,64.7,1.0
190709,63.4,-0.3
190809,61.7,-2.0
190909,61.8,-1.9
191009,65.7,2.0
191109,68.6,4.9
191209,63.3,-0.4
191309,60.6,-3.1
191409,63.6,-0.1
191509,65.3,1.6
191609,62.2,-1.5
191709,62.7,-1.0
191809,58.6,-5.1
191909,64.2,0.5
192009,64.8,1.1
192109,68.2,4.5
192209,63.8,0.1
192309,65.3,1.6
192409,60.8,-2.9
192509,66.2,2.5
192609,66,2.3
192709,64.8,1.1
192809,62.1,-1.6
192909,63.1,-0.6
193009,64.7,1.0
193109,67.4,3.7
193209,63.1,-0.6
193309,68.6,4.9
193409,63.2,-0.5
193509,61.9,-1.8
193609,66.1,2.4
193709,64.3,0.6
193809,62.9,-0.8
193909,64.6,0.9
194009,61.8,-1.9
194109,65.4,1.7
194209,60.7,-3.0
194309,62,-1.7
194409,62.2,-1.5
194509,63.5,-0.2
194609,65.3,1.6
194709,63.3,-0.4
194809,61.9,-1.8
194909,63.4,-0.3
195009,63.8,0.1
195109,64.1,0.4
195209,61.8,-1.9
195309,61.3,-2.4
195409,65.5,1.8
195509,65.7,2.0
195609,63.1,-0.6
195709,61.5,-2.2
195809,66.6,2.9
195909,64.9,1.2
196009,63,-0.7
196109,63.5,-0.2
196209,65.1,1.4
196309,64.9,1.2
196409,65.1,1.4
196509,64.6,0.9
196609,63.4,-0.3
196709,61.5,-2.2
196809,60.5,-3.2
196909,64.2,0.5
197009,65,1.3
197109,63.8,0.1
197209,66,2.3
197309,64.2,0.5
197409,59.1,-4.6
197509,59.5,-4.2
197609,62.7,-1.0
197709,67.2,3.5
197809,65.7,2.0
197909,60.9,-2.8
198009,66.6,2.9
198109,62.8,-0.9
198209,63.7,0.0
198309,64,0.3
198409,61.5,-2.2
198509,64.1,0.4
198609,67.4,3.7
198709,62.1,-1.6
198809,63.1,-0.6
198909,60.1,-3.6
199009,65.4,1.7
199109,62.2,-1.5
199209,63.7,0.0
199309,62,-1.7
199409,61.7,-2.0
199509,63.9,0.2
199609,62.9,-0.8
199709,65.6,1.9
199809,68.1,4.4
199909,62.8,-0.9
200009,63.4,-0.3
200109,63.1,-0.6
200209,63.9,0.2
200309,62.9,-0.8
200409,63.5,-0.2
200509,66.6,2.9
200609,61.9,-1.8
200709,66.1,2.4
200809,61.4,-2.3
200909,63.2,-0.5
201009,66.2,2.5
201109,63.1,-0.6
201209,64.1,0.4
201309,66.3,2.6
201409,66.2,2.5
201509,66.9,3.2
