Mississippi, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,66.7,3.4
189609,61.4,-1.9
189709,63.2,-0.1
189809,66.2,2.9
189909,58.9,-4.4
190009,67.6,4.3
190109,61.8,-1.5
190209,62.2,-1.1
190309,59.2,-4.1
190409,64.8,1.5
190509,64.6,1.3
190609,67.9,4.6
190709,63,-0.3
190809,63.5,0.2
190909,63.3,0.0
191009,65.1,1.8
191109,68.8,5.5
191209,65.8,2.5
191309,63.6,0.3
191409,62.7,-0.6
191509,64,0.7
191609,60.4,-2.9
191709,61.6,-1.7
191809,57,-6.3
191909,63.3,0.0
192009,65.9,2.6
192109,69.2,5.9
192209,63.9,0.6
192309,64,0.7
192409,60.4,-2.9
192509,69.6,6.3
192609,67.4,4.1
192709,64.2,0.9
192809,60,-3.3
192909,63.8,0.5
193009,65.3,2.0
193109,65.7,2.4
193209,63.6,0.3
193309,67.2,3.9
193409,61.6,-1.7
193509,62.4,-0.9
193609,67.4,4.1
193709,61.6,-1.7
193809,61.7,-1.6
193909,65.7,2.4
194009,58.5,-4.8
194109,66,2.7
194209,60.5,-2.8
194309,61.2,-2.1
194409,64.4,1.1
194509,65.4,2.1
194609,62.6,-0.7
194709,64.3,1.0
194809,61.3,-2.0
194909,61.9,-1.4
195009,63.1,-0.2
195109,64,0.7
195209,59.7,-3.6
195309,59.8,-3.5
195409,63.4,0.1
195509,64.7,1.4
195609,58.6,-4.7
195709,63.9,0.6
195809,65.6,2.3
195909,64.7,1.4
196009,64.2,0.9
196109,63.1,-0.2
196209,63.5,0.2
196309,62.3,-1.0
196409,62.7,-0.6
196509,65.4,2.1
196609,62.5,-0.8
196709,58.8,-4.5
196809,59,-4.3
196909,61,-2.3
197009,66.6,3.3
197109,65.7,2.4
197209,66.8,3.5
197309,66.4,3.1
197409,60.7,-2.6
197509,59.7,-3.6
197609,61.5,-1.8
197709,67,3.7
197809,65.8,2.5
197909,62.7,-0.6
198009,66.8,3.5
198109,59,-4.3
198209,60.8,-2.5
198309,60.9,-2.4
198409,60.8,-2.5
198509,61.9,-1.4
198609,66.6,3.3
198709,61.4,-1.9
198809,65.8,2.5
198909,63,-0.3
199009,64.1,0.8
199109,63,-0.3
199209,63.7,0.4
199309,62.4,-0.9
199409,60.9,-2.4
199509,61.1,-2.2
199609,61.8,-1.5
199709,63.2,-0.1
199809,68,4.7
199909,59.9,-3.4
200009,63.1,-0.2
200109,62.3,-1.0
200209,67.6,4.3
200309,62,-1.3
200409,63.4,0.1
200509,66.2,2.9
200609,60.6,-2.7
200709,65.9,2.6
200809,64.4,1.1
200909,66.8,3.5
201009,63.4,0.1
201109,61,-2.3
201209,63.3,0.0
201309,65.1,1.8
201409,65.8,2.5
201509,64.1,0.8
