Wyoming, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,46.9,-1.2
189608,46.7,-1.4
189708,47.2,-0.9
189808,48.8,0.7
189908,44.8,-3.3
190008,48.9,0.8
190108,51,2.9
190208,47,-1.1
190308,47.6,-0.5
190408,47.5,-0.6
190508,49.2,1.1
190608,48.5,0.4
190708,45.8,-2.3
190808,46.5,-1.6
190908,50.9,2.8
191008,45.1,-3.0
191108,45.1,-3.0
191208,46.7,-1.4
191308,49.8,1.7
191408,47.4,-0.7
191508,46.7,-1.4
191608,46.9,-1.2
191708,44.3,-3.8
191808,46.3,-1.8
191908,47.9,-0.2
192008,46.7,-1.4
192108,48.3,0.2
192208,51.9,3.8
192308,48.2,0.1
192408,45.5,-2.6
192508,47.8,-0.3
192608,48.8,0.7
192708,46,-2.1
192808,45.1,-3.0
192908,51.1,3.0
193008,51.5,3.4
193108,48.2,0.1
193208,48.5,0.4
193308,47.3,-0.8
193408,49.3,1.2
193508,48.2,0.1
193608,50.7,2.6
193708,50,1.9
193808,48.4,0.3
193908,46.3,-1.8
194008,49.1,1.0
194108,50.7,2.6
194208,48.2,0.1
194308,50.2,2.1
194408,46,-2.1
194508,48.9,0.8
194608,47.5,-0.6
194708,49.5,1.4
194808,47.9,-0.2
194908,48.2,0.1
195008,44.3,-3.8
195108,47.7,-0.4
195208,48.8,0.7
195308,49,0.9
195408,47,-1.1
195508,50.9,2.8
195608,46,-2.1
195708,49.7,1.6
195808,49.9,1.8
195908,48.5,0.4
196008,46.7,-1.4
196108,51.2,3.1
196208,45.9,-2.2
196308,50,1.9
196408,45.7,-2.4
196508,46.6,-1.5
196608,46.5,-1.6
196708,47.3,-0.8
196808,46.1,-2.0
196908,49.8,1.7
197008,49.9,1.8
197108,50.3,2.2
197208,48.2,0.1
197308,49,0.9
197408,43.9,-4.2
197508,45.8,-2.3
197608,46.7,-1.4
197708,47.1,-1.0
197808,45.5,-2.6
197908,49.2,1.1
198008,46.7,-1.4
198108,48.2,0.1
198208,51.3,3.2
198308,53.7,5.6
198408,51,2.9
198508,45.4,-2.7
198608,48.4,0.3
198708,45.9,-2.2
198808,47.8,-0.3
198908,47.7,-0.4
199008,48.8,0.7
199108,50.5,2.4
199208,46.6,-1.5
199308,45.5,-2.6
199408,50,1.9
199508,49.6,1.5
199608,47.8,-0.3
199708,49.8,1.7
199808,50,1.9
199908,49.8,1.7
200008,51.2,3.1
200108,51.3,3.2
200208,46.5,-1.6
200308,52.7,4.6
200408,45.8,-2.3
200508,47.2,-0.9
200608,48.9,0.8
200708,51.2,3.1
200808,48.4,0.3
200908,46.1,-2.0
201008,48.3,0.2
201108,50,1.9
201208,50,1.9
201308,51.3,3.2
201408,48.9,0.8
201508,48.6,0.5
