Utah, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,13.9,-5.6
189602,18,-1.5
189702,17,-2.5
189802,16.2,-3.3
189902,16.3,-3.2
190002,20.1,0.6
190102,20.9,1.4
190202,22.5,3.0
190302,3.5,-16.0
190402,21.5,2.0
190502,19.4,-0.1
190602,22.3,2.8
190702,28.2,8.7
190802,19.3,-0.2
190902,19.1,-0.4
191002,15.2,-4.3
191102,17.8,-1.7
191202,21,1.5
191302,16.4,-3.1
191402,18.3,-1.2
191502,21.2,1.7
191602,20.6,1.1
191702,15.9,-3.6
191802,17,-2.5
191902,18.2,-1.3
192002,22.9,3.4
192102,21.2,1.7
192202,16.4,-3.1
192302,11.4,-8.1
192402,23.7,4.2
192502,23,3.5
192602,23.4,3.9
192702,24,4.5
192802,20.8,1.3
192902,12.2,-7.3
193002,22.8,3.3
193102,24.3,4.8
193202,19.1,-0.4
193302,4.5,-15.0
193402,27.6,8.1
193502,22.1,2.6
193602,22,2.5
193702,14.8,-4.7
193802,23.5,4.0
193902,8.7,-10.8
194002,23.8,4.3
194102,24.6,5.1
194202,14.7,-4.8
194302,20.4,0.9
194402,16.6,-2.9
194502,23.7,4.2
194602,17,-2.5
194702,23.1,3.6
194802,16.6,-2.9
194902,6.9,-12.6
195002,19.3,-0.2
195102,19.7,0.2
195202,14.9,-4.6
195302,19.1,-0.4
195402,23.5,4.0
195502,8.5,-11.0
195602,13.5,-6.0
195702,23.9,4.4
195802,26.3,6.8
195902,21,1.5
196002,15.9,-3.6
196102,23,3.5
196202,22.8,3.3
196302,25.4,5.9
196402,12.7,-6.8
196502,18.7,-0.8
196602,15.4,-4.1
196702,20,0.5
196802,24.6,5.1
196902,19.1,-0.4
197002,24.2,4.7
197102,19.9,0.4
197202,21.2,1.7
197302,17.7,-1.8
197402,13.8,-5.7
197502,19.2,-0.3
197602,21.7,2.2
197702,19,-0.5
197802,23.1,3.6
197902,15.2,-4.3
198002,23,3.5
198102,20.8,1.3
198202,17.6,-1.9
198302,23.7,4.2
198402,13.1,-6.4
198502,13.3,-6.2
198602,26.1,6.6
198702,22.7,3.2
198802,19.1,-0.4
198902,14.9,-4.6
199002,18.4,-1.1
199102,22.4,2.9
199202,25,5.5
199302,19,-0.5
199402,18.9,-0.6
199502,26.9,7.4
199602,22.5,3.0
199702,18.9,-0.6
199802,22.7,3.2
199902,22.3,2.8
200002,25.9,6.4
200102,21.7,2.2
200202,15.7,-3.8
200302,20.6,1.1
200402,17.9,-1.6
200502,23.6,4.1
200602,18.7,-0.8
200702,23.1,3.6
200802,19.8,0.3
200902,22.1,2.6
201002,20.1,0.6
201102,17.3,-2.2
201202,20.9,1.4
201302,16.4,-3.1
201402,24.8,5.3
201502,27.2,7.7
