Georgia, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,35.4,0.3
189601,34.5,-0.6
189701,32.5,-2.6
189801,39.3,4.2
189901,35.2,0.1
190001,32.7,-2.4
190101,33.9,-1.2
190201,31.4,-3.7
190301,33.8,-1.3
190401,29.7,-5.4
190501,28.4,-6.7
190601,37,1.9
190701,42.4,7.3
190801,33.2,-1.9
190901,39.4,4.3
191001,32.3,-2.8
191101,37.4,2.3
191201,30.7,-4.4
191301,42.2,7.1
191401,34.4,-0.7
191501,34.1,-1.0
191601,41.3,6.2
191701,40,4.9
191801,27,-8.1
191901,33.9,-1.2
192001,37.1,2.0
192101,37.1,2.0
192201,36.1,1.0
192301,38.1,3.0
192401,31,-4.1
192501,37.4,2.3
192601,34.7,-0.4
192701,34.8,-0.3
192801,32.3,-2.8
192901,37.4,2.3
193001,36.1,1.0
193101,32.8,-2.3
193201,43.3,8.2
193301,41.2,6.1
193401,37.5,2.4
193501,36.4,1.3
193601,31.9,-3.2
193701,49.5,14.4
193801,36,0.9
193901,36.7,1.6
194001,23.3,-11.8
194101,34.7,-0.4
194201,32.2,-2.9
194301,37.5,2.4
194401,34.6,-0.5
194501,33.9,-1.2
194601,37.1,2.0
194701,41.1,6.0
194801,29.7,-5.4
194901,43.3,8.2
195001,47.2,12.1
195101,34.9,-0.2
195201,41.4,6.3
195301,37.4,2.3
195401,36.4,1.3
195501,33.7,-1.4
195601,31,-4.1
195701,39,3.9
195801,30.2,-4.9
195901,32.1,-3.0
196001,36,0.9
196101,29.7,-5.4
196201,34.4,-0.7
196301,30,-5.1
196401,32.9,-2.2
196501,33.9,-1.2
196601,31.7,-3.4
196701,35.7,0.6
196801,31.6,-3.5
196901,32.9,-2.2
197001,27.9,-7.2
197101,35.2,0.1
197201,41,5.9
197301,34.7,-0.4
197401,48.8,13.7
197501,38.9,3.8
197601,29.5,-5.6
197701,24.7,-10.4
197801,28.4,-6.7
197901,29.8,-5.3
198001,37.6,2.5
198101,27.2,-7.9
198201,31.8,-3.3
198301,32.4,-2.7
198401,32.1,-3.0
198501,28.3,-6.8
198601,32.3,-2.8
198701,34.2,-0.9
198801,31.1,-4.0
198901,39.4,4.3
199001,39.3,4.2
199101,38.9,3.8
199201,35.6,0.5
199301,41.1,6.0
199401,31.5,-3.6
199501,35.4,0.3
199601,32.6,-2.5
199701,37.5,2.4
199801,39.3,4.2
199901,37.3,2.2
200001,35.2,0.1
200101,31,-4.1
200201,36.1,1.0
200301,30.7,-4.4
200401,32.5,-2.6
200501,38.1,3.0
200601,39.8,4.7
200701,38.9,3.8
200801,34.2,-0.9
200901,34.8,-0.3
201001,30.8,-4.3
201101,30.8,-4.3
201201,37.5,2.4
201301,41.5,6.4
201401,28.3,-6.8
201501,34.1,-1.0
201601,33.7,-1.4
