Delaware, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,50.6,-0.4
189605,56,5.0
189705,50.1,-0.9
189805,51.3,0.3
189905,50.5,-0.5
190005,50.2,-0.8
190105,50.3,-0.7
190205,50.9,-0.1
190305,50.9,-0.1
190405,51.5,0.5
190505,52.4,1.4
190605,50.7,-0.3
190705,46.8,-4.2
190805,53.6,2.6
190905,50.7,-0.3
191005,49.6,-1.4
191105,53,2.0
191205,51.7,0.7
191305,50.2,-0.8
191405,51.7,0.7
191505,49.6,-1.4
191605,53.9,2.9
191705,45.7,-5.3
191805,55.8,4.8
191905,52.6,1.6
192005,46,-5.0
192105,50,-1.0
192205,52.1,1.1
192305,48.1,-2.9
192405,49.1,-1.9
192505,45.1,-5.9
192605,47.7,-3.3
192705,50.1,-0.9
192805,48.5,-2.5
192905,50.6,-0.4
193005,51.4,0.4
193105,50.7,-0.3
193205,50.1,-0.9
193305,54.1,3.1
193405,52.1,1.1
193505,47.6,-3.4
193605,50.6,-0.4
193705,50.5,-0.5
193805,50.4,-0.6
193905,51.7,0.7
194005,50.7,-0.3
194105,50.3,-0.7
194205,54.6,3.6
194305,52.9,1.9
194405,54.9,3.9
194505,49.5,-1.5
194605,52.1,1.1
194705,51.1,0.1
194805,51.9,0.9
194905,51.4,0.4
195005,50.1,-0.9
195105,49.7,-1.3
195205,50,-1.0
195305,55.3,4.3
195405,49.7,-1.3
195505,52.4,1.4
195605,47.9,-3.1
195705,52,1.0
195805,51,0.0
195905,54.5,3.5
196005,50.1,-0.9
196105,48.8,-2.2
196205,52.4,1.4
196305,48.6,-2.4
196405,51.3,0.3
196505,53.3,2.3
196605,49.2,-1.8
196705,45.4,-5.6
196805,48.8,-2.2
196905,51.3,0.3
197005,51.9,0.9
197105,49.5,-1.5
197205,51.4,0.4
197305,50.4,-0.6
197405,50.9,-0.1
197505,53.7,2.7
197605,50.1,-0.9
197705,51.9,0.9
197805,50.3,-0.7
197905,53.9,2.9
198005,53.1,2.1
198105,50.1,-0.9
198205,52.3,1.3
198305,50.4,-0.6
198405,51.3,0.3
198505,53.6,2.6
198605,53.1,2.1
198705,52.2,1.2
198805,51.4,0.4
198905,51.5,0.5
199005,51.7,0.7
199105,56.6,5.6
199205,48.3,-2.7
199305,52.7,1.7
199405,47.7,-3.3
199505,51.4,0.4
199605,50.9,-0.1
199705,48.3,-2.7
199805,54.6,3.6
199905,51.6,0.6
200005,54.1,3.1
200105,52.3,1.3
200205,51,0.0
200305,50.1,-0.9
200405,59.2,8.2
200505,47.4,-3.6
200605,51.3,0.3
200705,52.1,1.1
200805,49.7,-1.3
200905,53.9,2.9
201005,55.2,4.2
201105,55.8,4.8
201205,57.7,6.7
201305,53.8,2.8
201405,54.2,3.2
201505,56.8,5.8
