Wyoming, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,3.1,-4.8
189601,9.8,1.9
189701,4,-3.9
189801,1.4,-6.5
189901,10.4,2.5
190001,14,6.1
190101,10.4,2.5
190201,7.4,-0.5
190301,10.1,2.2
190401,8.3,0.4
190501,10.4,2.5
190601,10,2.1
190701,6,-1.9
190801,8.2,0.3
190901,9.5,1.6
191001,6.4,-1.5
191101,11.9,4.0
191201,7.2,-0.7
191301,5.9,-2.0
191401,13.3,5.4
191501,5.8,-2.1
191601,-1.5,-9.4
191701,1.8,-6.1
191801,4.6,-3.3
191901,10.4,2.5
192001,11.8,3.9
192101,11.7,3.8
192201,-.3,-8.2
192301,14.5,6.6
192401,1.9,-6.0
192501,8.4,0.5
192601,7.9,0.0
192701,8.7,0.8
192801,12.5,4.6
192901,1.2,-6.7
193001,-7.6,-15.5
193101,9.5,1.6
193201,1.5,-6.4
193301,10.3,2.4
193401,15.5,7.6
193501,11,3.1
193601,6.3,-1.6
193701,-7,-14.9
193801,11.7,3.8
193901,12.8,4.9
194001,4.7,-3.2
194101,9.5,1.6
194201,4.4,-3.5
194301,7.5,-0.4
194401,5.7,-2.2
194501,10.5,2.6
194601,9.5,1.6
194701,7.7,-0.2
194801,8,0.1
194901,-6.5,-14.4
195001,3,-4.9
195101,5.4,-2.5
195201,7.1,-0.8
195301,19.8,11.9
195401,12.2,4.3
195501,7.2,-0.7
195601,11.8,3.9
195701,-.5,-8.4
195801,9.9,2.0
195901,9.1,1.2
196001,8.5,0.6
196101,9.4,1.5
196201,.6,-7.3
196301,-1.1,-9.0
196401,8.1,0.2
196501,15.4,7.5
196601,6.9,-1.0
196701,14.1,6.2
196801,6.6,-1.3
196901,10,2.1
197001,10.7,2.8
197101,12.8,4.9
197201,6.2,-1.7
197301,4,-3.9
197401,6.2,-1.7
197501,8.4,0.5
197601,9.1,1.2
197701,4.4,-3.5
197801,6.8,-1.1
197901,-6.5,-14.4
198001,5.6,-2.3
198101,15.4,7.5
198201,5.5,-2.4
198301,16.2,8.3
198401,8,0.1
198501,2.9,-5.0
198601,14.7,6.8
198701,9,1.1
198801,5.9,-2.0
198901,9.3,1.4
199001,13.8,5.9
199101,6,-1.9
199201,10.7,2.8
199301,5.8,-2.1
199401,13.6,5.7
199501,12,4.1
199601,6.4,-1.5
199701,8.8,0.9
199801,12.6,4.7
199901,14.6,6.7
200001,13.8,5.9
200101,9.7,1.8
200201,9.4,1.5
200301,17.4,9.5
200401,10,2.1
200501,14.2,6.3
200601,16.5,8.6
200701,4.9,-3.0
200801,5.3,-2.6
200901,12.4,4.5
201001,11,3.1
201101,10.6,2.7
201201,13.8,5.9
201301,8.7,0.8
201401,12.3,4.4
201501,15,7.1
201601,12.8,4.9
