Arizona, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,55.9,-2.0
189606,61.9,4.0
189706,56.7,-1.2
189806,60.3,2.4
189906,59.4,1.5
190006,59.7,1.8
190106,56.5,-1.4
190206,59.4,1.5
190306,59.5,1.6
190406,58.6,0.7
190506,55.9,-2.0
190606,56,-1.9
190706,53.5,-4.4
190806,54.3,-3.6
190906,57.7,-0.2
191006,58.9,1.0
191106,57.5,-0.4
191206,58.4,0.5
191306,55.5,-2.4
191406,59.4,1.5
191506,56.4,-1.5
191606,56.4,-1.5
191706,57.5,-0.4
191806,64.1,6.2
191906,58.2,0.3
192006,57.2,-0.7
192106,59.1,1.2
192206,59.8,1.9
192306,53.7,-4.2
192406,59.9,2.0
192506,59.3,1.4
192606,59.5,1.6
192706,58,0.1
192806,58.1,0.2
192906,56.9,-1.0
193006,58.7,0.8
193106,59.5,1.6
193206,56.6,-1.3
193306,59,1.1
193406,55.2,-2.7
193506,58.6,0.7
193606,61.3,3.4
193706,58,0.1
193806,58.6,0.7
193906,58.2,0.3
194006,61.8,3.9
194106,55,-2.9
194206,56,-1.9
194306,57.3,-0.6
194406,53.6,-4.3
194506,53.3,-4.6
194606,58.5,0.6
194706,56.7,-1.2
194806,56.6,-1.3
194906,58.3,0.4
195006,55.6,-2.3
195106,54.3,-3.6
195206,56.8,-1.1
195306,57,-0.9
195406,57,-0.9
195506,56.1,-1.8
195606,60.7,2.8
195706,60.1,2.2
195806,60.4,2.5
195906,61.8,3.9
196006,61,3.1
196106,61.2,3.3
196206,56.2,-1.7
196306,55,-2.9
196406,56.4,-1.5
196506,53,-4.9
196606,58,0.1
196706,56.2,-1.7
196806,58,0.1
196906,56.4,-1.5
197006,58.2,0.3
197106,57.1,-0.8
197206,59.1,1.2
197306,58.1,0.2
197406,61.4,3.5
197506,55.6,-2.3
197606,56.8,-1.1
197706,59.7,1.8
197806,59,1.1
197906,57.8,-0.1
198006,57,-0.9
198106,62.7,4.8
198206,55.2,-2.7
198306,55.7,-2.2
198406,58.8,0.9
198506,59.8,1.9
198606,60.8,2.9
198706,59.7,1.8
198806,60.5,2.6
198906,58.8,0.9
199006,61.4,3.5
199106,55.4,-2.5
199206,57.6,-0.3
199306,57.3,-0.6
199406,62.7,4.8
199506,55.5,-2.4
199606,61.3,3.4
199706,57.7,-0.2
199806,55.1,-2.8
199906,58.5,0.6
200006,62.4,4.5
200106,60.7,2.8
200206,61.2,3.3
200306,59.7,1.8
200406,59,1.1
200506,58.1,0.2
200606,63.1,5.2
200706,60.4,2.5
200806,60.2,2.3
200906,58.5,0.6
201006,59.2,1.3
201106,58.4,0.5
201206,61.6,3.7
201306,62.4,4.5
201406,61,3.1
201506,62.8,4.9
