Connecticut, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,57.8,-0.1
189608,58.7,0.8
189708,56.9,-1.0
189808,60.9,3.0
189908,56.4,-1.5
190008,59.5,1.6
190108,59.5,1.6
190208,54.8,-3.1
190308,52.8,-5.1
190408,55.9,-2.0
190508,55.7,-2.2
190608,60.7,2.8
190708,55,-2.9
190808,57.1,-0.8
190908,54.8,-3.1
191008,55.6,-2.3
191108,56.6,-1.3
191208,55.1,-2.8
191308,56.3,-1.6
191408,58.7,0.8
191508,56.7,-1.2
191608,58.2,0.3
191708,59.9,2.0
191808,58.6,0.7
191908,55.5,-2.4
192008,59.7,1.8
192108,55.1,-2.8
192208,57.3,-0.6
192308,54.3,-3.6
192408,56.9,-1.0
192508,56.4,-1.5
192608,59.5,1.6
192708,54.5,-3.4
192808,61.8,3.9
192908,54.8,-3.1
193008,55.9,-2.0
193108,59.4,1.5
193208,57.8,-0.1
193308,59.2,1.3
193408,55.3,-2.6
193508,58,0.1
193608,58.5,0.6
193708,62.2,4.3
193808,60.3,2.4
193908,61.7,3.8
194008,54.6,-3.3
194108,55.8,-2.1
194208,57.7,-0.2
194308,57.7,-0.2
194408,59,1.1
194508,56.5,-1.4
194608,55.5,-2.4
194708,60.3,2.4
194808,59.1,1.2
194908,59.5,1.6
195008,57.4,-0.5
195108,57.9,0.0
195208,59,1.1
195308,56.3,-1.6
195408,55.4,-2.5
195508,61.9,4.0
195608,56.9,-1.0
195708,53.9,-4.0
195808,58.2,0.3
195908,61.1,3.2
196008,58.6,0.7
196108,58.7,0.8
196208,56.5,-1.4
196308,55.3,-2.6
196408,53.1,-4.8
196508,57.7,-0.2
196608,57.7,-0.2
196708,59.5,1.6
196808,57.1,-0.8
196908,59.9,2.0
197008,58.8,0.9
197108,57.5,-0.4
197208,57.2,-0.7
197308,61.6,3.7
197408,58.1,0.2
197508,58.8,0.9
197608,57.5,-0.4
197708,59.1,1.2
197808,60.8,2.9
197908,59.7,1.8
198008,61.3,3.4
198108,57.2,-0.7
198208,55.9,-2.0
198308,59.4,1.5
198408,61,3.1
198508,58.3,0.4
198608,57.3,-0.6
198708,56,-1.9
198808,62.1,4.2
198908,59.1,1.2
199008,61,3.1
199108,60.4,2.5
199208,57,-0.9
199308,60.3,2.4
199408,58.3,0.4
199508,57.7,-0.2
199608,59.9,2.0
199708,58,0.1
199808,60.6,2.7
199908,59.1,1.2
200008,58.2,0.3
200108,62.3,4.4
200208,60.7,2.8
200308,63,5.1
200408,60.1,2.2
200508,62.3,4.4
200608,59.3,1.4
200708,59.3,1.4
200808,56.8,-1.1
200908,61.9,4.0
201008,60.4,2.5
201108,61,3.1
201208,61.5,3.6
201308,58.5,0.6
201408,57.6,-0.3
201508,60.8,2.9
