Mississippi, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,34.4,-1.6
189612,35.4,-0.6
189712,37.1,1.1
189812,31.7,-4.3
189912,34.1,-1.9
190012,36.1,0.1
190112,31.2,-4.8
190212,36,0.0
190312,29.4,-6.6
190412,35,-1.0
190512,32.5,-3.5
190612,40.4,4.4
190712,36.7,0.7
190812,39.2,3.2
190912,29.5,-6.5
191012,33.5,-2.5
191112,38.8,2.8
191212,36.7,0.7
191312,37.7,1.7
191412,33.2,-2.8
191512,35.7,-0.3
191612,35.3,-0.7
191712,29.6,-6.4
191812,40.4,4.4
191912,35.6,-0.4
192012,35.2,-0.8
192112,39.6,3.6
192212,43.1,7.1
192312,44.4,8.4
192412,35.8,-0.2
192512,32.4,-3.6
192612,39.1,3.1
192712,34.3,-1.7
192812,33.6,-2.4
192912,34,-2.0
193012,33.4,-2.6
193112,44.7,8.7
193212,36.6,0.6
193312,43.7,7.7
193412,35,-1.0
193512,30,-6.0
193612,38.3,2.3
193712,36.4,0.4
193812,34.9,-1.1
193912,37,1.0
194012,40.7,4.7
194112,38.6,2.6
194212,36.8,0.8
194312,35.5,-0.5
194412,32.6,-3.4
194512,31.2,-4.8
194612,38.8,2.8
194712,35.7,-0.3
194812,39.9,3.9
194912,38.4,2.4
195012,31.5,-4.5
195112,38.9,2.9
195212,35.7,-0.3
195312,33.6,-2.4
195412,33.7,-2.3
195512,36,0.0
195612,42.5,6.5
195712,37.6,1.6
195812,31.7,-4.3
195912,36.4,0.4
196012,31.6,-4.4
196112,36.8,0.8
196212,32.7,-3.3
196312,25.8,-10.2
196412,37.6,1.6
196512,35.5,-0.5
196612,36,0.0
196712,39.5,3.5
196812,32.4,-3.6
196912,33.8,-2.2
197012,38.6,2.6
197112,45.6,9.6
197212,36.4,0.4
197312,34.3,-1.7
197412,36.4,0.4
197512,34.9,-1.1
197612,30.6,-5.4
197712,35,-1.0
197812,34.1,-1.9
197912,33.6,-2.4
198012,32.9,-3.1
198112,33.2,-2.8
198212,43,7.0
198312,31.1,-4.9
198412,45.9,9.9
198512,29.8,-6.2
198612,37.2,1.2
198712,39.4,3.4
198812,35.1,-0.9
198912,26.9,-9.1
199012,38.9,2.9
199112,40.6,4.6
199212,39.4,3.4
199312,35.6,-0.4
199412,40.4,4.4
199512,35.7,-0.3
199612,39,3.0
199712,35.2,-0.8
199812,40.9,4.9
199912,35.8,-0.2
200012,27.9,-8.1
200112,39.6,3.6
200212,35.8,-0.2
200312,32.8,-3.2
200412,33.5,-2.5
200512,32.2,-3.8
200612,37.7,1.7
200712,40.9,4.9
200812,37.6,1.6
200912,35.3,-0.7
201012,30.9,-5.1
201112,37.8,1.8
201212,41.1,5.1
201312,36.6,0.6
201412,40.7,4.7
201512,46.3,10.3
