Utah, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,41,-0.1
189605,39.2,-1.9
189705,44.7,3.6
189805,39.3,-1.8
189905,37.3,-3.8
190005,42.4,1.3
190105,43.7,2.6
190205,40.6,-0.5
190305,38.7,-2.4
190405,41.5,0.4
190505,38.6,-2.5
190605,40.5,-0.6
190705,38.6,-2.5
190805,36.8,-4.3
190905,37,-4.1
191005,41.3,0.2
191105,38.9,-2.2
191205,38.9,-2.2
191305,40.8,-0.3
191405,42.8,1.7
191505,39.3,-1.8
191605,36.4,-4.7
191705,38.7,-2.4
191805,38.8,-2.3
191905,43.2,2.1
192005,41.4,0.3
192105,41.5,0.4
192205,39.2,-1.9
192305,41.7,0.6
192405,41.4,0.3
192505,43.9,2.8
192605,42.7,1.6
192705,39.4,-1.7
192805,44.4,3.3
192905,39.7,-1.4
193005,38.5,-2.6
193105,40,-1.1
193205,41.4,0.3
193305,36.7,-4.4
193405,45.7,4.6
193505,40.2,-0.9
193605,42.8,1.7
193705,43.5,2.4
193805,40.7,-0.4
193905,42.9,1.8
194005,44.4,3.3
194105,42.9,1.8
194205,37.8,-3.3
194305,40.6,-0.5
194405,41.5,0.4
194505,41.7,0.6
194605,40.5,-0.6
194705,44.4,3.3
194805,40.6,-0.5
194905,42.5,1.4
195005,38,-3.1
195105,42.1,1.0
195205,42.4,1.3
195305,36.7,-4.4
195405,43.4,2.3
195505,39.9,-1.2
195605,43.3,2.2
195705,40.6,-0.5
195805,43.9,2.8
195905,40.1,-1.0
196005,40.5,-0.6
196105,41.1,0.0
196205,40.3,-0.8
196305,43.7,2.6
196405,40.3,-0.8
196505,39,-2.1
196605,42.9,1.8
196705,39.5,-1.6
196805,39.8,-1.3
196905,44.6,3.5
197005,40.8,-0.3
197105,39.9,-1.2
197205,40.7,-0.4
197305,41.9,0.8
197405,42.6,1.5
197505,37.2,-3.9
197605,42.9,1.8
197705,39.6,-1.5
197805,39.1,-2.0
197905,41.5,0.4
198005,40.4,-0.7
198105,41.4,0.3
198205,40.4,-0.7
198305,38.5,-2.6
198405,43.4,2.3
198505,43.4,2.3
198605,40.9,-0.2
198705,43.6,2.5
198805,40.6,-0.5
198905,42.2,1.1
199005,40.6,-0.5
199105,39.5,-1.6
199205,45.3,4.2
199305,43.6,2.5
199405,43.8,2.7
199505,39.1,-2.0
199605,42.9,1.8
199705,43.6,2.5
199805,40.5,-0.6
199905,39.1,-2.0
200005,44.8,3.7
200105,44.4,3.3
200205,41.1,0.0
200305,43.2,2.1
200405,43,1.9
200505,42.4,1.3
200605,43.9,2.8
200705,43.1,2.0
200805,38.8,-2.3
200905,44.6,3.5
201005,36.6,-4.5
201105,38.2,-2.9
201205,43,1.9
201305,41.9,0.8
201405,42.7,1.6
201505,42.1,1.0
