Virginia, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,27.6,0.7
189612,25.4,-1.5
189712,29.7,2.8
189812,26,-0.9
189912,24.7,-2.2
190012,26.4,-0.5
190112,23.5,-3.4
190212,26.7,-0.2
190312,20.6,-6.3
190412,23.5,-3.4
190512,26.4,-0.5
190612,28.1,1.2
190712,27.6,0.7
190812,28.1,1.2
190912,21.7,-5.2
191012,20.5,-6.4
191112,30.5,3.6
191212,27.2,0.3
191312,29.3,2.4
191412,25.4,-1.5
191512,25.1,-1.8
191612,24.3,-2.6
191712,16.9,-10.0
191812,31.9,5.0
191912,22.7,-4.2
192012,29.1,2.2
192112,29.1,2.2
192212,29.6,2.7
192312,33.3,6.4
192412,26.2,-0.7
192512,26.7,-0.2
192612,26.7,-0.2
192712,27.2,0.3
192812,26.1,-0.8
192912,27.7,0.8
193012,24,-2.9
193112,34.2,7.3
193212,28.4,1.5
193312,30.9,4.0
193412,26.6,-0.3
193512,21.3,-5.6
193612,29.1,2.2
193712,26.5,-0.4
193812,27.2,0.3
193912,28,1.1
194012,30.9,4.0
194112,30,3.1
194212,25.2,-1.7
194312,25,-1.9
194412,23.1,-3.8
194512,23.1,-3.8
194612,29.1,2.2
194712,24.7,-2.2
194812,29.4,2.5
194912,28.5,1.6
195012,23,-3.9
195112,27.8,0.9
195212,27.6,0.7
195312,27.9,1.0
195412,25.4,-1.5
195512,22,-4.9
195612,35.4,8.5
195712,29.5,2.6
195812,20.8,-6.1
195912,28.9,2.0
196012,19,-7.9
196112,26.4,-0.5
196212,21.8,-5.1
196312,19.4,-7.5
196412,29.8,2.9
196512,27.6,0.7
196612,26.1,-0.8
196712,29,2.1
196812,24.2,-2.7
196912,25,-1.9
197012,28.3,1.4
197112,34.7,7.8
197212,33.4,6.5
197312,28.2,1.3
197412,28.5,1.6
197512,27.2,0.3
197612,22,-4.9
197712,25.8,-1.1
197812,27.8,0.9
197912,27.7,0.8
198012,25.6,-1.3
198112,25.2,-1.7
198212,33.2,6.3
198312,25,-1.9
198412,34,7.1
198512,24,-2.9
198612,28.1,1.2
198712,30.7,3.8
198812,25.4,-1.5
198912,17.1,-9.8
199012,32.1,5.2
199112,30.3,3.4
199212,29,2.1
199312,26.5,-0.4
199412,31.9,5.0
199512,24.2,-2.7
199612,30.6,3.7
199712,28.6,1.7
199812,32.2,5.3
199912,28.7,1.8
200012,20.3,-6.6
200112,32.6,5.7
200212,26.8,-0.1
200312,26.9,0.0
200412,27.5,0.6
200512,25.5,-1.4
200612,31,4.1
200712,32.3,5.4
200812,30.3,3.4
200912,26.7,-0.2
201012,22.1,-4.8
201112,31.9,5.0
201212,33.2,6.3
201312,30.3,3.4
201412,32.1,5.2
201512,40.2,13.3
