South Dakota, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.2,-7.6
189602,11.3,2.5
189702,4.5,-4.3
189802,10.4,1.6
189902,-6.7,-15.5
190002,.4,-8.4
190102,2.9,-5.9
190202,7.7,-1.1
190302,-1.1,-9.9
190402,-2.3,-11.1
190502,-.9,-9.7
190602,8.5,-0.3
190702,11,2.2
190802,10.4,1.6
190902,8.4,-0.4
191002,-1.1,-9.9
191102,6.7,-2.1
191202,9.6,0.8
191302,1.9,-6.9
191402,-1.4,-10.2
191502,13.5,4.7
191602,6.2,-2.6
191702,-2.1,-10.9
191802,5.7,-3.1
191902,6.5,-2.3
192002,11.5,2.7
192102,15.2,6.4
192202,-3.7,-12.5
192302,2.2,-6.6
192402,12.9,4.1
192502,14.9,6.1
192602,17.8,9.0
192702,12.8,4.0
192802,12.8,4.0
192902,-2.8,-11.6
193002,20.5,11.7
193102,20.2,11.4
193202,9.7,0.9
193302,2.7,-6.1
193402,12.3,3.5
193502,19.3,10.5
193602,-15.5,-24.3
193702,3.4,-5.4
193802,5.9,-2.9
193902,-2.3,-11.1
194002,10.4,1.6
194102,8.7,-0.1
194202,9.6,0.8
194302,12.2,3.4
194402,5,-3.8
194502,10.5,1.7
194602,9.8,1.0
194702,4.4,-4.4
194802,4,-4.8
194902,-.2,-9.0
195002,7.2,-1.6
195102,9.9,1.1
195202,13.8,5.0
195302,12.6,3.8
195402,24,15.2
195502,3,-5.8
195602,3.2,-5.6
195702,10.2,1.4
195802,5.6,-3.2
195902,2.3,-6.5
196002,5.2,-3.6
196102,13.8,5.0
196202,7.1,-1.7
196302,11.1,2.3
196402,13.7,4.9
196502,5.2,-3.6
196602,3.8,-5.0
196702,5.9,-2.9
196802,9.6,0.8
196902,10.8,2.0
197002,11.3,2.5
197102,7.6,-1.2
197202,4.7,-4.1
197302,13.5,4.7
197402,13.2,4.4
197502,4.6,-4.2
197602,19.1,10.3
197702,17.2,8.4
197802,.6,-8.2
197902,-3.4,-12.2
198002,9.6,0.8
198102,13.5,4.7
198202,7.8,-1.0
198302,19.4,10.6
198402,20.2,11.4
198502,6.4,-2.4
198602,8.5,-0.3
198702,21.5,12.7
198802,6.4,-2.4
198902,-.3,-9.1
199002,13.5,4.7
199102,18.7,9.9
199202,21.3,12.5
199302,4.4,-4.4
199402,1.9,-6.9
199502,14.9,6.1
199602,12,3.2
199702,13.6,4.8
199802,24.5,15.7
199902,22.2,13.4
200002,18.1,9.3
200102,2.4,-6.4
200202,16.8,8.0
200302,7.8,-1.0
200402,12.5,3.7
200502,17,8.2
200602,12.3,3.5
200702,5.9,-2.9
200802,7.2,-1.6
200902,13,4.2
201002,5.2,-3.6
201102,6,-2.8
201202,13.9,5.1
201302,13.7,4.9
201402,2.5,-6.3
201502,7,-1.8
201602,21.5,12.7
