Louisiana, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,38.3,-2.2
189612,38.6,-1.9
189712,41.4,0.9
189812,36.6,-3.9
189912,39.2,-1.3
190012,40.3,-0.2
190112,36.7,-3.8
190212,39.6,-0.9
190312,34,-6.5
190412,38.8,-1.7
190512,35.4,-5.1
190612,45,4.5
190712,41.6,1.1
190812,44.4,3.9
190912,34.6,-5.9
191012,40.4,-0.1
191112,42.8,2.3
191212,41.2,0.7
191312,41.7,1.2
191412,38,-2.5
191512,39.1,-1.4
191612,40.3,-0.2
191712,35.9,-4.6
191812,43.2,2.7
191912,40.6,0.1
192012,39.4,-1.1
192112,44.6,4.1
192212,48.1,7.6
192312,49.2,8.7
192412,41.1,0.6
192512,36.4,-4.1
192612,44.6,4.1
192712,38.8,-1.7
192812,37.8,-2.7
192912,38.5,-2.0
193012,37.2,-3.3
193112,47.5,7.0
193212,41.2,0.7
193312,48.6,8.1
193412,40.2,-0.3
193512,35.6,-4.9
193612,41.5,1.0
193712,41.9,1.4
193812,39.3,-1.2
193912,41.8,1.3
194012,45,4.5
194112,42.4,1.9
194212,40.8,0.3
194312,40.2,-0.3
194412,37.3,-3.2
194512,36.4,-4.1
194612,43.7,3.2
194712,40.7,0.2
194812,43.5,3.0
194912,43.3,2.8
195012,37.3,-3.2
195112,43.4,2.9
195212,39.5,-1.0
195312,38.1,-2.4
195412,38.7,-1.8
195512,41.6,1.1
195612,45.5,5.0
195712,40.9,0.4
195812,36.5,-4.0
195912,40.3,-0.2
196012,37.4,-3.1
196112,40.4,-0.1
196212,38.1,-2.4
196312,31.4,-9.1
196412,41.8,1.3
196512,41,0.5
196612,40.3,-0.2
196712,42.8,2.3
196812,37.4,-3.1
196912,39.1,-1.4
197012,44.5,4.0
197112,49.7,9.2
197212,39.5,-1.0
197312,37.8,-2.7
197412,40.6,0.1
197512,38.9,-1.6
197612,35.6,-4.9
197712,39.1,-1.4
197812,39.1,-1.4
197912,37.2,-3.3
198012,37.5,-3.0
198112,38,-2.5
198212,45.9,5.4
198312,34.6,-5.9
198412,50.6,10.1
198512,35.4,-5.1
198612,40.9,0.4
198712,43.8,3.3
198812,39.9,-0.6
198912,31.2,-9.3
199012,42.3,1.8
199112,45.8,5.3
199212,44.4,3.9
199312,40,-0.5
199412,43.7,3.2
199512,40.8,0.3
199612,43.9,3.4
199712,38.6,-1.9
199812,44.6,4.1
199912,38.6,-1.9
200012,33.8,-6.7
200112,43.7,3.2
200212,40.4,-0.1
200312,37.3,-3.2
200412,38.3,-2.2
200512,37.4,-3.1
200612,41.8,1.3
200712,44.6,4.1
200812,41.7,1.2
200912,39.5,-1.0
201012,36.6,-3.9
201112,41.5,1.0
201212,44.3,3.8
201312,39.9,-0.6
201412,44.4,3.9
201512,49.2,8.7
