Washington, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,45.2,-0.4
189606,45,-0.6
189706,45.8,0.2
189806,45.2,-0.4
189906,43.1,-2.5
190006,47.6,2.0
190106,42.1,-3.5
190206,42.8,-2.8
190306,48.1,2.5
190406,43.2,-2.4
190506,45.8,0.2
190606,43.3,-2.3
190706,44.4,-1.2
190806,44,-1.6
190906,44.2,-1.4
191006,43.2,-2.4
191106,44.8,-0.8
191206,46.3,0.7
191306,46.5,0.9
191406,44.2,-1.4
191506,44.6,-1.0
191606,43.8,-1.8
191706,42.1,-3.5
191806,46.4,0.8
191906,40.9,-4.7
192006,43,-2.6
192106,46.8,1.2
192206,47.1,1.5
192306,45.7,0.1
192406,44.8,-0.8
192506,45.7,0.1
192606,46.6,1.0
192706,47.2,1.6
192806,46.3,0.7
192906,45.5,-0.1
193006,43.7,-1.9
193106,46.2,0.6
193206,45.9,0.3
193306,44,-1.6
193406,45.6,0.0
193506,44.7,-0.9
193606,47.8,2.2
193706,46.6,1.0
193806,46.7,1.1
193906,44.4,-1.2
194006,46.5,0.9
194106,46.4,0.8
194206,44.7,-0.9
194306,43.5,-2.1
194406,46.1,0.5
194506,44.3,-1.3
194606,44.6,-1.0
194706,45.9,0.3
194806,49.5,3.9
194906,43.4,-2.2
195006,46.2,0.6
195106,45,-0.6
195206,44.6,-1.0
195306,43.6,-2.0
195406,43,-2.6
195506,45.8,0.2
195606,44.6,-1.0
195706,47.1,1.5
195806,50.9,5.3
195906,46.3,0.7
196006,45,-0.6
196106,48,2.4
196206,43.8,-1.8
196306,46.5,0.9
196406,45.5,-0.1
196506,44.6,-1.0
196606,44.2,-1.4
196706,48.1,2.5
196806,45.6,0.0
196906,50.4,4.8
197006,48.2,2.6
197106,43.8,-1.8
197206,46.5,0.9
197306,45.6,0.0
197406,46.2,0.6
197506,44.7,-0.9
197606,42.6,-3.0
197706,47.8,2.2
197806,47,1.4
197906,45.5,-0.1
198006,45,-0.6
198106,44.4,-1.2
198206,48.4,2.8
198306,45.9,0.3
198406,44.8,-0.8
198506,45.4,-0.2
198606,48.7,3.1
198706,47.2,1.6
198806,45.9,0.3
198906,48.1,2.5
199006,46.8,1.2
199106,44.3,-1.3
199206,50.5,4.9
199306,46.6,1.0
199406,45.1,-0.5
199506,46.7,1.1
199606,44.7,-0.9
199706,46.1,0.5
199806,47.7,2.1
199906,45.2,-0.4
200006,46.4,0.8
200106,44.3,-1.3
200206,47.1,1.5
200306,47.8,2.2
200406,47.9,2.3
200506,46.2,0.6
200606,48.1,2.5
200706,46,0.4
200806,44.4,-1.2
200906,47.8,2.2
201006,45.6,0.0
201106,44.9,-0.7
201206,44.9,-0.7
201306,47.6,2.0
201406,46.9,1.3
201506,51.8,6.2
