South Carolina, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.7,1.1
189606,67.5,1.9
189706,68.4,2.8
189806,67.6,2.0
189906,68.1,2.5
190006,67.2,1.6
190106,66.6,1.0
190206,66.5,0.9
190306,63.6,-2.0
190406,64.4,-1.2
190506,66.8,1.2
190606,67.1,1.5
190706,63.3,-2.3
190806,65.1,-0.5
190906,67.9,2.3
191006,63.7,-1.9
191106,67,1.4
191206,64.4,-1.2
191306,64,-1.6
191406,68.4,2.8
191506,63.9,-1.7
191606,64.4,-1.2
191706,64.6,-1.0
191806,65.1,-0.5
191906,65.6,0.0
192006,64.8,-0.8
192106,66.2,0.6
192206,67.1,1.5
192306,65.7,0.1
192406,66.9,1.3
192506,67.8,2.2
192606,65.3,-0.3
192706,65.1,-0.5
192806,65.4,-0.2
192906,63.9,-1.7
193006,63.5,-2.1
193106,64.5,-1.1
193206,67.1,1.5
193306,65.1,-0.5
193406,67.9,2.3
193506,65.7,0.1
193606,65.1,-0.5
193706,67.1,1.5
193806,64.2,-1.4
193906,69.2,3.6
194006,66.5,0.9
194106,66.6,1.0
194206,67.4,1.8
194306,69.4,3.8
194406,67.1,1.5
194506,66.6,1.0
194606,64.4,-1.2
194706,64.7,-0.9
194806,65.8,0.2
194906,66.8,1.2
195006,67,1.4
195106,66,0.4
195206,69.9,4.3
195306,66.8,1.2
195406,65.2,-0.4
195506,61.2,-4.4
195606,64.8,-0.8
195706,67.2,1.6
195806,66,0.4
195906,65,-0.6
196006,65.5,-0.1
196106,63.8,-1.8
196206,65.6,0.0
196306,65.6,0.0
196406,67.1,1.5
196506,64.3,-1.3
196606,61.4,-4.2
196706,63.1,-2.5
196806,64.8,-0.8
196906,67.3,1.7
197006,64.5,-1.1
197106,66,0.4
197206,60.1,-5.5
197306,66.5,0.9
197406,62.9,-2.7
197506,65.3,-0.3
197606,63.5,-2.1
197706,65.3,-0.3
197806,65.7,0.1
197906,62.7,-2.9
198006,64.8,-0.8
198106,69.2,3.6
198206,66.4,0.8
198306,63.2,-2.4
198406,65.2,-0.4
198506,65.5,-0.1
198606,68.2,2.6
198706,67,1.4
198806,61.3,-4.3
198906,67.2,1.6
199006,65.2,-0.4
199106,66.3,0.7
199206,64.6,-1.0
199306,66.2,0.6
199406,67.9,2.3
199506,65.4,-0.2
199606,65.4,-0.2
199706,64.1,-1.5
199806,68.1,2.5
199906,65.2,-0.4
200006,66.5,0.9
200106,66.7,1.1
200206,66.3,0.7
200306,65.5,-0.1
200406,69,3.4
200506,67.1,1.5
200606,64.9,-0.7
200706,66,0.4
200806,67.6,2.0
200906,68.1,2.5
201006,70.8,5.2
201106,68.5,2.9
201206,63.5,-2.1
201306,67.9,2.3
201406,67.6,2.0
201506,69,3.4
