Alabama, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,58.4,0.1
189605,63.9,5.6
189705,55.9,-2.4
189805,60.2,1.9
189905,63.6,5.3
190005,58.4,0.1
190105,57.1,-1.2
190205,63.1,4.8
190305,58.7,0.4
190405,56.2,-2.1
190505,63.7,5.4
190605,57.7,-0.6
190705,57.4,-0.9
190805,59.6,1.3
190905,56.6,-1.7
191005,56,-2.3
191105,58.7,0.4
191205,59.2,0.9
191305,58.2,-0.1
191405,57.7,-0.6
191505,62.5,4.2
191605,59.8,1.5
191705,52.3,-6.0
191805,59.9,1.6
191905,58.2,-0.1
192005,60,1.7
192105,57.5,-0.8
192205,61.1,2.8
192305,58.4,0.1
192405,55.1,-3.2
192505,56.3,-2.0
192605,56.6,-1.7
192705,60.3,2.0
192805,56.7,-1.6
192905,60.2,1.9
193005,60.2,1.9
193105,55.1,-3.2
193205,57.5,-0.8
193305,63.5,5.2
193405,59.4,1.1
193505,60.1,1.8
193605,59.7,1.4
193705,59.9,1.6
193805,60.2,1.9
193905,58.6,0.3
194005,54.3,-4.0
194105,58.6,0.3
194205,57.5,-0.8
194305,60.9,2.6
194405,59.1,0.8
194505,55.9,-2.4
194605,58.8,0.5
194705,57.4,-0.9
194805,58,-0.3
194905,59.3,1.0
195005,62.3,4.0
195105,55.8,-2.5
195205,58.6,0.3
195305,62.5,4.2
195405,54.1,-4.2
195505,60.6,2.3
195605,60.9,2.6
195705,60.4,2.1
195805,58.5,0.2
195905,60.5,2.2
196005,54.7,-3.6
196105,55.2,-3.1
196205,60.8,2.5
196305,59.2,0.9
196405,58.2,-0.1
196505,58.4,0.1
196605,58.1,-0.2
196705,56.3,-2.0
196805,56.8,-1.5
196905,57.7,-0.6
197005,57.2,-1.1
197105,53.6,-4.7
197205,56.9,-1.4
197305,55.1,-3.2
197405,60.3,2.0
197505,61.3,3.0
197605,54.1,-4.2
197705,58.7,0.4
197805,58.4,0.1
197905,58.2,-0.1
198005,59.2,0.9
198105,54.5,-3.8
198205,58.6,0.3
198305,56.7,-1.6
198405,56.2,-2.1
198505,58.9,0.6
198605,59.5,1.2
198705,62.4,4.1
198805,53.7,-4.6
198905,57.1,-1.2
199005,57.8,-0.5
199105,64.3,6.0
199205,55,-3.3
199305,57.3,-1.0
199405,56.2,-2.1
199505,60.5,2.2
199605,60.5,2.2
199705,55.1,-3.2
199805,60.8,2.5
199905,56.6,-1.7
200005,61.6,3.3
200105,57.8,-0.5
200205,58.2,-0.1
200305,61.6,3.3
200405,61.3,3.0
200505,55.4,-2.9
200605,58.5,0.2
200705,57,-1.3
200805,58.5,0.2
200905,62.2,3.9
201005,62.3,4.0
201105,56.8,-1.5
201205,61.4,3.1
201305,56.8,-1.5
201405,58.2,-0.1
201505,60,1.7
