Kentucky, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,63.6,0.3
189608,64,0.7
189708,62.7,-0.6
189808,65.2,1.9
189908,65.3,2.0
190008,67.5,4.2
190108,64.6,1.3
190208,62.4,-0.9
190308,63.8,0.5
190408,62.5,-0.8
190508,64,0.7
190608,67.2,3.9
190708,62.9,-0.4
190808,63.4,0.1
190908,64.4,1.1
191008,61.4,-1.9
191108,64.4,1.1
191208,62.9,-0.4
191308,64.4,1.1
191408,64,0.7
191508,61.7,-1.6
191608,65.9,2.6
191708,61.8,-1.5
191808,66.8,3.5
191908,62.1,-1.2
192008,62.3,-1.0
192108,63.6,0.3
192208,61.3,-2.0
192308,63.8,0.5
192408,63.5,0.2
192508,61,-2.3
192608,66.5,3.2
192708,58.8,-4.5
192808,65.8,2.5
192908,60.1,-3.2
193008,61.2,-2.1
193108,63.6,0.3
193208,63.6,0.3
193308,63.1,-0.2
193408,65.7,2.4
193508,65.6,2.3
193608,66.9,3.6
193708,66.1,2.8
193808,66,2.7
193908,62.9,-0.4
194008,64.1,0.8
194108,64.1,0.8
194208,63.9,0.6
194308,64.5,1.2
194408,64.2,0.9
194508,62.4,-0.9
194608,59.3,-4.0
194708,68.3,5.0
194808,60.9,-2.4
194908,63.6,0.3
195008,60.5,-2.8
195108,62.6,-0.7
195208,63.4,0.1
195308,61,-2.3
195408,65.1,1.8
195508,65.4,2.1
195608,62.6,-0.7
195708,60.4,-2.9
195808,62.7,-0.6
195908,66.1,2.8
196008,65.1,1.8
196108,62.4,-0.9
196208,61.7,-1.6
196308,61.1,-2.2
196408,61.8,-1.5
196508,61.5,-1.8
196608,61.8,-1.5
196708,59.1,-4.2
196808,64.5,1.2
196908,61,-2.3
197008,63.7,0.4
197108,61.4,-1.9
197208,62.9,-0.4
197308,63.4,0.1
197408,63.1,-0.2
197508,66.4,3.1
197608,59.3,-4.0
197708,64.5,1.2
197808,64.6,1.3
197908,63.8,0.5
198008,66.9,3.6
198108,62.7,-0.6
198208,61.3,-2.0
198308,66.5,3.2
198408,63.5,0.2
198508,63.4,0.1
198608,60.7,-2.6
198708,64.4,1.1
198808,65.7,2.4
198908,63.2,-0.1
199008,62.6,-0.7
199108,62.9,-0.4
199208,60.5,-2.8
199308,64.6,1.3
199408,61.2,-2.1
199508,68.2,4.9
199608,63.3,0.0
199708,62.1,-1.2
199808,63.9,0.6
199908,61.7,-1.6
200008,63.9,0.6
200108,66.2,2.9
200208,65.6,2.3
200308,65.6,2.3
200408,60.4,-2.9
200508,66.9,3.6
200608,67.1,3.8
200708,68,4.7
200808,61.8,-1.5
200908,63.2,-0.1
201008,66.7,3.4
201108,64,0.7
201208,62.5,-0.8
201308,63.9,0.6
201408,64.6,1.3
201508,61.8,-1.5
