Kansas, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,27.9,-1.7
189603,24.7,-4.9
189703,29,-0.6
189803,27.7,-1.9
189903,22.6,-7.0
190003,28.4,-1.2
190103,26.7,-2.9
190203,31.9,2.3
190303,29.3,-0.3
190403,30,0.4
190503,36.9,7.3
190603,22.3,-7.3
190703,36.1,6.5
190803,31.6,2.0
190903,27.7,-1.9
191003,37.1,7.5
191103,32,2.4
191203,21.6,-8.0
191303,24.9,-4.7
191403,28.5,-1.1
191503,23.3,-6.3
191603,30.2,0.6
191703,26.2,-3.4
191803,33.4,3.8
191903,31.4,1.8
192003,28.7,-0.9
192103,34.7,5.1
192203,29.6,0.0
192303,24.8,-4.8
192403,24.5,-5.1
192503,32.3,2.7
192603,27.6,-2.0
192703,30.2,0.6
192803,31.8,2.2
192903,32.4,2.8
193003,25.7,-3.9
193103,26.1,-3.5
193203,23.2,-6.4
193303,31.6,2.0
193403,27.8,-1.8
193503,36.5,6.9
193603,31.2,1.6
193703,27.7,-1.9
193803,36.8,7.2
193903,31.2,1.6
194003,30.3,0.7
194103,28,-1.6
194203,30,0.4
194303,24.2,-5.4
194403,26.5,-3.1
194503,34.1,4.5
194603,38.2,8.6
194703,26.4,-3.2
194803,24,-5.6
194903,30.5,0.9
195003,26,-3.6
195103,24.6,-5.0
195203,26.4,-3.2
195303,33.6,4.0
195403,26.9,-2.7
195503,26.3,-3.3
195603,28.1,-1.5
195703,30.5,0.9
195803,24.6,-5.0
195903,29.8,0.2
196003,21.3,-8.3
196103,31.8,2.2
196203,26.3,-3.3
196303,33,3.4
196403,25.2,-4.4
196503,20.7,-8.9
196603,31.5,1.9
196703,31.9,2.3
196803,31.4,1.8
196903,23.3,-6.3
197003,26.1,-3.5
197103,28,-1.6
197203,32.1,2.5
197303,37.1,7.5
197403,33.5,3.9
197503,26.5,-3.1
197603,30.2,0.6
197703,32.3,2.7
197803,28.1,-1.5
197903,32.1,2.5
198003,27.6,-2.0
198103,32.5,2.9
198203,30.3,0.7
198303,32.3,2.7
198403,27.9,-1.7
198503,34,4.4
198603,35.4,5.8
198703,32,2.4
198803,29.1,-0.5
198903,28.8,-0.8
199003,34.1,4.5
199103,32.8,3.2
199203,34.9,5.3
199303,30.6,1.0
199403,32.3,2.7
199503,31.9,2.3
199603,23.7,-5.9
199703,31.3,1.7
199803,28.4,-1.2
199903,31,1.4
200003,35,5.4
200103,30.3,0.7
200203,24.4,-5.2
200303,31.6,2.0
200403,36.8,7.2
200503,31.7,2.1
200603,32.9,3.3
200703,40.1,10.5
200803,29.9,0.3
200903,30.6,1.0
201003,32.9,3.3
201103,32,2.4
201203,41.8,12.2
201303,27.8,-1.8
201403,26.1,-3.5
201503,31.8,2.2
201603,34.5,4.9
