Rhode Island, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,11.8,-7.2
189602,19.2,0.2
189702,19.9,0.9
189802,21.4,2.4
189902,15.6,-3.4
190002,17.8,-1.2
190102,12.9,-6.1
190202,17.6,-1.4
190302,20.7,1.7
190402,10.7,-8.3
190502,11.3,-7.7
190602,18.1,-0.9
190702,9.1,-9.9
190802,14.8,-4.2
190902,22,3.0
191002,17.9,-1.1
191102,16.1,-2.9
191202,14.9,-4.1
191302,15.8,-3.2
191402,12,-7.0
191502,22.1,3.1
191602,14.7,-4.3
191702,15.2,-3.8
191802,13.8,-5.2
191902,20.4,1.4
192002,15.9,-3.1
192102,20.9,1.9
192202,19.8,0.8
192302,10.6,-8.4
192402,14.7,-4.3
192502,25.7,6.7
192602,16.2,-2.8
192702,23,4.0
192802,17.5,-1.5
192902,19.2,0.2
193002,20.5,1.5
193102,19.1,0.1
193202,21,2.0
193302,21.3,2.3
193402,3.5,-15.5
193502,16.8,-2.2
193602,12.3,-6.7
193702,23.9,4.9
193802,22,3.0
193902,22,3.0
194002,20.1,1.1
194102,18.8,-0.2
194202,17.6,-1.4
194302,18.9,-0.1
194402,18.7,-0.3
194502,20.1,1.1
194602,16.5,-2.5
194702,18.3,-0.7
194802,15.1,-3.9
194902,24.5,5.5
195002,18.5,-0.5
195102,23.7,4.7
195202,23.3,4.3
195302,24.7,5.7
195402,25.5,6.5
195502,21.6,2.6
195602,23.6,4.6
195702,24.1,5.1
195802,15.8,-3.2
195902,15.5,-3.5
196002,25.3,6.3
196102,19.9,0.9
196202,16.4,-2.6
196302,14.6,-4.4
196402,17.8,-1.2
196502,18,-1.0
196602,20.7,1.7
196702,15.4,-3.6
196802,14.8,-4.2
196902,22,3.0
197002,18.8,-0.2
197102,21.6,2.6
197202,16.9,-2.1
197302,19.7,0.7
197402,18.4,-0.6
197502,21.1,2.1
197602,23.4,4.4
197702,19.2,0.2
197802,11.9,-7.1
197902,12,-7.0
198002,16.6,-2.4
198102,25.4,6.4
198202,21.9,2.9
198302,22.4,3.4
198402,27.3,8.3
198502,21.4,2.4
198602,20.5,1.5
198702,17.6,-1.4
198802,21.3,2.3
198902,19.9,0.9
199002,23.3,4.3
199102,24,5.0
199202,21.9,2.9
199302,15,-4.0
199402,15.7,-3.3
199502,18.5,-0.5
199602,19.9,0.9
199702,27.1,8.1
199802,28.2,9.2
199902,24.4,5.4
200002,24.6,5.6
200102,22.2,3.2
200202,24.8,5.8
200302,16.9,-2.1
200402,21.8,2.8
200502,21.5,2.5
200602,21.9,2.9
200702,17.3,-1.7
200802,23.1,4.1
200902,22.4,3.4
201002,24.4,5.4
201102,18.4,-0.6
201202,26.2,7.2
201302,23,4.0
201402,18.3,-0.7
201502,7,-12.0
