Minnesota, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,34.5,4.5
189604,31.5,1.5
189704,30.6,0.6
189804,28.3,-1.7
189904,28.9,-1.1
190004,34.5,4.5
190104,32.6,2.6
190204,27.8,-2.2
190304,30.1,0.1
190404,26.9,-3.1
190504,28,-2.0
190604,34,4.0
190704,22.4,-7.6
190804,30.9,0.9
190904,23.8,-6.2
191004,32.5,2.5
191104,29.4,-0.6
191204,30.4,0.4
191304,32.4,2.4
191404,28.1,-1.9
191504,38.3,8.3
191604,28.9,-1.1
191704,27.8,-2.2
191804,26.9,-3.1
191904,31.6,1.6
192004,23,-7.0
192104,32.8,2.8
192204,30.9,0.9
192304,27.4,-2.6
192404,29.2,-0.8
192504,34.7,4.7
192604,25.2,-4.8
192704,31.5,1.5
192804,23.9,-6.1
192904,30.6,0.6
193004,31,1.0
193104,30.5,0.5
193204,30.4,0.4
193304,29,-1.0
193404,29.8,-0.2
193504,28.7,-1.3
193604,23.7,-6.3
193704,30.1,0.1
193804,29.8,-0.2
193904,26.7,-3.3
194004,28.1,-1.9
194104,37,7.0
194204,34,4.0
194304,28.8,-1.2
194404,26.8,-3.2
194504,28.5,-1.5
194604,33.5,3.5
194704,28,-2.0
194804,32.4,2.4
194904,30.8,0.8
195004,23.4,-6.6
195104,28.9,-1.1
195204,32.6,2.6
195304,28.2,-1.8
195404,29.3,-0.7
195504,36.4,6.4
195604,25.5,-4.5
195704,29.7,-0.3
195804,31.2,1.2
195904,29,-1.0
196004,30.7,0.7
196104,26.3,-3.7
196204,27.2,-2.8
196304,32.1,2.1
196404,31.1,1.1
196504,31.1,1.1
196604,28.2,-1.8
196704,29.8,-0.2
196804,31.7,1.7
196904,32.9,2.9
197004,29.6,-0.4
197104,30.3,0.3
197204,28.4,-1.6
197304,29.9,-0.1
197404,31,1.0
197504,27,-3.0
197604,33.9,3.9
197704,35.7,5.7
197804,30.8,0.8
197904,27.2,-2.8
198004,32.6,2.6
198104,33.4,3.4
198204,27.2,-2.8
198304,29.1,-0.9
198404,32.8,2.8
198504,34.7,4.7
198604,34.3,4.3
198704,34.6,4.6
198804,29.1,-0.9
198904,29,-1.0
199004,30.3,0.3
199104,34.2,4.2
199204,29.6,-0.4
199304,29.3,-0.7
199404,29.7,-0.3
199504,27.5,-2.5
199604,25.7,-4.3
199704,27.4,-2.6
199804,34.3,4.3
199904,33.9,3.9
200004,30.4,0.4
200104,33.4,3.4
200204,30,0.0
200304,31.1,1.1
200404,30.5,0.5
200504,35.4,5.4
200604,36.8,6.8
200704,29.5,-0.5
200804,29,-1.0
200904,31.2,1.2
201004,36.6,6.6
201104,32,2.0
201204,33.9,3.9
201304,24.9,-5.1
201404,27.9,-2.1
201504,31.7,1.7
