Oklahoma, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,18.2,-10.8
189602,28,-1.0
189702,29.7,0.7
189802,30.1,1.1
189902,15.5,-13.5
190002,24,-5.0
190102,25.5,-3.5
190202,23,-6.0
190302,24.8,-4.2
190402,28.9,-0.1
190502,17.1,-11.9
190602,27.4,-1.6
190702,28.4,-0.6
190802,30.9,1.9
190902,28.4,-0.6
191002,22.9,-6.1
191102,32.5,3.5
191202,25.7,-3.3
191302,23.6,-5.4
191402,23.7,-5.3
191502,33.6,4.6
191602,27.4,-1.6
191702,25.1,-3.9
191802,28.4,-0.6
191902,29.3,0.3
192002,30.3,1.3
192102,31.1,2.1
192202,30.3,1.3
192302,27,-2.0
192402,29.2,0.2
192502,32.5,3.5
192602,33.4,4.4
192702,34.2,5.2
192802,31.4,2.4
192902,21,-8.0
193002,37.1,8.1
193102,35.6,6.6
193202,36.5,7.5
193302,24.7,-4.3
193402,29,0.0
193502,31.7,2.7
193602,19.7,-9.3
193702,28.6,-0.4
193802,34.8,5.8
193902,25.1,-3.9
194002,29.7,0.7
194102,29.8,0.8
194202,28.2,-0.8
194302,31.3,2.3
194402,33.9,4.9
194502,30.6,1.6
194602,32.7,3.7
194702,23.4,-5.6
194802,27.8,-1.2
194902,29,0.0
195002,31.6,2.6
195102,29.6,0.6
195202,33.4,4.4
195302,30.7,1.7
195402,35,6.0
195502,27.1,-1.9
195602,29.4,0.4
195702,36.3,7.3
195802,26.5,-2.5
195902,28.4,-0.6
196002,24.6,-4.4
196102,31.4,2.4
196202,31.6,2.6
196302,25.7,-3.3
196402,26.4,-2.6
196502,26.2,-2.8
196602,26.4,-2.6
196702,26.6,-2.4
196802,25.6,-3.4
196902,30.9,1.9
197002,29.6,0.6
197102,26.6,-2.4
197202,28.6,-0.4
197302,28.8,-0.2
197402,29.9,0.9
197502,26,-3.0
197602,35.3,6.3
197702,30.6,1.6
197802,20.4,-8.6
197902,21.5,-7.5
198002,25.3,-3.7
198102,29.3,0.3
198202,25.3,-3.7
198302,31.7,2.7
198402,30.5,1.5
198502,25.5,-3.5
198602,32,3.0
198702,34.7,5.7
198802,26.5,-2.5
198902,23.3,-5.7
199002,32.2,3.2
199102,32.2,3.2
199202,35.6,6.6
199302,28,-1.0
199402,25,-4.0
199502,31.8,2.8
199602,28,-1.0
199702,32.8,3.8
199802,34.5,5.5
199902,36.2,7.2
200002,34.3,5.3
200102,30.3,1.3
200202,28.6,-0.4
200302,27.5,-1.5
200402,28.2,-0.8
200502,35,6.0
200602,27.4,-1.6
200702,28,-1.0
200802,28.4,-0.6
200902,33.3,4.3
201002,27.5,-1.5
201102,26.1,-2.9
201202,32.9,3.9
201302,29.1,0.1
201402,24.3,-4.7
201502,25.2,-3.8
