Illinois, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,50.4,-0.3
189605,57.4,6.7
189705,46.2,-4.5
189805,51.4,0.7
189905,52.4,1.7
190005,51.8,1.1
190105,48.4,-2.3
190205,54.6,3.9
190305,53.2,2.5
190405,50,-0.7
190505,51,0.3
190605,50.4,-0.3
190705,44.4,-6.3
190805,52.4,1.7
190905,48,-2.7
191005,45.9,-4.8
191105,54.4,3.7
191205,52.9,2.2
191305,50.4,-0.3
191405,51.5,0.8
191505,48.4,-2.3
191605,51.5,0.8
191705,44.3,-6.4
191805,54.5,3.8
191905,48.2,-2.5
192005,49.3,-1.4
192105,52.2,1.5
192205,54.5,3.8
192305,48.5,-2.2
192405,44.5,-6.2
192505,44.6,-6.1
192605,50.7,0.0
192705,50.3,-0.4
192805,49.4,-1.3
192905,48.3,-2.4
193005,51.5,0.8
193105,47.1,-3.6
193205,50.6,-0.1
193305,53.9,3.2
193405,52.6,1.9
193505,47.4,-3.3
193605,53.9,3.2
193705,51.5,0.8
193805,51.1,0.4
193905,52.8,2.1
194005,47.5,-3.2
194105,53.6,2.9
194205,50.9,0.2
194305,50.6,-0.1
194405,56,5.3
194505,46.5,-4.2
194605,48.9,-1.8
194705,47.4,-3.3
194805,48,-2.7
194905,51.7,1.0
195005,51.8,1.1
195105,51.2,0.5
195205,50.2,-0.5
195305,51.5,0.8
195405,45.9,-4.8
195505,52.5,1.8
195605,51.9,1.2
195705,51.2,0.5
195805,49.7,-1.0
195905,55.7,5.0
196005,48.9,-1.8
196105,45.9,-4.8
196205,57.9,7.2
196305,49.1,-1.6
196405,54.6,3.9
196505,55.4,4.7
196605,46.2,-4.5
196705,46.8,-3.9
196805,48.2,-2.5
196905,50.7,0.0
197005,53.9,3.2
197105,46.9,-3.8
197205,51.6,0.9
197305,48.5,-2.2
197405,51.4,0.7
197505,53.8,3.1
197605,46.8,-3.9
197705,56.5,5.8
197805,50.5,-0.2
197905,49.3,-1.4
198005,51.4,0.7
198105,47.6,-3.1
198205,56,5.3
198305,48.4,-2.3
198405,48.2,-2.5
198505,52.7,2.0
198605,53.3,2.6
198705,55.5,4.8
198805,50.3,-0.4
198905,48.2,-2.5
199005,49.2,-1.5
199105,58.5,7.8
199205,48.9,-1.8
199305,52.2,1.5
199405,48,-2.7
199505,50.3,-0.4
199605,51.8,1.1
199705,46.1,-4.6
199805,57,6.3
199905,52.8,2.1
200005,54.3,3.6
200105,53.6,2.9
200205,48.2,-2.5
200305,50.4,-0.3
200405,55.2,4.5
200505,48.4,-2.3
200605,52,1.3
200705,55.7,5.0
200805,47.9,-2.8
200905,52,1.3
201005,53.9,3.2
201105,51.8,1.1
201205,55.7,5.0
201305,53.1,2.4
201405,52.9,2.2
201505,54.4,3.7
