Ohio, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,39.4,1.6
189604,44.8,7.0
189704,38.1,0.3
189804,35.6,-2.2
189904,41.3,3.5
190004,37.8,0.0
190104,35.7,-2.1
190204,36.7,-1.1
190304,38.2,0.4
190404,33.7,-4.1
190504,36.6,-1.2
190604,38.7,0.9
190704,31.4,-6.4
190804,39.1,1.3
190904,36.7,-1.1
191004,38.4,0.6
191104,36.6,-1.2
191204,39.9,2.1
191304,38.1,0.3
191404,38.5,0.7
191504,40.9,3.1
191604,38,0.2
191704,36.6,-1.2
191804,36.8,-1.0
191904,37.5,-0.3
192004,35.2,-2.6
192104,41.8,4.0
192204,40.3,2.5
192304,34.3,-3.5
192404,36.6,-1.2
192504,39.5,1.7
192604,31.8,-6.0
192704,37.9,0.1
192804,34.6,-3.2
192904,41.1,3.3
193004,38.6,0.8
193104,36.8,-1.0
193204,34.8,-3.0
193304,38.7,0.9
193404,36.3,-1.5
193504,36.6,-1.2
193604,34.7,-3.1
193704,37.4,-0.4
193804,40.1,2.3
193904,35.7,-2.1
194004,34.5,-3.3
194104,40.4,2.6
194204,39.4,1.6
194304,33.6,-4.2
194404,36.4,-1.4
194504,40.1,2.3
194604,37.1,-0.7
194704,38.5,0.7
194804,41.8,4.0
194904,35.8,-2.0
195004,33.5,-4.3
195104,36.7,-1.1
195204,38.7,0.9
195304,36.5,-1.3
195404,42.4,4.6
195504,43,5.2
195604,35.7,-2.1
195704,41,3.2
195804,38.3,0.5
195904,38.6,0.8
196004,41.1,3.3
196104,34.8,-3.0
196204,36.7,-1.1
196304,37.7,-0.1
196404,40,2.2
196504,37.1,-0.7
196604,38.3,0.5
196704,40.1,2.3
196804,39.3,1.5
196904,38.6,0.8
197004,39.9,2.1
197104,33.6,-4.2
197204,37.1,-0.7
197304,40.3,2.5
197404,39.8,2.0
197504,33.2,-4.6
197604,37.8,0.0
197704,41,3.2
197804,37.9,0.1
197904,38,0.2
198004,37,-0.8
198104,41.7,3.9
198204,33.2,-4.6
198304,37.5,-0.3
198404,38.4,0.6
198504,42.5,4.7
198604,40.3,2.5
198704,39.1,1.3
198804,37.2,-0.6
198904,36.5,-1.3
199004,38.3,0.5
199104,43.1,5.3
199204,39,1.2
199304,38.3,0.5
199404,39.5,1.7
199504,36.5,-1.3
199604,36.3,-1.5
199704,34.2,-3.6
199804,39.6,1.8
199904,41.1,3.3
200004,38.5,0.7
200104,41.5,3.7
200204,41.7,3.9
200304,40,2.2
200404,40.4,2.6
200504,40.1,2.3
200604,41.6,3.8
200704,38.4,0.6
200804,41.1,3.3
200904,39.8,2.0
201004,41.9,4.1
201104,41.4,3.6
201204,38.4,0.6
201304,38.6,0.8
201404,39.1,1.3
201504,40,2.2
