Indiana, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,60.1,-2.7
189607,63.3,0.5
189707,65.2,2.4
189807,63.3,0.5
189907,62.5,-0.3
190007,63.5,0.7
190107,67,4.2
190207,63.1,0.3
190307,62.3,-0.5
190407,60.3,-2.5
190507,62.4,-0.4
190607,60.4,-2.4
190707,62.8,0.0
190807,62.2,-0.6
190907,60.8,-2.0
191007,63.1,0.3
191107,61,-1.8
191207,63.9,1.1
191307,64,1.2
191407,62.8,0.0
191507,61.4,-1.4
191607,66.2,3.4
191707,61.8,-1.0
191807,59.1,-3.7
191907,63.1,0.3
192007,59.5,-3.3
192107,66.5,3.7
192207,61.2,-1.6
192307,61.6,-1.2
192407,58.6,-4.2
192507,61.5,-1.3
192607,62,-0.8
192707,60.8,-2.0
192807,62.3,-0.5
192907,62.3,-0.5
193007,61.8,-1.0
193107,64.7,1.9
193207,62.8,0.0
193307,62.9,0.1
193407,66.5,3.7
193507,65.5,2.7
193607,66.1,3.3
193707,61.1,-1.7
193807,63.3,0.5
193907,62.4,-0.4
194007,61.5,-1.3
194107,62.7,-0.1
194207,63.8,1.0
194307,63.6,0.8
194407,60.8,-2.0
194507,60.1,-2.7
194607,61.3,-1.5
194707,58.9,-3.9
194807,63.1,0.3
194907,67.1,4.3
195007,60,-2.8
195107,62.2,-0.6
195207,64.3,1.5
195307,62.8,0.0
195407,62.5,-0.3
195507,67.5,4.7
195607,62.6,-0.2
195707,63.1,0.3
195807,63.5,0.7
195907,61.7,-1.1
196007,60.2,-2.6
196107,62.4,-0.4
196207,61.2,-1.6
196307,61,-1.8
196407,62.9,0.1
196507,60.3,-2.5
196607,64.1,1.3
196707,59.7,-3.1
196807,62.9,0.1
196907,64.8,2.0
197007,62.2,-0.6
197107,60.4,-2.4
197207,62.6,-0.2
197307,64,1.2
197407,63.1,0.3
197507,61.2,-1.6
197607,61.7,-1.1
197707,65.3,2.5
197807,63.1,0.3
197907,61.8,-1.0
198007,65.7,2.9
198107,64.2,1.4
198207,64.2,1.4
198307,65.7,2.9
198407,60,-2.8
198507,62,-0.8
198607,66.2,3.4
198707,65.4,2.6
198807,63.7,0.9
198907,64.5,1.7
199007,62.5,-0.3
199107,64.1,1.3
199207,63.1,0.3
199307,66.9,4.1
199407,62.9,0.1
199507,64.6,1.8
199607,60.4,-2.4
199707,62.7,-0.1
199807,63.5,0.7
199907,67,4.2
200007,61.6,-1.2
200107,62.7,-0.1
200207,65.7,2.9
200307,62.5,-0.3
200407,62.2,-0.6
200507,64.2,1.4
200607,65.3,2.5
200707,60.2,-2.6
200807,62.6,-0.2
200907,59.4,-3.4
201007,65.9,3.1
201107,68,5.2
201207,67.6,4.8
201307,62.6,-0.2
201407,58.2,-4.6
201507,63.1,0.3
