Colorado, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,49.8,-0.9
189608,50.5,-0.2
189708,48.9,-1.8
189808,51.1,0.4
189908,49.5,-1.2
190008,47.9,-2.8
190108,51.8,1.1
190208,50.6,-0.1
190308,49.8,-0.9
190408,50.1,-0.6
190508,50.5,-0.2
190608,48.6,-2.1
190708,50.5,-0.2
190808,50.2,-0.5
190908,53.2,2.5
191008,50.1,-0.6
191108,48.6,-2.1
191208,49.2,-1.5
191308,51.5,0.8
191408,49.9,-0.8
191508,47.3,-3.4
191608,50.5,-0.2
191708,47.8,-2.9
191808,49.7,-1.0
191908,50.6,-0.1
192008,47.9,-2.8
192108,50.9,0.2
192208,52.7,2.0
192308,50.1,-0.6
192408,48.3,-2.4
192508,50,-0.7
192608,50.1,-0.6
192708,48.8,-1.9
192808,48,-2.7
192908,51.8,1.1
193008,51.4,0.7
193108,50.1,-0.6
193208,51.5,0.8
193308,50.3,-0.4
193408,53,2.3
193508,52.3,1.6
193608,52.4,1.7
193708,52.7,2.0
193808,51.8,1.1
193908,49.5,-1.2
194008,50,-0.7
194108,50.4,-0.3
194208,50.1,-0.6
194308,53.5,2.8
194408,49.7,-1.0
194508,52.1,1.4
194608,51.4,0.7
194708,52.6,1.9
194808,50.1,-0.6
194908,49.1,-1.6
195008,47,-3.7
195108,50.9,0.2
195208,51.9,1.2
195308,50.2,-0.5
195408,50.5,-0.2
195508,53.2,2.5
195608,48.4,-2.3
195708,51.8,1.1
195808,51.8,1.1
195908,52,1.3
196008,49.8,-0.9
196108,52.7,2.0
196208,48.6,-2.1
196308,53.1,2.4
196408,49.3,-1.4
196508,49,-1.7
196608,49.8,-0.9
196708,49.4,-1.3
196808,49,-1.7
196908,53.3,2.6
197008,52.8,2.1
197108,51.3,0.6
197208,50.3,-0.4
197308,50.8,0.1
197408,47.6,-3.1
197508,49.2,-1.5
197608,49.2,-1.5
197708,52.1,1.4
197808,48.6,-2.1
197908,49.7,-1.0
198008,50.6,-0.1
198108,50.9,0.2
198208,53.9,3.2
198308,54.5,3.8
198408,52.6,1.9
198508,50.4,-0.3
198608,51,0.3
198708,50.3,-0.4
198808,52.3,1.6
198908,50.5,-0.2
199008,50.1,-0.6
199108,51.6,0.9
199208,49.5,-1.2
199308,50.4,-0.3
199408,53.2,2.5
199508,53.6,2.9
199608,51.3,0.6
199708,51.8,1.1
199808,51.9,1.2
199908,52.4,1.7
200008,53.9,3.2
200108,52.1,1.4
200208,51.2,0.5
200308,53.5,2.8
200408,48.7,-2.0
200508,50.7,0.0
200608,52.2,1.5
200708,54.5,3.8
200808,51.9,1.2
200908,49.4,-1.3
201008,52.1,1.4
201108,53.9,3.2
201208,52.3,1.6
201308,52.9,2.2
201408,50.9,0.2
201508,52.1,1.4
