Georgia, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,58.5,0.0
189605,64.2,5.7
189705,56.9,-1.6
189805,60.6,2.1
189905,62.5,4.0
190005,58.3,-0.2
190105,58.8,0.3
190205,62.6,4.1
190305,59.9,1.4
190405,56.8,-1.7
190505,63.6,5.1
190605,58.8,0.3
190705,59,0.5
190805,59.6,1.1
190905,57.8,-0.7
191005,57.3,-1.2
191105,59.5,1.0
191205,60.8,2.3
191305,58.3,-0.2
191405,58.5,0.0
191505,63.4,4.9
191605,60.6,2.1
191705,53.9,-4.6
191805,59.3,0.8
191905,59.2,0.7
192005,58.5,0.0
192105,57.7,-0.8
192205,61.1,2.6
192305,58.2,-0.3
192405,55.8,-2.7
192505,56.5,-2.0
192605,57.1,-1.4
192705,59.5,1.0
192805,56.5,-2.0
192905,59.6,1.1
193005,60.3,1.8
193105,56,-2.5
193205,57.9,-0.6
193305,63.2,4.7
193405,58.6,0.1
193505,59.8,1.3
193605,59.1,0.6
193705,58.7,0.2
193805,60.2,1.7
193905,58.1,-0.4
194005,54.6,-3.9
194105,57.3,-1.2
194205,58.4,-0.1
194305,60.3,1.8
194405,58.8,0.3
194505,55.8,-2.7
194605,59.1,0.6
194705,58,-0.5
194805,58.6,0.1
194905,58.5,0.0
195005,61.3,2.8
195105,55.3,-3.2
195205,58.9,0.4
195305,62.6,4.1
195405,53.9,-4.6
195505,60.1,1.6
195605,60.2,1.7
195705,60.2,1.7
195805,59,0.5
195905,61,2.5
196005,55.3,-3.2
196105,56,-2.5
196205,61,2.5
196305,58.5,0.0
196405,58.2,-0.3
196505,59,0.5
196605,59,0.5
196705,56.3,-2.2
196805,56.6,-1.9
196905,57.5,-1.0
197005,57.7,-0.8
197105,54.9,-3.6
197205,57.1,-1.4
197305,55.5,-3.0
197405,59.8,1.3
197505,61.8,3.3
197605,55.9,-2.6
197705,58.4,-0.1
197805,58.5,0.0
197905,58.8,0.3
198005,59,0.5
198105,54.8,-3.7
198205,58.7,0.2
198305,57.3,-1.2
198405,56.8,-1.7
198505,58.8,0.3
198605,58.7,0.2
198705,61,2.5
198805,54.6,-3.9
198905,56.3,-2.2
199005,58.2,-0.3
199105,64.3,5.8
199205,55.2,-3.3
199305,57.4,-1.1
199405,56.4,-2.1
199505,60.2,1.7
199605,60.4,1.9
199705,54.7,-3.8
199805,62.2,3.7
199905,56.8,-1.7
200005,60.9,2.4
200105,57.5,-1.0
200205,57.5,-1.0
200305,61.3,2.8
200405,61.5,3.0
200505,55.7,-2.8
200605,58,-0.5
200705,56.4,-2.1
200805,57.8,-0.7
200905,61.8,3.3
201005,62.4,3.9
201105,57.4,-1.1
201205,61.7,3.2
201305,57,-1.5
201405,59,0.5
201505,59.7,1.2
