Georgia, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,27.7,-9.2
189602,36.9,0.0
189702,42,5.1
189802,33.1,-3.8
189902,34.1,-2.8
190002,34.1,-2.8
190102,33.1,-3.8
190202,31.4,-5.5
190302,37.7,0.8
190402,35.4,-1.5
190502,31.1,-5.8
190602,34.3,-2.6
190702,36.4,-0.5
190802,32.7,-4.2
190902,37.1,0.2
191002,33.5,-3.4
191102,41.4,4.5
191202,30.9,-6.0
191302,37.3,0.4
191402,34.3,-2.6
191502,37,0.1
191602,35.7,-1.2
191702,35,-1.9
191802,40.8,3.9
191902,37.4,0.5
192002,35,-1.9
192102,39.3,2.4
192202,44.2,7.3
192302,37.6,0.7
192402,34.4,-2.5
192502,40.5,3.6
192602,38.1,1.2
192702,46,9.1
192802,36.2,-0.7
192902,37,0.1
193002,39.1,2.2
193102,35.7,-1.2
193202,45.4,8.5
193302,38.7,1.8
193402,30.9,-6.0
193502,35.8,-1.1
193602,33.5,-3.4
193702,37,0.1
193802,41.7,4.8
193902,42.1,5.2
194002,34.6,-2.3
194102,31,-5.9
194202,32.1,-4.8
194302,35.2,-1.7
194402,42.8,5.9
194502,40.7,3.8
194602,36.5,-0.4
194702,28.7,-8.2
194802,39.8,2.9
194902,43.8,6.9
195002,40.4,3.5
195102,35.2,-1.7
195202,39.4,2.5
195302,38.6,1.7
195402,38.5,1.6
195502,37.7,0.8
195602,42.5,5.6
195702,45.3,8.4
195802,28,-8.9
195902,40.9,4.0
196002,34.2,-2.7
196102,40.1,3.2
196202,41.4,4.5
196302,30.5,-6.4
196402,32.8,-4.1
196502,36,-0.9
196602,35.8,-1.1
196702,34.4,-2.5
196802,28.7,-8.2
196902,34.3,-2.6
197002,32.3,-4.6
197102,34.3,-2.6
197202,36.2,-0.7
197302,33,-3.9
197402,36.2,-0.7
197502,40.5,3.6
197602,38.6,1.7
197702,30.4,-6.5
197802,29.2,-7.7
197902,33.6,-3.3
198002,31.9,-5.0
198102,35.9,-1.0
198202,40,3.1
198302,36.7,-0.2
198402,36.6,-0.3
198502,36.7,-0.2
198602,40.7,3.8
198702,37.4,0.5
198802,33.7,-3.2
198902,39.3,2.4
199002,44,7.1
199102,39.9,3.0
199202,40.8,3.9
199302,35.7,-1.2
199402,39.9,3.0
199502,36.6,-0.3
199602,36.5,-0.4
199702,41.4,4.5
199802,39.8,2.9
199902,39.6,2.7
200002,37.4,0.5
200102,41.7,4.8
200202,35.2,-1.7
200302,37.7,0.8
200402,36.5,-0.4
200502,40.3,3.4
200602,36,-0.9
200702,34,-2.9
200802,37.1,0.2
200902,34,-2.9
201002,31.8,-5.1
201102,39.1,2.2
201202,41.3,4.4
201302,37.5,0.6
201402,38.1,1.2
201502,31.8,-5.1
201602,37.9,1.0
