Delaware, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,61.8,1.7
189606,59.8,-0.3
189706,57.7,-2.4
189806,60.6,0.5
189906,62.5,2.4
190006,61.6,1.5
190106,60,-0.1
190206,58.6,-1.5
190306,57.1,-3.0
190406,59.3,-0.8
190506,59.5,-0.6
190606,62.5,2.4
190706,55,-5.1
190806,59,-1.1
190906,61.7,1.6
191006,58.4,-1.7
191106,60.3,0.2
191206,58.9,-1.2
191306,58.5,-1.6
191406,59.5,-0.6
191506,58.1,-2.0
191606,57.4,-2.7
191706,61,0.9
191806,57.5,-2.6
191906,60.1,0.0
192006,58.9,-1.2
192106,59.3,-0.8
192206,63.7,3.6
192306,62.4,2.3
192406,59.1,-1.0
192506,63.9,3.8
192606,56.2,-3.9
192706,55.3,-4.8
192806,59.9,-0.2
192906,59.3,-0.8
193006,61,0.9
193106,59.4,-0.7
193206,59.8,-0.3
193306,60.1,0.0
193406,63.8,3.7
193506,59.7,-0.4
193606,59.8,-0.3
193706,61.5,1.4
193806,59.5,-0.6
193906,61.8,1.7
194006,60.4,0.3
194106,59.3,-0.8
194206,61.9,1.8
194306,65.6,5.5
194406,60.9,0.8
194506,61.1,1.0
194606,57.8,-2.3
194706,58.2,-1.9
194806,60.3,0.2
194906,61.7,1.6
195006,58.3,-1.8
195106,60,-0.1
195206,62.2,2.1
195306,60.4,0.3
195406,59.7,-0.4
195506,57.2,-2.9
195606,60,-0.1
195706,63.5,3.4
195806,57.5,-2.6
195906,60.6,0.5
196006,60.3,0.2
196106,59.5,-0.6
196206,61.1,1.0
196306,59.1,-1.0
196406,59,-1.1
196506,58.6,-1.5
196606,59.6,-0.5
196706,58.2,-1.9
196806,60.2,0.1
196906,62.4,2.3
197006,60.3,0.2
197106,61.8,1.7
197206,58.3,-1.8
197306,64.6,4.5
197406,58.3,-1.8
197506,61.5,1.4
197606,62.2,2.1
197706,57.8,-2.3
197806,59.7,-0.4
197906,56.6,-3.5
198006,57.6,-2.5
198106,62.5,2.4
198206,59.3,-0.8
198306,60.2,0.1
198406,61.6,1.5
198506,59.5,-0.6
198606,60.6,0.5
198706,62.8,2.7
198806,59.3,-0.8
198906,65.1,5.0
199006,60.6,0.5
199106,61.5,1.4
199206,57.8,-2.3
199306,60.8,0.7
199406,63.7,3.6
199506,61.6,1.5
199606,62.5,2.4
199706,58.3,-1.8
199806,61.6,1.5
199906,61,0.9
200006,63,2.9
200106,63.6,3.5
200206,62,1.9
200306,60.7,0.6
200406,61.4,1.3
200506,63.1,3.0
200606,62.7,2.6
200706,62.5,2.4
200806,64.1,4.0
200906,62,1.9
201006,66.6,6.5
201106,63.3,3.2
201206,61.5,1.4
201306,63.9,3.8
201406,62.3,2.2
201506,64.7,4.6
