Delaware, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,59.8,2.8
189609,56.4,-0.6
189709,55.9,-1.1
189809,59.8,2.8
189909,54.3,-2.7
190009,61.9,4.9
190109,56.7,-0.3
190209,56.4,-0.6
190309,55.9,-1.1
190409,56.3,-0.7
190509,56.8,-0.2
190609,61.2,4.2
190709,59.4,2.4
190809,55,-2.0
190909,55.1,-1.9
191009,58.8,1.8
191109,59.8,2.8
191209,59.5,2.5
191309,57.1,0.1
191409,51.9,-5.1
191509,58.4,1.4
191609,54.8,-2.2
191709,53.2,-3.8
191809,52.7,-4.3
191909,56.9,-0.1
192009,57.9,0.9
192109,61.7,4.7
192209,57.7,0.7
192309,58.6,1.6
192409,54.4,-2.6
192509,60.6,3.6
192609,57.8,0.8
192709,55.1,-1.9
192809,54.7,-2.3
192909,57.1,0.1
193009,61,4.0
193109,61.4,4.4
193209,56.1,-0.9
193309,60.8,3.8
193409,59.9,2.9
193509,54.6,-2.4
193609,58.6,1.6
193709,52.6,-4.4
193809,56.4,-0.6
193909,57.3,0.3
194009,53,-4.0
194109,57.2,0.2
194209,57.9,0.9
194309,54.2,-2.8
194409,58.9,1.9
194509,61.1,4.1
194609,56.3,-0.7
194709,58.4,1.4
194809,54.4,-2.6
194909,54.4,-2.6
195009,55.6,-1.4
195109,55.4,-1.6
195209,55.4,-1.6
195309,55.8,-1.2
195409,58.3,1.3
195509,57.7,0.7
195609,55.4,-1.6
195709,60.2,3.2
195809,54,-3.0
195909,59,2.0
196009,58.5,1.5
196109,62.2,5.2
196209,53.6,-3.4
196309,52.7,-4.3
196409,55.5,-1.5
196509,59,2.0
196609,55.7,-1.3
196709,52.8,-4.2
196809,55,-2.0
196909,55.8,-1.2
197009,58.8,1.8
197109,60.6,3.6
197209,57.7,0.7
197309,58.5,1.5
197409,56.6,-0.4
197509,56.1,-0.9
197609,54.8,-2.2
197709,60.3,3.3
197809,55.4,-1.6
197909,58.5,1.5
198009,59.7,2.7
198109,55.8,-1.2
198209,55.3,-1.7
198309,56.9,-0.1
198409,53.6,-3.4
198509,57.1,0.1
198609,57.1,0.1
198709,59.2,2.2
198809,55.2,-1.8
198909,59.2,2.2
199009,55.7,-1.3
199109,55.8,-1.2
199209,58.3,1.3
199309,58.5,1.5
199409,55.2,-1.8
199509,57.5,0.5
199609,58.4,1.4
199709,56.6,-0.4
199809,60.1,3.1
199909,59.9,2.9
200009,56.3,-0.7
200109,55.6,-1.4
200209,59.6,2.6
200309,60.1,3.1
200409,59.9,2.9
200509,60.2,3.2
200609,57,0.0
200709,58.6,1.6
200809,59.7,2.7
200909,58.2,1.2
201009,60.3,3.3
201109,62.6,5.6
201209,57.8,0.8
201309,55.7,-1.3
201409,59.5,2.5
201509,62.2,5.2
