Indiana, Minimum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,30,-1.6
189611,32.8,1.2
189711,31,-0.6
189811,27.3,-4.3
189911,34.5,2.9
190011,31.7,0.1
190111,27.2,-4.4
190211,39.4,7.8
190311,26.6,-5.0
190411,28.6,-3.0
190511,28.3,-3.3
190611,29.6,-2.0
190711,27.5,-4.1
190811,30.4,-1.2
190911,38.3,6.7
191011,25.7,-5.9
191111,26,-5.6
191211,30.4,-1.2
191311,36.5,4.9
191411,30.3,-1.3
191511,33,1.4
191611,30.9,-0.7
191711,29.6,-2.0
191811,32.2,0.6
191911,30.5,-1.1
192011,30.8,-0.8
192111,33,1.4
192211,33.7,2.1
192311,31.7,0.1
192411,30.9,-0.7
192511,28.9,-2.7
192611,28.3,-3.3
192711,35.5,3.9
192811,33.2,1.6
192911,28.4,-3.2
193011,31.3,-0.3
193111,40,8.4
193211,26.8,-4.8
193311,28.5,-3.1
193411,34.9,3.3
193511,32.4,0.8
193611,27.2,-4.4
193711,27.1,-4.5
193811,31.4,-0.2
193911,28.9,-2.7
194011,29.1,-2.5
194111,32.5,0.9
194211,33.7,2.1
194311,27.6,-4.0
194411,34.9,3.3
194511,32.9,1.3
194611,34.3,2.7
194711,29.1,-2.5
194811,35.8,4.2
194911,31.5,-0.1
195011,26.4,-5.2
195111,25.2,-6.4
195211,31.8,0.2
195311,30.9,-0.7
195411,31.6,0.0
195511,27.4,-4.2
195611,30.5,-1.1
195711,31.1,-0.5
195811,33,1.4
195911,26.2,-5.4
196011,32.3,0.7
196111,31.8,0.2
196211,31.5,-0.1
196311,33.9,2.3
196411,32,0.4
196511,32.7,1.1
196611,33.1,1.5
196711,29.5,-2.1
196811,34.4,2.8
196911,29.3,-2.3
197011,32.5,0.9
197111,32.2,0.6
197211,33.1,1.5
197311,35.2,3.6
197411,34,2.4
197511,36.6,5.0
197611,23.6,-8.0
197711,35.7,4.1
197811,34.3,2.7
197911,32.1,0.5
198011,30.3,-1.3
198111,32.5,0.9
198211,34.8,3.2
198311,35.1,3.5
198411,30.7,-0.9
198511,38.4,6.8
198611,31.4,-0.2
198711,35.6,4.0
198811,33.2,1.6
198911,31.4,-0.2
199011,35.8,4.2
199111,30.8,-0.8
199211,35.7,4.1
199311,32.7,1.1
199411,37.1,5.5
199511,27,-4.6
199611,28.3,-3.3
199711,31.1,-0.5
199811,34.8,3.2
199911,35.9,4.3
200011,31.9,0.3
200111,37.2,5.6
200211,31.7,0.1
200311,36.9,5.3
200411,37.9,6.3
200511,33.9,2.3
200611,35.3,3.7
200711,32.3,0.7
200811,31.3,-0.3
200911,36.7,5.1
201011,31,-0.6
201111,38.1,6.5
201211,29.3,-2.3
201311,30.1,-1.5
201411,26.9,-4.7
201511,36.2,4.6
