Virginia, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,49.9,-1.1
189605,57.3,6.3
189705,49.2,-1.8
189805,53.1,2.1
189905,53.3,2.3
190005,50.6,-0.4
190105,51.7,0.7
190205,53.6,2.6
190305,51.6,0.6
190405,51,0.0
190505,54.1,3.1
190605,50.4,-0.6
190705,48.2,-2.8
190805,53.2,2.2
190905,50.1,-0.9
191005,48.5,-2.5
191105,52.8,1.8
191205,52.3,1.3
191305,50.8,-0.2
191405,50.8,-0.2
191505,51.9,0.9
191605,53.9,2.9
191705,46.7,-4.3
191805,55,4.0
191905,52.3,1.3
192005,47.1,-3.9
192105,50.1,-0.9
192205,53,2.0
192305,48.9,-2.1
192405,47.9,-3.1
192505,46.1,-4.9
192605,49.1,-1.9
192705,52.4,1.4
192805,48.7,-2.3
192905,51.5,0.5
193005,52.7,1.7
193105,50.7,-0.3
193205,50.9,-0.1
193305,55.6,4.6
193405,51.9,0.9
193505,49.5,-1.5
193605,50.9,-0.1
193705,50.1,-0.9
193805,51.9,0.9
193905,51.6,0.6
194005,50,-1.0
194105,49.8,-1.2
194205,53.9,2.9
194305,53.9,2.9
194405,55.3,4.3
194505,48.2,-2.8
194605,51,0.0
194705,50.7,-0.3
194805,51.7,0.7
194905,51.1,0.1
195005,52.7,1.7
195105,49.5,-1.5
195205,51.1,0.1
195305,56.6,5.6
195405,47.8,-3.2
195505,52.4,1.4
195605,50.3,-0.7
195705,52.6,1.6
195805,51.4,0.4
195905,54.7,3.7
196005,49.4,-1.6
196105,47.5,-3.5
196205,54.7,3.7
196305,49.4,-1.6
196405,51.6,0.6
196505,54.7,3.7
196605,49.8,-1.2
196705,46.2,-4.8
196805,48.4,-2.6
196905,50.4,-0.6
197005,52.2,1.2
197105,48.3,-2.7
197205,50.3,-0.7
197305,48.9,-2.1
197405,51.5,0.5
197505,54,3.0
197605,49.1,-1.9
197705,52.3,1.3
197805,50.1,-0.9
197905,51.5,0.5
198005,51.2,0.2
198105,48.3,-2.7
198205,53.2,2.2
198305,48.9,-2.1
198405,49.6,-1.4
198505,52.3,1.3
198605,51.4,0.4
198705,53.1,2.1
198805,49.9,-1.1
198905,49,-2.0
199005,51.4,0.4
199105,57.2,6.2
199205,48.4,-2.6
199305,52.1,1.1
199405,46.6,-4.4
199505,51.1,0.1
199605,51.6,0.6
199705,45.3,-5.7
199805,54.9,3.9
199905,49.5,-1.5
200005,53,2.0
200105,50.8,-0.2
200205,49.3,-1.7
200305,52.4,1.4
200405,57.6,6.6
200505,47.6,-3.4
200605,48.3,-2.7
200705,51.7,0.7
200805,49.1,-1.9
200905,53.6,2.6
201005,54.7,3.7
201105,53.7,2.7
201205,56.5,5.5
201305,51.3,0.3
201405,52.9,1.9
201505,54.9,3.9
