Virginia, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,32,-1.3
189603,29.1,-4.2
189703,36.8,3.5
189803,39.3,6.0
189903,33.7,0.4
190003,30,-3.3
190103,34.1,0.8
190203,34.5,1.2
190303,40.2,6.9
190403,33.3,0.0
190503,35.1,1.8
190603,29.8,-3.5
190703,37.7,4.4
190803,37.4,4.1
190903,31.8,-1.5
191003,37.6,4.3
191103,30.3,-3.0
191203,31.8,-1.5
191303,37,3.7
191403,28.5,-4.8
191503,26.7,-6.6
191603,28.9,-4.4
191703,33.4,0.1
191803,36.3,3.0
191903,34.9,1.6
192003,31.8,-1.5
192103,41.7,8.4
192203,35.9,2.6
192303,32.9,-0.4
192403,31.5,-1.8
192503,34,0.7
192603,27.5,-5.8
192703,35.2,1.9
192803,32.3,-1.0
192903,37.7,4.4
193003,31.2,-2.1
193103,31,-2.3
193203,29.3,-4.0
193303,32.4,-0.9
193403,29.5,-3.8
193503,38.6,5.3
193603,37,3.7
193703,30,-3.3
193803,37.8,4.5
193903,35.1,1.8
194003,30.3,-3.0
194103,26.8,-6.5
194203,34.7,1.4
194303,31.1,-2.2
194403,31.4,-1.9
194503,41.6,8.3
194603,39.8,6.5
194703,26,-7.3
194803,36.6,3.3
194903,33.1,-0.2
195003,29.6,-3.7
195103,33.4,0.1
195203,32,-1.3
195303,35,1.7
195403,32.5,-0.8
195503,35.8,2.5
195603,31.8,-1.5
195703,33.7,0.4
195803,31.1,-2.2
195903,30.7,-2.6
196003,21.9,-11.4
196103,36.6,3.3
196203,31,-2.3
196303,35.2,1.9
196403,32.9,-0.4
196503,30.4,-2.9
196603,32.4,-0.9
196703,33,-0.3
196803,33.8,0.5
196903,28.2,-5.1
197003,30.9,-2.4
197103,30.1,-3.2
197203,33.1,-0.2
197303,39.7,6.4
197403,36.6,3.3
197503,32,-1.3
197603,36.8,3.5
197703,37.5,4.2
197803,31.1,-2.2
197903,34.5,1.2
198003,31.4,-1.9
198103,29.6,-3.7
198203,33.5,0.2
198303,36.1,2.8
198403,30.6,-2.7
198503,34.7,1.4
198603,32.6,-0.7
198703,32.7,-0.6
198803,32.7,-0.6
198903,34.7,1.4
199003,37.7,4.4
199103,36.5,3.2
199203,33.2,-0.1
199303,31.8,-1.5
199403,33.6,0.3
199503,34.8,1.5
199603,29.4,-3.9
199703,36.3,3.0
199803,35.2,1.9
199903,30.6,-2.7
200003,36.6,3.3
200103,31,-2.3
200203,34.1,0.8
200303,35.7,2.4
200403,35.8,2.5
200503,31.5,-1.8
200603,33.8,0.5
200703,35.9,2.6
200803,34.4,1.1
200903,34.4,1.1
201003,36.2,2.9
201103,34.8,1.5
201203,42.4,9.1
201303,30.2,-3.1
201403,28.8,-4.5
201503,32.7,-0.6
