Nevada, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,16.6,-2.4
189601,23.7,4.7
189701,22.4,3.4
189801,11.2,-7.8
189901,23.6,4.6
190001,26.5,7.5
190101,20.9,1.9
190201,17.7,-1.3
190301,21.5,2.5
190401,16.4,-2.6
190501,23.4,4.4
190601,19.9,0.9
190701,17.2,-1.8
190801,22.2,3.2
190901,26.9,7.9
191001,13.2,-5.8
191101,22.8,3.8
191201,19.9,0.9
191301,13.5,-5.5
191401,24.6,5.6
191501,17.7,-1.3
191601,14.8,-4.2
191701,4.8,-14.2
191801,19.5,0.5
191901,17.6,-1.4
192001,21.7,2.7
192101,22,3.0
192201,9.8,-9.2
192301,23.1,4.1
192401,12.1,-6.9
192501,19.6,0.6
192601,18.5,-0.5
192701,21.4,2.4
192801,19.8,0.8
192901,15.8,-3.2
193001,13.2,-5.8
193101,18.3,-0.7
193201,14.2,-4.8
193301,14.1,-4.9
193401,23.2,4.2
193501,21.2,2.2
193601,21.3,2.3
193701,.3,-18.7
193801,22.9,3.9
193901,19.5,0.5
194001,23.2,4.2
194101,23.4,4.4
194201,17.2,-1.8
194301,20.6,1.6
194401,14.1,-4.9
194501,19.4,0.4
194601,17.3,-1.7
194701,14.2,-4.8
194801,19.2,0.2
194901,1.8,-17.2
195001,15.9,-3.1
195101,20.4,1.4
195201,16.2,-2.8
195301,28.3,9.3
195401,22.1,3.1
195501,11.2,-7.8
195601,25.8,6.8
195701,13.2,-5.8
195801,20.6,1.6
195901,24,5.0
196001,16.8,-2.2
196101,18.3,-0.7
196201,14.2,-4.8
196301,13.2,-5.8
196401,17.1,-1.9
196501,23.8,4.8
196601,18.3,-0.7
196701,22.2,3.2
196801,17.8,-1.2
196901,25.1,6.1
197001,23.4,4.4
197101,22,3.0
197201,17.6,-1.4
197301,16.6,-2.4
197401,19.4,0.4
197501,18.2,-0.8
197601,19.9,0.9
197701,16.5,-2.5
197801,25.8,6.8
197901,15.6,-3.4
198001,24.6,5.6
198101,24,5.0
198201,17.4,-1.6
198301,24,5.0
198401,19.1,0.1
198501,16.1,-2.9
198601,27.3,8.3
198701,16.8,-2.2
198801,17.5,-1.5
198901,13.6,-5.4
199001,20.6,1.6
199101,18.2,-0.8
199201,19.5,0.5
199301,17,-2.0
199401,22,3.0
199501,27.3,8.3
199601,23.5,4.5
199701,22.8,3.8
199801,25.3,6.3
199901,23.1,4.1
200001,24.7,5.7
200101,18.5,-0.5
200201,20.1,1.1
200301,28.9,9.9
200401,19.4,0.4
200501,23.8,4.8
200601,23.9,4.9
200701,14.7,-4.3
200801,17.6,-1.4
200901,22.8,3.8
201001,23.4,4.4
201101,21.7,2.7
201201,21.9,2.9
201301,14,-5.0
201401,24.3,5.3
201501,26.3,7.3
201601,21.7,2.7
