New Hampshire, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,14.6,-3.8
189603,12.6,-5.8
189703,17.1,-1.3
189803,22.4,4.0
189903,15.1,-3.3
190003,11.1,-7.3
190103,17.3,-1.1
190203,25.5,7.1
190303,26.3,7.9
190403,16,-2.4
190503,14.6,-3.8
190603,11.6,-6.8
190703,16.6,-1.8
190803,17.5,-0.9
190903,16.7,-1.7
191003,21.8,3.4
191103,12,-6.4
191203,13,-5.4
191303,21.2,2.8
191403,19.2,0.8
191503,15.6,-2.8
191603,9.1,-9.3
191703,16.9,-1.5
191803,14.7,-3.7
191903,21.6,3.2
192003,16.6,-1.8
192103,25,6.6
192203,18.8,0.4
192303,10.5,-7.9
192403,20,1.6
192503,21.9,3.5
192603,10.6,-7.8
192703,20.2,1.8
192803,16.7,-1.7
192903,20.9,2.5
193003,19,0.6
193103,22,3.6
193203,16.1,-2.3
193303,17.6,-0.8
193403,14,-4.4
193503,17.8,-0.6
193603,25.2,6.8
193703,14.1,-4.3
193803,19,0.6
193903,12.6,-5.8
194003,14.7,-3.7
194103,14.6,-3.8
194203,24.5,6.1
194303,16.1,-2.3
194403,13.9,-4.5
194503,24.5,6.1
194603,24.1,5.7
194703,18.3,-0.1
194803,14.2,-4.2
194903,20.3,1.9
195003,11.9,-6.5
195103,21.8,3.4
195203,20.7,2.3
195303,22.3,3.9
195403,19.4,1.0
195503,18.5,0.1
195603,11.3,-7.1
195703,20.3,1.9
195803,25.1,6.7
195903,15.9,-2.5
196003,13.6,-4.8
196103,17.8,-0.6
196203,19.4,1.0
196303,18.7,0.3
196403,20.5,2.1
196503,18.9,0.5
196603,20.1,1.7
196703,13.3,-5.1
196803,20.6,2.2
196903,17.3,-1.1
197003,17.4,-1.0
197103,17,-1.4
197203,16.5,-1.9
197303,26.3,7.9
197403,17.9,-0.5
197503,16.4,-2.0
197603,18.5,0.1
197703,25.5,7.1
197803,14.9,-3.5
197903,24.9,6.5
198003,18.3,-0.1
198103,21.8,3.4
198203,16.7,-1.7
198303,24.4,6.0
198403,14,-4.4
198503,19,0.6
198603,20.1,1.7
198703,20.5,2.1
198803,18.1,-0.3
198903,16.1,-2.3
199003,19.1,0.7
199103,23.9,5.5
199203,15.5,-2.9
199303,14.9,-3.5
199403,19.7,1.3
199503,23.2,4.8
199603,16.3,-2.1
199703,16.7,-1.7
199803,22.3,3.9
199903,22.1,3.7
200003,24.3,5.9
200103,17.6,-0.8
200203,21.3,2.9
200303,15.8,-2.6
200403,22.7,4.3
200503,15.7,-2.7
200603,20.3,1.9
200703,16.4,-2.0
200803,16.8,-1.6
200903,18.8,0.4
201003,27,8.6
201103,19.5,1.1
201203,27.5,9.1
201303,21.8,3.4
201403,9.6,-8.8
201503,12.2,-6.2
201603,24.6,6.2
