North Carolina, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,27.6,-1.9
189601,27.8,-1.7
189701,26.4,-3.1
189801,33.5,4.0
189901,29.1,-0.4
190001,28.3,-1.2
190101,29.1,-0.4
190201,26.2,-3.3
190301,29.4,-0.1
190401,24.2,-5.3
190501,24.3,-5.2
190601,33.4,3.9
190701,34.7,5.2
190801,26.9,-2.6
190901,32.9,3.4
191001,28,-1.5
191101,32.9,3.4
191201,23.3,-6.2
191301,37.4,7.9
191401,31.1,1.6
191501,29.9,0.4
191601,34.6,5.1
191701,32.7,3.2
191801,20.9,-8.6
191901,29.3,-0.2
192001,27.8,-1.7
192101,30.6,1.1
192201,29.8,0.3
192301,32.1,2.6
192401,26.4,-3.1
192501,29.6,0.1
192601,28.4,-1.1
192701,29.5,0.0
192801,27.1,-2.4
192901,30.6,1.1
193001,31.4,1.9
193101,28.2,-1.3
193201,39.3,9.8
193301,36.2,6.7
193401,32.6,3.1
193501,30.7,1.2
193601,25.8,-3.7
193701,42.6,13.1
193801,30,0.5
193901,31.3,1.8
194001,18.7,-10.8
194101,28.7,-0.8
194201,26.8,-2.7
194301,31.3,1.8
194401,28.7,-0.8
194501,28.5,-1.0
194601,31.7,2.2
194701,35.5,6.0
194801,24.2,-5.3
194901,38.7,9.2
195001,41.3,11.8
195101,30,0.5
195201,35,5.5
195301,34.2,4.7
195401,29.7,0.2
195501,28,-1.5
195601,26.8,-2.7
195701,31.2,1.7
195801,24.7,-4.8
195901,26.6,-2.9
196001,30.9,1.4
196101,23.9,-5.6
196201,27.8,-1.7
196301,24.9,-4.6
196401,27.8,-1.7
196501,28.2,-1.3
196601,25.8,-3.7
196701,31.4,1.9
196801,25,-4.5
196901,26.6,-2.9
197001,22.4,-7.1
197101,28.4,-1.1
197201,33.9,4.4
197301,28.9,-0.6
197401,40.5,11.0
197501,32.8,3.3
197601,25.7,-3.8
197701,18.7,-10.8
197801,24,-5.5
197901,26.4,-3.1
198001,31.7,2.2
198101,22,-7.5
198201,24.2,-5.3
198301,29.2,-0.3
198401,26.1,-3.4
198501,24.1,-5.4
198601,26,-3.5
198701,28.4,-1.1
198801,24.7,-4.8
198901,33.2,3.7
199001,34.9,5.4
199101,32.5,3.0
199201,31.5,2.0
199301,34.4,4.9
199401,25.7,-3.8
199501,31.4,1.9
199601,28.1,-1.4
199701,30.2,0.7
199801,34.9,5.4
199901,33.2,3.7
200001,28.4,-1.1
200101,28,-1.5
200201,31.1,1.6
200301,26.2,-3.3
200401,26.8,-2.7
200501,32.5,3.0
200601,35.6,6.1
200701,33.6,4.1
200801,29.2,-0.3
200901,28.4,-1.1
201001,26.3,-3.2
201101,26.1,-3.4
201201,32.5,3.0
201301,34,4.5
201401,23.5,-6.0
201501,28.9,-0.6
201601,28.6,-0.9
