Alabama, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,33.4,-0.8
189601,34.1,-0.1
189701,31.4,-2.8
189801,38.8,4.6
189901,33.1,-1.1
190001,31.9,-2.3
190101,34.5,0.3
190201,30.9,-3.3
190301,33.3,-0.9
190401,29.7,-4.5
190501,27.5,-6.7
190601,35.1,0.9
190701,42.2,8.0
190801,32.2,-2.0
190901,38.2,4.0
191001,33,-1.2
191101,38.6,4.4
191201,29,-5.2
191301,40,5.8
191401,35.2,1.0
191501,31.6,-2.6
191601,41,6.8
191701,39.4,5.2
191801,26.1,-8.1
191901,31.7,-2.5
192001,37,2.8
192101,37.5,3.3
192201,37.4,3.2
192301,39,4.8
192401,28.5,-5.7
192501,37.1,2.9
192601,33.7,-0.5
192701,36.2,2.0
192801,31.9,-2.3
192901,36.3,2.1
193001,33.9,-0.3
193101,32.1,-2.1
193201,41.2,7.0
193301,41.2,7.0
193401,38,3.8
193501,35.6,1.4
193601,32,-2.2
193701,48.9,14.7
193801,35.6,1.4
193901,37.2,3.0
194001,21.2,-13.0
194101,34.5,0.3
194201,29.5,-4.7
194301,36.2,2.0
194401,34.1,-0.1
194501,33.6,-0.6
194601,36.6,2.4
194701,40.1,5.9
194801,27.2,-7.0
194901,42.3,8.1
195001,49.4,15.2
195101,34.8,0.6
195201,41.8,7.6
195301,37.3,3.1
195401,35.1,0.9
195501,33.2,-1.0
195601,30.9,-3.3
195701,38.1,3.9
195801,29.2,-5.0
195901,30.3,-3.9
196001,35.3,1.1
196101,27.9,-6.3
196201,32.2,-2.0
196301,27.6,-6.6
196401,31.2,-3.0
196501,34.2,0.0
196601,30.7,-3.5
196701,34,-0.2
196801,31.5,-2.7
196901,33,-1.2
197001,27.6,-6.6
197101,34.1,-0.1
197201,37.7,3.5
197301,32.8,-1.4
197401,45.9,11.7
197501,37.9,3.7
197601,28.3,-5.9
197701,23,-11.2
197801,26.8,-7.4
197901,27.8,-6.4
198001,37.6,3.4
198101,26.8,-7.4
198201,31.4,-2.8
198301,32.2,-2.0
198401,29,-5.2
198501,25.9,-8.3
198601,30,-4.2
198701,32.5,-1.7
198801,30.8,-3.4
198901,39,4.8
199001,38.6,4.4
199101,37.6,3.4
199201,33.9,-0.3
199301,39.6,5.4
199401,30.8,-3.4
199501,34.9,0.7
199601,31.7,-2.5
199701,35.8,1.6
199801,37.8,3.6
199901,37.5,3.3
200001,35.9,1.7
200101,29.9,-4.3
200201,35.3,1.1
200301,28.4,-5.8
200401,32.6,-1.6
200501,38.1,3.9
200601,39.2,5.0
200701,36.5,2.3
200801,32.1,-2.1
200901,33.8,-0.4
201001,29.2,-5.0
201101,30.2,-4.0
201201,38,3.8
201301,40.3,6.1
201401,24.7,-9.5
201501,32.4,-1.8
201601,32.1,-2.1
