Indiana, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,24.2,2.0
189612,25.3,3.1
189712,22.5,0.3
189812,18.7,-3.5
189912,20.1,-2.1
190012,23.3,1.1
190112,17.4,-4.8
190212,21.1,-1.1
190312,13,-9.2
190412,18.1,-4.1
190512,23,0.8
190612,23.8,1.6
190712,24.6,2.4
190812,23.1,0.9
190912,13.7,-8.5
191012,16.7,-5.5
191112,27.3,5.1
191212,23.4,1.2
191312,27.8,5.6
191412,17.1,-5.1
191512,21.9,-0.3
191612,17.2,-5.0
191712,11.4,-10.8
191812,30.1,7.9
191912,15.4,-6.8
192012,24.4,2.2
192112,26.3,4.1
192212,21.9,-0.3
192312,31.3,9.1
192412,16.5,-5.7
192512,18.7,-3.5
192612,20.6,-1.6
192712,20.8,-1.4
192812,24.2,2.0
192912,21.7,-0.5
193012,22.6,0.4
193112,31,8.8
193212,20.7,-1.5
193312,25.3,3.1
193412,20.6,-1.6
193512,16.4,-5.8
193612,24.7,2.5
193712,20.8,-1.4
193812,22.7,0.5
193912,25.1,2.9
194012,27.5,5.3
194112,29,6.8
194212,18.5,-3.7
194312,19,-3.2
194412,16.9,-5.3
194512,15.9,-6.3
194612,25.8,3.6
194712,22.7,0.5
194812,24.9,2.7
194912,25.2,3.0
195012,13.7,-8.5
195112,20.2,-2.0
195212,27.3,5.1
195312,23,0.8
195412,24.4,2.2
195512,18.8,-3.4
195612,29.8,7.6
195712,26.8,4.6
195812,13.2,-9.0
195912,28,5.8
196012,16.3,-5.9
196112,21,-1.2
196212,15.6,-6.6
196312,10.5,-11.7
196412,22.5,0.3
196512,29,6.8
196612,24,1.8
196712,25.2,3.0
196812,22.1,-0.1
196912,21.4,-0.8
197012,24.4,2.2
197112,29.8,7.6
197212,23.3,1.1
197312,22.2,0.0
197412,26.2,4.0
197512,25.5,3.3
197612,14.2,-8.0
197712,18.8,-3.4
197812,23.6,1.4
197912,25.6,3.4
198012,23.3,1.1
198112,19.7,-2.5
198212,32.5,10.3
198312,13.5,-8.7
198412,29.2,7.0
198512,14.2,-8.0
198612,25.8,3.6
198712,28.5,6.3
198812,21.1,-1.1
198912,9.3,-12.9
199012,24.1,1.9
199112,26.5,4.3
199212,25.1,2.9
199312,25,2.8
199412,29.9,7.7
199512,18.3,-3.9
199612,25.8,3.6
199712,26.9,4.7
199812,27.5,5.3
199912,24.6,2.4
200012,10.8,-11.4
200112,29.3,7.1
200212,24.3,2.1
200312,26.4,4.2
200412,22.3,0.1
200512,20,-2.2
200612,28.7,6.5
200712,25.7,3.5
200812,19.9,-2.3
200912,23.5,1.3
201012,17.2,-5.0
201112,29.1,6.9
201212,31,8.8
201312,21.1,-1.1
201412,28.5,6.3
201512,35.2,13.0
