Kentucky, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,32.3,-1.9
189603,29.2,-5.0
189703,37.8,3.6
189803,39.7,5.5
189903,31.8,-2.4
190003,30.7,-3.5
190103,34.3,0.1
190203,35.7,1.5
190303,42,7.8
190403,35.5,1.3
190503,38.7,4.5
190603,30.2,-4.0
190703,42.8,8.6
190803,39.9,5.7
190903,33.6,-0.6
191003,38.9,4.7
191103,33.5,-0.7
191203,31.2,-3.0
191303,34.2,0.0
191403,31,-3.2
191503,27.5,-6.7
191603,30.4,-3.8
191703,33.8,-0.4
191803,36.9,2.7
191903,34.2,0.0
192003,33.3,-0.9
192103,43,8.8
192203,37.5,3.3
192303,31.6,-2.6
192403,31.4,-2.8
192503,34.8,0.6
192603,28,-6.2
192703,36.6,2.4
192803,32.2,-2.0
192903,38.5,4.3
193003,31.4,-2.8
193103,31.7,-2.5
193203,29.1,-5.1
193303,33.8,-0.4
193403,30.3,-3.9
193503,41.8,7.6
193603,36.7,2.5
193703,29.9,-4.3
193803,40.4,6.2
193903,35.8,1.6
194003,32.6,-1.6
194103,27.7,-6.5
194203,35.5,1.3
194303,29.4,-4.8
194403,32.2,-2.0
194503,43.3,9.1
194603,43.1,8.9
194703,26.3,-7.9
194803,37.7,3.5
194903,33.6,-0.6
195003,30.6,-3.6
195103,33.5,-0.7
195203,33.4,-0.8
195303,36.5,2.3
195403,32.1,-2.1
195503,36.3,2.1
195603,33.2,-1.0
195703,33.6,-0.6
195803,31.6,-2.6
195903,30.8,-3.4
196003,20.8,-13.4
196103,38.6,4.4
196203,32.3,-1.9
196303,37.3,3.1
196403,33.1,-1.1
196503,29.6,-4.6
196603,33.5,-0.7
196703,37.7,3.5
196803,32.7,-1.5
196903,26.2,-8.0
197003,32.1,-2.1
197103,29.7,-4.5
197203,32.9,-1.3
197303,42.1,7.9
197403,38.9,4.7
197503,31.9,-2.3
197603,39.3,5.1
197703,37.2,3.0
197803,31,-3.2
197903,36.5,2.3
198003,30.8,-3.4
198103,31,-3.2
198203,36.1,1.9
198303,35.6,1.4
198403,31.7,-2.5
198503,37.5,3.3
198603,34.3,0.1
198703,35.3,1.1
198803,33.4,-0.8
198903,36,1.8
199003,38.9,4.7
199103,37.4,3.2
199203,34.6,0.4
199303,32.7,-1.5
199403,33.4,-0.8
199503,35.9,1.7
199603,28.9,-5.3
199703,36.9,2.7
199803,37,2.8
199903,30.6,-3.6
200003,37.4,3.2
200103,30.9,-3.3
200203,34.1,-0.1
200303,36.7,2.5
200403,38.1,3.9
200503,31.9,-2.3
200603,35.1,0.9
200703,40.7,6.5
200803,34.3,0.1
200903,37,2.8
201003,35.9,1.7
201103,37.9,3.7
201203,45.6,11.4
201303,30,-4.2
201403,28.9,-5.3
201503,33.2,-1.0
