Michigan, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,51.5,-4.4
189607,55.2,-0.7
189707,58.6,2.7
189807,54.6,-1.3
189907,54.9,-1.0
190007,54.4,-1.5
190107,59.5,3.6
190207,56.8,0.9
190307,55.2,-0.7
190407,53.4,-2.5
190507,55.1,-0.8
190607,54,-1.9
190707,54.5,-1.4
190807,56.2,0.3
190907,53.8,-2.1
191007,55.5,-0.4
191107,56.2,0.3
191207,55.4,-0.5
191307,54.9,-1.0
191407,56,0.1
191507,53.2,-2.7
191607,60,4.1
191707,56.3,0.4
191807,53.6,-2.3
191907,57,1.1
192007,52.7,-3.2
192107,62.1,6.2
192207,54.4,-1.5
192307,54.9,-1.0
192407,52.2,-3.7
192507,53.5,-2.4
192607,53.9,-2.0
192707,53.6,-2.3
192807,56.1,0.2
192907,54.9,-1.0
193007,54.7,-1.2
193107,58.5,2.6
193207,55.8,-0.1
193307,56.7,0.8
193407,56.2,0.3
193507,60.3,4.4
193607,56.1,0.2
193707,56.8,0.9
193807,56.9,1.0
193907,56,0.1
194007,55.9,0.0
194107,56.3,0.4
194207,55.6,-0.3
194307,56.7,0.8
194407,54.9,-1.0
194507,53.4,-2.5
194607,54.7,-1.2
194707,54.8,-1.1
194807,56.5,0.6
194907,59,3.1
195007,52.9,-3.0
195107,54.9,-1.0
195207,58.3,2.4
195307,56.2,0.3
195407,54.2,-1.7
195507,60.6,4.7
195607,54.2,-1.7
195707,56.2,0.3
195807,55.2,-0.7
195907,55.7,-0.2
196007,53.1,-2.8
196107,56,0.1
196207,53.3,-2.6
196307,55.9,0.0
196407,57.2,1.3
196507,51.8,-4.1
196607,57.1,1.2
196707,54.1,-1.8
196807,55,-0.9
196907,56.1,0.2
197007,58.1,2.2
197107,53.2,-2.7
197207,55.1,-0.8
197307,56.7,0.8
197407,56.4,0.5
197507,56.9,1.0
197607,55.1,-0.8
197707,58.1,2.2
197807,54.6,-1.3
197907,55.1,-0.8
198007,57,1.1
198107,56.2,0.3
198207,57,1.1
198307,60.1,4.2
198407,54.5,-1.4
198507,54.3,-1.6
198607,58.4,2.5
198707,59.7,3.8
198807,57.8,1.9
198907,57.1,1.2
199007,56.1,0.2
199107,57.5,1.6
199207,52.6,-3.3
199307,58.4,2.5
199407,56.8,0.9
199507,58,2.1
199607,53.4,-2.5
199707,55.5,-0.4
199807,56.3,0.4
199907,60.6,4.7
200007,54.7,-1.2
200107,56,0.1
200207,60.2,4.3
200307,55.8,-0.1
200407,55.2,-0.7
200507,58.2,2.3
200607,59.7,3.8
200707,55.7,-0.2
200807,57,1.1
200907,52.6,-3.3
201007,60.4,4.5
201107,60.9,5.0
201207,61,5.1
201307,57.7,1.8
201407,53.6,-2.3
201507,56,0.1
