Indiana, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,49.7,0.2
189605,56.4,6.9
189705,44.8,-4.7
189805,51.3,1.8
189905,52.6,3.1
190005,51,1.5
190105,48.1,-1.4
190205,52.9,3.4
190305,52.1,2.6
190405,49.5,0.0
190505,50.7,1.2
190605,49.7,0.2
190705,43.7,-5.8
190805,52.2,2.7
190905,47.8,-1.7
191005,45.1,-4.4
191105,53,3.5
191205,51.8,2.3
191305,49,-0.5
191405,50.2,0.7
191505,47.7,-1.8
191605,51.4,1.9
191705,43.3,-6.2
191805,54.3,4.8
191905,47.6,-1.9
192005,47.6,-1.9
192105,51,1.5
192205,53.3,3.8
192305,46.4,-3.1
192405,43.1,-6.4
192505,42.6,-6.9
192605,48.2,-1.3
192705,49.7,0.2
192805,47,-2.5
192905,47.2,-2.3
193005,50.4,0.9
193105,46,-3.5
193205,48.7,-0.8
193305,53.7,4.2
193405,50.1,0.6
193505,46,-3.5
193605,51.2,1.7
193705,49.6,0.1
193805,49.4,-0.1
193905,50.8,1.3
194005,46.6,-2.9
194105,50.4,0.9
194205,51,1.5
194305,51,1.5
194405,55.3,5.8
194505,45.4,-4.1
194605,48.5,-1.0
194705,46.3,-3.2
194805,47.6,-1.9
194905,49.8,0.3
195005,50.7,1.2
195105,50.2,0.7
195205,49.2,-0.3
195305,52.4,2.9
195405,44.4,-5.1
195505,50.7,1.2
195605,50.4,0.9
195705,50,0.5
195805,47.6,-1.9
195905,54.5,5.0
196005,47.9,-1.6
196105,44.6,-4.9
196205,56.1,6.6
196305,46.9,-2.6
196405,52.6,3.1
196505,54.9,5.4
196605,44.5,-5.0
196705,46.4,-3.1
196805,47.5,-2.0
196905,49.6,0.1
197005,52.1,2.6
197105,45.4,-4.1
197205,50.9,1.4
197305,47.3,-2.2
197405,49.9,0.4
197505,53.2,3.7
197605,45.9,-3.6
197705,55.2,5.7
197805,49.1,-0.4
197905,47.3,-2.2
198005,50.4,0.9
198105,47.1,-2.4
198205,54.6,5.1
198305,47.1,-2.4
198405,47.2,-2.3
198505,51.8,2.3
198605,52.5,3.0
198705,53.8,4.3
198805,48.7,-0.8
198905,47.1,-2.4
199005,48.9,-0.6
199105,57.9,8.4
199205,47.8,-1.7
199305,50.3,0.8
199405,45.8,-3.7
199505,49.8,0.3
199605,50.9,1.4
199705,45,-4.5
199805,55.5,6.0
199905,51.4,1.9
200005,53.3,3.8
200105,52.3,2.8
200205,47.3,-2.2
200305,50.3,0.8
200405,55.6,6.1
200505,46.7,-2.8
200605,49.4,-0.1
200705,53.3,3.8
200805,46.9,-2.6
200905,50.8,1.3
201005,53.8,4.3
201105,52.1,2.6
201205,55,5.5
201305,53.4,3.9
201405,51.7,2.2
201505,53.6,4.1
