Washington, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,25.3,0.1
189612,28.8,3.6
189712,24.3,-0.9
189812,20.6,-4.6
189912,28.5,3.3
190012,32.3,7.1
190112,27.1,1.9
190212,24.8,-0.4
190312,26.9,1.7
190412,28.1,2.9
190512,26.1,0.9
190612,27.9,2.7
190712,27.9,2.7
190812,23.5,-1.7
190912,19.7,-5.5
191012,28.8,3.6
191112,25.1,-0.1
191212,26.2,1.0
191312,26.1,0.9
191412,18.1,-7.1
191512,24.7,-0.5
191612,19.3,-5.9
191712,29.7,4.5
191812,26.2,1.0
191912,17.3,-7.9
192012,28.3,3.1
192112,22.4,-2.8
192212,18.6,-6.6
192312,25.6,0.4
192412,18.1,-7.1
192512,31.7,6.5
192612,24.2,-1.0
192712,18.1,-7.1
192812,23.2,-2.0
192912,27.5,2.3
193012,25,-0.2
193112,22.6,-2.6
193212,20,-5.2
193312,30.7,5.5
193412,27.8,2.6
193512,27.1,1.9
193612,27.2,2.0
193712,28.4,3.2
193812,25.5,0.3
193912,31,5.8
194012,27.1,1.9
194112,27.6,2.4
194212,26.5,1.3
194312,24.2,-1.0
194412,23,-2.2
194512,25.1,-0.1
194612,25.7,0.5
194712,27.8,2.6
194812,18.2,-7.0
194912,24.2,-1.0
195012,30.9,5.7
195112,20.2,-5.0
195212,27.6,2.4
195312,29.2,4.0
195412,25.6,0.4
195512,21.5,-3.7
195612,26.2,1.0
195712,29.3,4.1
195812,29.3,4.1
195912,25.7,0.5
196012,23.8,-1.4
196112,24.4,-0.8
196212,29.4,4.2
196312,25.6,0.4
196412,21.1,-4.1
196512,25.8,0.6
196612,30.7,5.5
196712,24.7,-0.5
196812,22,-3.2
196912,28.3,3.1
197012,23.1,-2.1
197112,21.9,-3.3
197212,21,-4.2
197312,30.3,5.1
197412,28.7,3.5
197512,26.8,1.6
197612,25.8,0.6
197712,25.8,0.6
197812,18.8,-6.4
197912,30.1,4.9
198012,29.6,4.4
198112,25.9,0.7
198212,24.8,-0.4
198312,17.1,-8.1
198412,18.3,-6.9
198512,18.4,-6.8
198612,26.1,0.9
198712,24.2,-1.0
198812,25.7,0.5
198912,28.9,3.7
199012,17.9,-7.3
199112,29.6,4.4
199212,21.7,-3.5
199312,27.8,2.6
199412,26.1,0.9
199512,26.9,1.7
199612,22.7,-2.5
199712,26.7,1.5
199812,24.6,-0.6
199912,29.7,4.5
200012,24.3,-0.9
200112,26.6,1.4
200212,30.3,5.1
200312,26.6,1.4
200412,29.2,4.0
200512,24,-1.2
200612,25,-0.2
200712,25.2,0.0
200812,20.2,-5.0
200912,20.4,-4.8
201012,26.9,1.7
201112,24.3,-0.9
201212,27.9,2.7
201312,21.8,-3.4
201412,28.7,3.5
201512,27.4,2.2
