Michigan, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,31.9,1.0
189604,35.5,4.6
189704,30,-0.9
189804,29,-1.9
189904,32.4,1.5
190004,32.7,1.8
190104,31.5,0.6
190204,31,0.1
190304,31.1,0.2
190404,26.6,-4.3
190504,29.6,-1.3
190604,32.3,1.4
190704,24.2,-6.7
190804,30.5,-0.4
190904,27.5,-3.4
191004,33.7,2.8
191104,30,-0.9
191204,30.4,-0.5
191304,31.6,0.7
191404,28.9,-2.0
191504,36.3,5.4
191604,31.4,0.5
191704,28.7,-2.2
191804,28.1,-2.8
191904,31.6,0.7
192004,27.2,-3.7
192104,36.5,5.6
192204,31.6,0.7
192304,26.8,-4.1
192404,29.8,-1.1
192504,32.6,1.7
192604,24.3,-6.6
192704,30.6,-0.3
192804,26.8,-4.1
192904,32.5,1.6
193004,29.9,-1.0
193104,30.5,-0.4
193204,27.9,-3.0
193304,31.4,0.5
193404,29.2,-1.7
193504,29.4,-1.5
193604,26.9,-4.0
193704,30.7,-0.2
193804,32.8,1.9
193904,28.3,-2.6
194004,27.3,-3.6
194104,34.7,3.8
194204,34.9,4.0
194304,27,-3.9
194404,27.6,-3.3
194504,33.1,2.2
194604,30.9,0.0
194704,29,-1.9
194804,34.5,3.6
194904,30.4,-0.5
195004,25.8,-5.1
195104,32.1,1.2
195204,32.7,1.8
195304,30,-0.9
195404,32.4,1.5
195504,36.8,5.9
195604,28.8,-2.1
195704,33.1,2.2
195804,31.4,0.5
195904,31.4,0.5
196004,33.8,2.9
196104,29.8,-1.1
196204,30.5,-0.4
196304,31.5,0.6
196404,32.8,1.9
196504,29.1,-1.8
196604,30.1,-0.8
196704,31.9,1.0
196804,33.9,3.0
196904,32.5,1.6
197004,32.6,1.7
197104,28.8,-2.1
197204,27.1,-3.8
197304,33.3,2.4
197404,32.3,1.4
197504,26.4,-4.5
197604,33.4,2.5
197704,34.1,3.2
197804,29.5,-1.4
197904,30.4,-0.5
198004,32.9,2.0
198104,33.9,3.0
198204,27,-3.9
198304,30.3,-0.6
198404,33.5,2.6
198504,35.8,4.9
198604,35.5,4.6
198704,34.8,3.9
198804,31.5,0.6
198904,29.9,-1.0
199004,33.9,3.0
199104,36.3,5.4
199204,31.1,0.2
199304,30.5,-0.4
199404,31.5,0.6
199504,29,-1.9
199604,28,-2.9
199704,28.7,-2.2
199804,33.8,2.9
199904,34.5,3.6
200004,31.4,0.5
200104,34.8,3.9
200204,33.2,2.3
200304,29.6,-1.3
200404,32.5,1.6
200504,33.9,3.0
200604,34.9,4.0
200704,31.1,0.2
200804,34.1,3.2
200904,32.4,1.5
201004,36.3,5.4
201104,32,1.1
201204,32.1,1.2
201304,30,-0.9
201404,30.2,-0.7
201504,31.8,0.9
