Illinois, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,26.4,-3.6
189603,25.3,-4.7
189703,30,0.0
189803,32.7,2.7
189903,24.4,-5.6
190003,24.5,-5.5
190103,29,-1.0
190203,32.5,2.5
190303,34.2,4.2
190403,29.6,-0.4
190503,33.9,3.9
190603,22.8,-7.2
190703,36.5,6.5
190803,33.2,3.2
190903,28.7,-1.3
191003,37.4,7.4
191103,29,-1.0
191203,21.3,-8.7
191303,25.7,-4.3
191403,28,-2.0
191503,25.8,-4.2
191603,26.7,-3.3
191703,30,0.0
191803,32.6,2.6
191903,30.7,0.7
192003,30.5,0.5
192103,36.9,6.9
192203,32.7,2.7
192303,25,-5.0
192403,28,-2.0
192503,30.3,0.3
192603,24.1,-5.9
192703,33.8,3.8
192803,29.6,-0.4
192903,35,5.0
193003,27.9,-2.1
193103,27.9,-2.1
193203,23.5,-6.5
193303,30.3,0.3
193403,25.5,-4.5
193503,36,6.0
193603,32.4,2.4
193703,27,-3.0
193803,37.1,7.1
193903,30.8,0.8
194003,28,-2.0
194103,25.5,-4.5
194203,32.8,2.8
194303,24.6,-5.4
194403,27,-3.0
194503,39,9.0
194603,40.1,10.1
194703,24.5,-5.5
194803,29.8,-0.2
194903,29.8,-0.2
195003,26.8,-3.2
195103,27.2,-2.8
195203,28,-2.0
195303,31.5,1.5
195403,26.9,-3.1
195503,28.6,-1.4
195603,28.7,-1.3
195703,29.6,-0.4
195803,28.6,-1.4
195903,29.4,-0.6
196003,16.1,-13.9
196103,33.5,3.5
196203,27.3,-2.7
196303,33.3,3.3
196403,28.4,-1.6
196503,22.5,-7.5
196603,31.3,1.3
196703,32.7,2.7
196803,31.4,1.4
196903,23.6,-6.4
197003,27.8,-2.2
197103,27.4,-2.6
197203,28.9,-1.1
197303,38.7,8.7
197403,33,3.0
197503,26.4,-3.6
197603,34.4,4.4
197703,35.9,5.9
197803,25.1,-4.9
197903,30.8,0.8
198003,27.2,-2.8
198103,29.9,-0.1
198203,29.9,-0.1
198303,32.8,2.8
198403,26.2,-3.8
198503,34.6,4.6
198603,32.6,2.6
198703,33.8,3.8
198803,30.4,0.4
198903,30.2,0.2
199003,35.3,5.3
199103,33.9,3.9
199203,32.7,2.7
199303,28.8,-1.2
199403,30.5,0.5
199503,32.8,2.8
199603,24,-6.0
199703,32.4,2.4
199803,32.9,2.9
199903,28,-2.0
200003,34.8,4.8
200103,27.4,-2.6
200203,27.9,-2.1
200303,30.4,0.4
200403,35.7,5.7
200503,29,-1.0
200603,32.3,2.3
200703,37.5,7.5
200803,29.5,-0.5
200903,32.9,2.9
201003,34.1,4.1
201103,32.6,2.6
201203,44.2,14.2
201303,26.4,-3.6
201403,23.4,-6.6
201503,27.6,-2.4
201603,37.5,7.5
